,ranking,band_singer,title,year,index,song_id
13,2,Post Malone,Circles,2020,6024,
14,3,Roddy Ricch,The Box,2020,6025,5068155.0
15,4,Dua Lipa,Don't Start Now,2020,6026,4547279.0
16,5,DaBaby,Rockstar,2020,6027,5465132.0
17,6,Harry Styles,Adore You,2020,6028,5037350.0
18,7,Future,Life Is Good,2020,6029,5111026.0
19,8,Maroon 5,Memories,2020,6030,4881650.0
20,9,Maren Morris,The Bones,2020,6031,4330744.0
0,10,Lewis Capaldi,Someone You Loved,2020,6032,4076367.0
1,1,Dua Lipa,Levitating,2021,6123,
2,2,The Weeknd,Save Your Tears,2021,6124,4694697.0
3,3,The Weeknd,Blinding Lights,2021,6125,5049949.0
4,4,24kGoldn,Mood,2021,6126,
5,5,Olivia Rodrigo,Good 4 U,2021,6127,6702232.0
6,6,Doja Cat,Kiss Me More,2021,6128,6556752.0
7,7,Silk Sonic,Leave the Door Open,2021,6129,6531412.0
8,8,Olivia Rodrigo,Drivers License,2021,6130,5795230.0
9,9,Lil Nas X,Montero (Call Me by Your Name),2021,6131,5751286.0
10,10,Justin Bieber,Peaches,2021,6132,
11,1,Glass Animals,Heat Waves,2022,6223,
12,2,Harry Styles,As It Was,2022,6224,7844309.0
13,3,The Kid Laroi,Stay,2022,6225,5983087.0
14,4,Adele,Easy on Me,2022,6226,7260084.0
15,5,Ed Sheeran,Shivers,2022,6227,7120797.0
16,6,Jack Harlow,First Class,2022,6228,7857574.0
17,7,Latto,Big Energy,2022,6229,7194975.0
18,8,Justin Bieber,Ghost,2022,6230,6576448.0
19,9,Kodak Black,Super Gremlin,2022,6231,7341862.0
20,10,Elton John,Cold Heart (Pnau remix),2022,6232,7096046.0
