ranking,band_singer,title,year,song_id,lyrics
1,Johnny Horton,The Battle of New Orleans,1959,563949,"20 ContributorsThe Battle of New Orleans Lyrics[Verse 1]
In 1814 we took a little trip
Along with Colonel Jackson down the mighty Mississip
We took a little bacon and we took a little beans
And we caught the bloody British in a town near New Orleans

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 2]
We looked down a river
(Hut-two)
And we see'd the British come
(Three-four)
And there must have been a hundred of'em
(Hut-two)
Beatin' on the drums
(Three-four)
They stepped so high
(Hut-two)
And they made their bugles ring
(Three-four)
We stood beside our cotton bales
(Hut-two)
And didn't say a thing
(Two-three-four)
You might also like[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 3]
Old Hickory said we could take 'em by surprise
(One-hut, two-three-four)
If we didn't fire our muskets
(One-hut, two-three-four)
'Till we looked 'em in the eye
(One-hut, two-three-four)
We held our fire
(Hut, two-three-four)
'Till we see their faces well
Then we opened up our squirrel guns
And really gave 'em - well we

[Chorus]
Fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 4]
Yeah, they ran through the briars
(One-hup-two)
And they ran through the brambles
(Hup-two-three-four)
And they ran through the bushes
(Hup-two)
Where the rabbit couldn't go
(Hup-two-three-four)
They ran so fast
(Hup-two)
That the hounds couldn't catch 'em
(One-two-three-four)
On down the Mississippi to the Gulf of Mexico
(One-two, hup-two-three-four)
[Verse 5]
We fired our cannon 'til the barrel melted down
So we grabbed an alligator and we fired another round
We filled his head with cannon balls, and powdered his behind
And when we touched the powder off the gator lost his mind

[Chorus]
We fired our guns and the British kept a-comin'
There wasn't nigh as many as there was a while ago
We fired once more and they begin to runnin'
On down the Mississippi to the Gulf of Mexico

[Verse 4]
Yeah, they ran through the briars
(Hup-one-two)
And they ran through the brambles
(One-two-three-four)
And they ran through the bushes
(Hup-two)
Where the rabbit couldn't go
(Hup-two-three-four)
They ran so fast
(Hup-two)
That the hounds couldn't catch 'em
(One-two-three-four)
On down the Mississippi to the Gulf of Mexico1Embed"
2,Bobby Darin,Mack the Knife,1959,362381,"30 ContributorsMack the Knife LyricsOh the shark, babe, has such teeth, dear
And he shows them pearly white
Just a jackknife has old Macheath, babe
And he keeps it outta sight

You know when that shark bites with his teeth, babe
Scarlet billows start to spread
Fancy gloves, though, wears ol' Macheath, babe
So there's never, never a trace of red

Now, on the side walk, ooh Sunday morning, uh huh
Lies a body just oozing life, eek
And someone's sneaking 'round the corner
Could that someone be Mack the Knife?

There's a tugboat down by the river, don't you know
Where a cement bag's just a-drooping on down
Oh, that cement is just, it's there for the weight, dear
Five'll get ya ten, ol' Mackie's back in town

Now did ya hear 'bout Louie Miller? He disappeared, babe
After drawing out all his hard earned cash
And now Macheath spends just like a sailor
Could it be our boy's done something rash?

Now, Jenny Diver, ho ho, Suky Tawdry
Ooh, Miss Lotte Lenya and ol' Lucy Brown
Oh, the line forms on the right, babe
Now that Mackie's back in town
You might also likeI said, Jenny Diver, woah, Suky Tawdry
Look out, Miss Lotte Lenya and ol' Lucy Brown
Yes, that line forms on the right, babe
Now that Mackie's back in town

Look out ol' Mackie is back6Embed"
3,Lloyd Price,Personality,1959,963530,"6 ContributorsPersonality LyricsOver and over
I tried to prove my love to you
Over and over
What more can I do?

Over and over
My friend says I'm a fool
But over and over
I'll be a fool for you

'Cuz you've got (personality)
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart

So over (over and over) and over (over and over)
Oh, I'll be (over and over) a fool for you (over and over)
Now over (over and over) and over (over and over)
What more can I do?

'Cuz you've got (personality)
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart
You might also likeSo over (over and over) and over (over and over)
Oh, I'll be (over and over) a fool for you (over and over)
Now over (over and over) and over (over and over)
What more can I do?

Oh oh oh, over and over
I said that I love you
Over and over
Honey, now it's the truth

Over and over
They still says I'm a fool
But over and over
I'll be a fool for you

'Cuz you've got (personality)
Walk (with personality)
Talk (with personality)
Smile (with personality)
Charm (with personality)
Love (with personality)
And plus you've got a great big heart

So over (over and over) and over (over and over)
Whoa, I'll be (over and over) a fool for you (over and over)
Now over (over and over) and over (over and over)
What more can I do?Embed"
4,Frankie Avalon,Venus,1959,838252,"6 ContributorsVenus Lyrics[Intro]
Hey, Venus!
Oh, Venus!

[Verse 1]
Venus! If you will
Please! Send a little girl for me to thrill
A girl who wants my kisses and my arms
A girl with all the charms of you

[Verse 2]
Venus, make her fair!
A lovely girl with sunlight in her hair
And take the brightest stars up in the skies
And place them in her eyes for me

[Chorus]
Venus!
Goddess of love that you are
Surely, the things I ask
Can't be too great a task

[Verse 3]
Venus! If you do
I promise that I always will be true!
I'll give her all the love I have to give
As long as we both shall live
You might also like[Chorus]
Venus!
Goddess of love that you are
Surely, the things I ask
Can't be too great a task

[Verse 4]
Venus! If you do
I promise that I always will be true!
I'll give her all the love I have to give
As long as we both shall live

[Outro]
Hey, Venus!
Oh, Venus!
Make my wish come trueEmbed"
5,Paul Anka,Lonely Boy,1959,782333,"3 ContributorsLonely Boy LyricsI'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want
Is someone to love

Someone, yes, someone to love
Someone to kiss
Someone to hold
At a moment like this

I'd like to hear
Somebody say
I'll give you my love
Each night and day

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think of
But all I want
Is someone to love
You might also likeSomebody, somebody, somebody, please
Send her to me
I'll make her happy
Just wait and see

I've prayed so hard
To the heavens above
That I might find
Someone to love

I'm just a lonely boy
Lonely and blue
I'm all alone
With nothin' to do

I've got everything
You could think ofEmbed"
6,Bobby Darin,Dream Lover,1959,310196,"14 ContributorsDream Lover Lyrics[Verse 1]
Every night I hope and pray
A dream lover will come my way
A girl to hold in my arms
And know the magic of her charms

[Chorus 1]
'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah, yeah)
I want a dream lover
So I don't have to dream alone

[Chorus 2]
Dream lover, where are you
With a love, oh, so true
And the hand that I can hold
To feel you near as I grow old

[Chorus 1]
'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah, yeah)
I want a dream lover
So I don't have to dream alone
You might also like[Bridge]
Someday, I don't know how
I hope she'll hear my plea
Some way, I don't know how
She'll bring her love to me

[Chorus 2]
Dream lover, until then
I'll go to sleep and dream again
That's the only thing to do
Till all my lover's dreams come true

[Chorus 1]
'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah, yeah)
I want a dream lover
So I don't have to dream alone

[Chorus 2]
Dream lover, until then
I'll go to sleep and dream again
That's the only thing to do
Till all my lover's dreams come true
[Chorus 1]
'Cause I want (yeah-yeah, yeah)
A girl (yeah-yeah, yeah)
To call (yeah-yeah, yeah)
My own (yeah-yeah)
I want a dream lover
So I don't have to dream alone

[Outro]
Please don't make me dream alone
I beg you don't make me dream alone
No, I don't wanna dream alone4Embed"
7,The Browns,The Three Bells,1959,1076312,"6 ContributorsThe Three Bells (Les Trois Cloches) LyricsThere's a village, hidden deep in the valley
Among the pine trees, half forlorn
And there, on a sunny morning
Little Jimmy Brown was born

All the chapel bells were ringing
In the little valley town
And the song that they were singing
Was for baby Jimmy Brown

Then the little congregation
Prayed for guidance from above
""Lead us not into temptation
Bless this hour of meditation
Guide him with eternal love.""

There's a village, hidden deep in the valley
Beneath the mountains high above
And there, twenty years thereafter
Jimmy was to meet his love

All the chapel bells were ringing
'Twas a great day in his life
Cause the song that they were singing
Was for Jimmy and his wife
You might also likeThen the little congregation
Prayed for guidance from above
""Lead us not into temptation
Bless, O Lord, this celebration
May their lives be filled with love.""

From the village, hidden deep in the valley
One rainy morning dark and gray
A soul winged its way to Heaven
Jimmy Brown had passed away
Just one lonely bell was ringing
In the little valley town
'Twas farewell that it was singing
To our good old Jimmy Brown

And the little congregation
Prayed for guidance from above
""Lead us not into temptation
May his soul find the salvation
Of thy great eternal love.""Embed"
8,The Fleetwoods,Come Softly to Me,1959,990620,"10 ContributorsCome Softly to Me Lyrics[Intro]
Doo dooby doo
Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby doo

[Chorus]
Come softly, darling (Dum dum, dum doo dum, dooby doo)
Come softly, darling (Dum dum, dum doo dum, dooby doo)
Come softly, darling (Dum dum, dum doo dum, dooby doo)
Come softly, darling (Dum dum, dum doo dum, dooby doo)

Come softly, darling (Dum dum, dum doo dum, dooby doo)
Come to me, stay (Dum dum, dum doo dum, dooby doo)
You're my obsession (Dum dum, dum doo dum, dooby doo)
Forever and a day (Dum dum, dum doo dum, dooby doo)

[Verse 1]
I want, want you to know, dooby do
I love, I love you so, dooby do
Please hold, hold me so tight, dooby do
All through, all through the night, dooby do

[Chorus]
I speak softly, darling (Dum dum, dum doo dum, dooby doo)
Hear what I say (Dum dum, dum doo dum, dooby doo)
I love you always (Dum dum, dum doo dum, dooby doo)
Always, always (Dum dum, dum doo dum, dooby doo)
You might also like[Verse 2]
I've waited, waited so long, dooby do (Ooo ahh)
For your kisses and your love, dooby do
Please come, come to me, dooby do
From up, from up above, dooby do

[Chorus]
Come softly, darling (I want, want you to know, dooby do)
Come softly, darling (I love, I love you so, dooby do)
Come softly (I need, I need you so much, dooby do)
Come softly (Want to feel your warm, warm touch, dooby do)

[Outro]
Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby doo

Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby doo
Dum dum, dum doo dum, dooby dooEmbed"
9,Wilbert Harrison,Kansas City,1959,1452781,"12 ContributorsKansas City Lyrics[Verse 1]
I'm going to Kansas City, Kansas City here I come
I'm going to Kansas City, Kansas City here I come
They got some crazy little women there, and I'm gonna get me one

[Verse 2]
I'm gonna be stand on the corner Twelfth Street and Vine
I'm gonna be stand on the corner Twelfth Street and Vine
With my Kansas City baby and a bottle of Kansas City wine

[Bridge 1]
Well, I might take a train, I might take a plane
But if I could walk I'm going just the same
I'm going to Kansas City, Kansas City here I come
They got some crazy little women there, and I'm gonna get me one

(Ah, but you know, yeah, mercy!)

[Instrumental Break]

(Aw, yeah!)

[Bridge 2]
Now, if I stay with that woman I know I'm gonna die
Gotta find a brand new baby, that's the reason why
Going to Kansas City, Kansas City here I come
They got some crazy little women there, and I'm gonna get me one
You might also like[Outro]
They got some crazy little women there, and I'm gonna get me one
They got some crazy little women there, and I'm gonna get me oneEmbed"
10,The Fleetwoods,Mr. Blue,1959,1710336,"6 ContributorsMr. Blue Lyrics[Intro]
Our guardian star lost all his glow the day that I lost you
He lost all his glitter the day you said no, and his silver turned to blue
Like him, I am doubtful that your love is true
But if you decide to call on me, ask for Mr. Blue

[Verse 1]
I'm Mr. Blue
When you say you love me (I'm Mr. Blue)
Then prove it by goin' out on the sly
Provin' your love isn't true
Call me Mr. Blue

[Verse 2]
I'm Mr. Blue
When you say you're sorry (I'm Mr. Blue)
Then turn around, headin' for the lights of town
Hurtin' me through and through
Call me Mr. Blue

[Bridge]
I stay at home at night (I stay at home)
Right by the phone at night (Right by the phone)
But you won't call
And I won't hurt my pride
Call me Mister
You might also like[Verse 3]
I won't tell you
While you paint the town (I'm Mr. Blue)
A bright red to turn it upside down
I'm paintin' it, too
But I'm paintin' it blue
Call me Mr. Blue

[Outro]
Call me Mr. Blue
Call me Mr. Blue1Embed"
