band_singer,ranking,song,title,genre,year
Anne Murray,36,"[""Danny's Song""]",Danny's Song,['Folk rock'],1973
King Harvest,37,Dancing in the Moonlight,Dancing in the Moonlight,['Pop rock'],1973
Boris,38,Monster Mash,Monster Mash,"['Novelty', 'pop', 'rock and roll']",1973
Bloodstone,39,Natural High,Natural High,['R&B'],1973
Seals and Crofts,40,Diamond Girl,Diamond Girl,['Soft rock'],1973
The Doobie Brothers,41,"[""Long Train Runnin'""]",Long Train Runnin',['Country rock'],1973
George Harrison,42,Give Me Love (Give Me Peace on Earth),Give Me Love (Give Me Peace on Earth),"['Folk rock', 'gospel']",1973
Sly & the Family Stone,43,If You Want Me to Stay,If You Want Me to Stay,['Funk'],1973
Jermaine Jackson,44,"[""Daddy's Home""]",Daddy's Home,['R&B'],1973
Gladys Knight & the Pips,45,Neither One of Us (Wants to Be the First to Say Goodbye),Neither One of Us (Wants to Be the First to Say Goodbye),"['Soul', 'pop']",1973
New York City,46,m Doin,I'm Doin' Fine Now,[],1973
The Spinners,47,"[""Could It Be I'm Falling in Love""]",Could It Be I'm Falling in Love,['Philadelphia soul'],1973
Elton John,48,Daniel,Daniel,['Soft rock'],1973
Gladys Knight & the Pips,49,Midnight Train to Georgia,Midnight Train to Georgia,"['Soul', 'R&B', 'soft rock']",1973
Deep Purple,50,Smoke on the Water,Smoke on the Water,"['Hard rock', 'heavy metal']",1973
Dr. Hook & The Medicine Show,51,The Cover of the Rolling Stone,The Cover of the Rolling Stone,"['Skiffle', 'pop rock', 'country rock', '']",1973
Charlie Rich,52,Behind Closed Doors,Behind Closed Doors,['Country'],1973
Loggins and Messina,53,"[""Your Mama Don't Dance""]",Your Mama Don't Dance,['Rock and roll'],1973
Chicago,54,"[""Feelin' Stronger Every Day""]",Feelin' Stronger Every Day,['Rock'],1973
War,55,The Cisco Kid,The Cisco Kid,['Funk rock'],1973
Paul McCartney & Wings,56,Live and Let Die,Live and Let Die,['Symphonic rock'],1973
Hurricane Smith,57,"Oh, Babe, What Would You Say?","Oh, Babe, What Would You Say?",['Pop rock'],1973
Johnnie Taylor,58,I Believe in You (You Believe in Me),I Believe in You (You Believe in Me),['Soul'],1973
The Carpenters,59,Sing,Sing,"[""Children's music"", 'pop']",1973
The Four Tops,60,t No Woman (Like the One I,Ain't No Woman (Like the One I've Got),['Soul'],1973
Eric Weissberg,61,Dueling Banjos,Dueling Banjos,['Bluegrass'],1973
Stevie Wonder,62,Higher Ground,Higher Ground,['Funk'],1973
Al Green,63,Here I Am (Come and Take Me),Here I Am (Come and Take Me),['Soul'],1973
B.W. Stevenson,64,My Maria,My Maria,['Country rock'],1973
Curtis Mayfield,65,Superfly,Superfly,['Funk'],1973
Edward Bear,66,Last Song,Last Song,['Pop'],1973
"[""Gilbert O'Sullivan""]",67,Get Down,Get Down,[],1973
Steely Dan,68,"[""Reelin' in the Years""]",Reelin' in the Years,['Jazz rock'],1973
Focus,69,Hocus Pocus,Hocus Pocus,"['Progressive rock', 'hard rock']",1973
The Carpenters,70,Yesterday Once More,Yesterday Once More,['Soft rock'],1973
Bette Midler,71,Boogie Woogie Bugle Boy,Boogie Woogie Bugle Boy,['Traditional popjump blues'],1973
"[""Gilbert O'Sullivan""]",72,Clair,Clair,"['Pop', 'soft rock']",1973
Steely Dan,73,Do It Again,Do It Again,['Soft rock'],1973
Paul Simon,74,Kodachrome,Kodachrome,"['Pop rock', 'country rock', 'folk rock', 'rock and roll']",1973
Timmy Thomas,75,"[""Why Can't We Live Together""]",Why Can't We Live Together,['Soul'],1973
Bette Midler,76,Do You Wanna Dance?,Do You Wanna Dance?,['Rock and roll'],1973
Tower of Power,77,So Very Hard to Go,So Very Hard to Go,['R&B'],1973
Johnny Rivers,78,"[""Rockin' Pneumonia and the Boogie Woogie Flu""]",Rockin' Pneumonia and the Boogie Woogie Flu,['Rock and roll'],1973
The Allman Brothers Band,79,"[""Ramblin' Man""]",Ramblin' Man,"['Country rock', 'Southern rock']",1973
The Temptations,80,Masterpiece,Masterpiece,"['Soul', 'psychedelic soul']",1973
Helen Reddy,81,Peaceful,Peaceful,[],1973
The Spinners,82,One of a Kind (Love Affair),One of a Kind (Love Affair),['Rhythm and bluesPhiladelphia soul'],1973
Donna Fargo,83,Funny Face,Funny Face,['Country'],1973
Ohio Players,84,Funky Worm,Funky Worm,['Funk'],1973
The Rolling Stones,85,Angie,Angie,['Soft rock'],1973
Blue Ridge Rangers,86,Jambalaya (On the Bayou),Jambalaya (On the Bayou),"['Country & western', 'honky-tonk', 'country blues']",1973
Lobo,87,"[""Don't Expect Me to Be Your Friend""]",Don't Expect Me to Be Your Friend,['Soft rock'],1973
The Stylistics,88,Break Up to Make Up,Break Up to Make Up,"['Soul', 'Philly soul']",1973
Jud Strunk,89,Daisy a Day,Daisy a Day,['Country'],1973
Deodato,90,Also Sprach Zarathustra (2001),Also Sprach Zarathustra (2001),['Jazz-funk'],1973
Johnny Nash,91,Stir It Up,Stir It Up,['Rocksteady (proto-reggae)'],1973
Pink Floyd,92,Money,Money,"['Progressive rock', 'blues rock', 'hard rock']",1973
War,93,Gypsy Man,Gypsy Man,['Funk'],1973
War,94,The World Is a Ghetto,The World Is a Ghetto,['Funkpsychedelic soul'],1973
The Pointer Sisters,95,Yes We Can Can,Yes We Can Can,"['Funk', 'soul']",1973
The Edgar Winter Group,96,Free Ride,Free Ride,['Rock'],1973
David Bowie,97,Space Oddity,Space Oddity,['Psychedelic folk'],1973
Albert Hammond,98,It Never Rains in Southern California,It Never Rains in Southern California,['Soft rock'],1973
Donny Osmond,99,The Twelfth of Never,The Twelfth of Never,['Pop'],1973
The Temptations,100,"[""Papa Was a Rollin' Stone""]",Papa Was a Rollin' Stone,"['Psychedelic soul', '']",1973
Barbra Streisand,1,The Way We Were,The Way We Were,[],1974
Terry Jacks,2,Seasons in the Sun,Seasons in the Sun,['Chanson'],1974
Love Unlimited Orchestra,3,"[""Love's Theme""]",Love's Theme,['Philly soulproto-disco'],1974
Redbone,4,Come and Get Your Love,Come and Get Your Love,"['Pop rock', 'disco', 'dance-rock']",1974
The Jackson 5,5,Dancing Machine,Dancing Machine,"['Disco', 'Funk']",1974
Grand Funk Railroad,6,The Loco-Motion,The Loco-Motion,"['Pop', 'rhythm and blues']",1974
MFSB,7,TSOP (The Sound of Philadelphia),TSOP (The Sound of Philadelphia),"['Philadelphia soul', 'disco']",1974
Ray Stevens,8,The Streak,The Streak,['Countrynoveltycomedy'],1974
Elton John,9,Bennie and the Jets,Bennie and the Jets,['Glam rock'],1974
Mac Davis,10,One Hell of a Woman,One Hell of a Woman,['Pop'],1974
Aretha Franklin,11,s What I,Until You Come Back to Me (That's What I'm Gonna Do),['Soul'],1974
Kool & the Gang,12,Jungle Boogie,Jungle Boogie,['Funk'],1974
Maria Muldaur,13,Midnight at the Oasis,Midnight at the Oasis,['Soft rock'],1974
The Stylistics,14,You Make Me Feel Brand New,You Make Me Feel Brand New,"['Soul', 'R&B']",1974
Al Wilson,15,Show and Tell,Show and Tell,"['Soul', 'pop']",1974
Jim Stafford,16,Spiders and Snakes,Spiders and Snakes,['Swamp rock'],1974
David Essex,17,Rock On,Rock On,['Glam rock'],1974
John Denver,18,Sunshine on My Shoulders,Sunshine on My Shoulders,['Folk'],1974
Blue Magic,19,Sideshow,Sideshow,"['R&B', 'Philly soul']",1974
Blue Swede,20,Hooked on a Feeling,Hooked on a Feeling,['Pop'],1974
Bo Donaldson and The Heywoods,21,"[""Billy Don't Be a Hero""]",Billy Don't Be a Hero,['Pop'],1974
Paul McCartney and Wings,22,Band on the Run,Band on the Run,['Rock'],1974
Charlie Rich,23,The Most Beautiful Girl,The Most Beautiful Girl,"['Country', 'blue-eyed soul']",1974
Jim Croce,24,Time in a Bottle,Time in a Bottle,"['Psychedelic folk', 'acoustic rock']",1974
John Denver,25,"[""Annie's Song""]",Annie's Song,['Soft rock'],1974
Olivia Newton-John,26,Let Me Be There,Let Me Be There,"['Country', 'pop']",1974
Gordon Lightfoot,27,Sundown,Sundown,"['Folk rock', 'country rock']",1974
Paul Anka,28,"[""(You're) Having My Baby""]",(You're) Having My Baby,['Soft rock'],1974
Andy Kim,29,Rock Me Gently,Rock Me Gently,['Pop rock'],1974
Eddie Kendricks,30,Boogie Down,Boogie Down,"['Disco', 'funk', 'R&B']",1974
Ringo Starr,31,"[""You're Sixteen""]",You're Sixteen,['Rock'],1974
Olivia Newton-John,32,If You Love Me (Let Me Know),If You Love Me (Let Me Know),"['Country', 'pop']",1974
Cher,33,Dark Lady,Dark Lady,['Folk music'],1974
Gladys Knight & the Pips,34,Best Thing That Ever Happened to Me,Best Thing That Ever Happened to Me,['Country'],1974
Roberta Flack,35,"[""Feel Like Makin' Love""]",Feel Like Makin' Love,"['Soul', 'R&B']",1974
The Main Ingredient,36,"[""Just Don't Want to Be Lonely""]",Just Don't Want to Be Lonely,"['Rhythm and blues', 'soul']",1974
Billy Preston,37,Nothing from Nothing,Nothing from Nothing,"['Soul', 'pop']",1974
George McCrae,38,Rock Your Baby,Rock Your Baby,"['Disco', 'Memphis soul']",1974
The Carpenters,39,Top of the World,Top of the World,['Country pop'],1974
Steve Miller Band,40,The Joker,The Joker,['Rockblues rockpsychedelic rock'],1974
Gladys Knight & the Pips,41,"[""I've Got to Use My Imagination""]",I've Got to Use My Imagination,"['Psychedelic soul', 'funk']",1974
Three Dog Night,42,The Show Must Go On,The Show Must Go On,['Rock'],1974
The Hues Corporation,43,Rock the Boat,Rock the Boat,['DiscosoulR&B'],1974
Brownsville Station,44,"[""Smokin' in the Boys Room""]",Smokin' in the Boys Room,"['Blues rock', 'hard rock', 'boogie rock']",1974
Stevie Wonder,45,Living for the City,Living for the City,"['Soul', '']",1974
Dionne Warwick,46,Then Came You,Then Came You,"['Soul', 'pop']",1974
Paper Lace,47,The Night Chicago Died,The Night Chicago Died,['Pop rock'],1974
Marvin Hamlisch,48,The Entertainer,The Entertainer,[],1974
ABBA,49,Waterloo,Waterloo,"['Europop', 'pop rock', 'rock and roll']",1974
The Hollies,50,The Air That I Breathe,The Air That I Breathe,['Soft rock'],1974
Steely Dan,51,"[""Rikki Don't Lose That Number""]",Rikki Don't Lose That Number,"['Soft rock', 'jazz rock', 'boogie rock', 'bolero']",1974
Carly Simon,52,Mockingbird,Mockingbird,['Soul'],1974
Joni Mitchell,53,Help Me,Help Me,['Soft rock'],1974
Anne Murray,54,"[""You Won't See Me""]",You Won't See Me,['Pop'],1974
Barry White,55,"Never, Never Gonna Give You Up","Never, Never Gonna Give You Up",['Soul'],1974
Rufus,56,Tell Me Something Good,Tell Me Something Good,['Funk'],1974
Helen Reddy,57,You and Me Against the World,You and Me Against the World,['Pop'],1974
The Righteous Brothers,58,Rock and Roll Heaven,Rock and Roll Heaven,['Rock and roll'],1974
Kool & the Gang,59,Hollywood Swinging,Hollywood Swinging,['Funk'],1974
William DeVaughn,60,Be Thankful for What You Got,Be Thankful for What You Got,[],1974
Johnny Bristol,61,Hang on in There Baby,Hang on in There Baby,['Pop'],1974
Mocedades,62,Eres tú,Eres tú,"['Canción melódica', 'Europop']",1974
Bachman-Turner Overdrive,63,"[""Takin' Care of Business""]",Takin' Care of Business,"['Blues rock', 'boogie rock']",1974
Golden Earring,64,Radar Love,Radar Love,"['Hard rock', 'progressive rock']",1974
Dave Loggins,65,Please Come to Boston,Please Come to Boston,['Soft rock'],1974
Wet Willie,66,"[""Keep on Smilin'""]",Keep on Smilin',"['Southern rock', 'pop']",1974
Bobby Womack,67,"[""Lookin' for a Love""]",Lookin' for a Love,"['Doo-wop', 'R&B', 'soul']",1974
"[""The O'Jays""]",68,Put Your Hands Together,Put Your Hands Together,"['R&B', 'Philadelphia soul']",1974
Gladys Knight & the Pips,69,On and On,On and On,['Soul'],1974
Cat Stevens,70,Oh Very Young,Oh Very Young,"['Folk rock', 'pop rock']",1974
Helen Reddy,71,Leave Me Alone (Ruby Red Dress),Leave Me Alone (Ruby Red Dress),['Pop'],1974
Elton John,72,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road,"['Pop', 'soft rock', 'glam rock']",1974
Chicago,73,ve Been) Searchin,(I've Been) Searchin' So Long,['Soft rock'],1974
Ringo Starr,74,Oh My My,Oh My My,['Rock'],1974
"[""The O'Jays""]",75,For the Love of Money,For the Love of Money,['Progressive soul'],1974
Eric Clapton,76,I Shot the Sheriff,I Shot the Sheriff,['Reggae'],1974
Paul McCartney and Wings,77,Jet,Jet,"['Glam rock', '']",1974
Elton John,78,"[""Don't Let the Sun Go Down on Me""]",Don't Let the Sun Go Down on Me,[],1974
Mike Oldfield,79,Tubular Bells,Tubular Bells,"['Folk', 'progressive rock']",1974
Anne Murray,80,A Love Song,A Love Song,"['Country', 'pop']",1974
Donny,81,"[""I'm Leaving It Up to You""]",I'm Leaving It Up to You,"['Pop', 'doo-wop']",1974
Todd Rundgren,82,"[""Hello It's Me""]",Hello It's Me,['Pop'],1974
Tom T. Hall,83,I Love,I Love,['Country'],1974
The Guess Who,84,Clap for the Wolfman,Clap for the Wolfman,['Comedy rock'],1974
Jim Croce,85,"[""I'll Have to Say I Love You in a Song""]",I'll Have to Say I Love You in a Song,"['Country folk', 'folk rock', 'soft rock']",1974
Sister Janet Mead,86,"[""The Lord's Prayer""]",The Lord's Prayer,['RockContemporary Christian'],1974
Lamont Dozier,87,Trying to Hold on to My Woman,Trying to Hold on to My Woman,['Soul'],1974
Stevie Wonder,88,t You Worry ,Don't You Worry 'bout a Thing,['Latin soul'],1974
Charlie Rich,89,A Very Special Love Song,A Very Special Love Song,"['Country', 'soft rock']",1974
Jim Stafford,90,My Girl Bill,My Girl Bill,[],1974
Paul McCartney and Wings,91,Helen Wheels,Helen Wheels,"['Glam rock', 'power pop']",1974
Diana Ross,92,My Mistake (Was to Love You),My Mistake (Was to Love You),['Soul'],1974
Jim Stafford,93,Wildwood Weed,Wildwood Weed,[],1974
The First Class,94,Beach Baby,Beach Baby,['Bubblegum pop'],1974
War,95,Me and Baby Brother,Me and Baby Brother,['Funk'],1974
The Stylistics,96,"[""Rockin' Roll Baby""]",Rockin' Roll Baby,['Soul'],1974
Olivia Newton-John,97,I Honestly Love You,I Honestly Love You,['Soft rock'],1974
Chicago,98,Call on Me,Call on Me,"['Soft rock', 'jazz fusion']",1974
Fancy,99,Wild Thing,Wild Thing,"['Garage rock', 'hard rock', 'proto-punk']",1974
The Spinners,100,Mighty Love,Mighty Love,['R&B'],1974
Captain & Tennille,1,Love Will Keep Us Together,Love Will Keep Us Together,['Pop'],1975
Glen Campbell,2,Rhinestone Cowboy,Rhinestone Cowboy,"['Country', 'soft rock']",1975
Elton John,3,Philadelphia Freedom,Philadelphia Freedom,"['Philly soul', 'pop', 'disco']",1975
Freddy Fender,4,Before the Next Teardrop Falls,Before the Next Teardrop Falls,['Country popTejano'],1975
Frankie Valli,5,My Eyes Adored You,My Eyes Adored You,"['Soft rock', 'soft pop', 'soul']",1975
Grand Funk Railroad,6,Some Kind of Wonderful,Some Kind of Wonderful,['Soul'],1975
"Earth, Wind & Fire",7,Shining Star,Shining Star,"['Progressive soul', 'funk']",1975
David Bowie,8,Fame,Fame,['Funk'],1975
Neil Sedaka,9,Laughter in the Rain,Laughter in the Rain,"['Pop', 'soft rock']",1975
Eagles,10,One of These Nights,One of These Nights,"['Disco', 'soft rock', 'soul']",1975
John Denver,11,"[""Thank God I'm a Country Boy""]",Thank God I'm a Country Boy,"['Country folk', 'bluegrass']",1975
Bee Gees,12,"[""Jive Talkin'""]",Jive Talkin',"['Funk', 'disco']",1975
Eagles,13,Best of My Love,Best of My Love,"['Soft rock', 'country rock']",1975
Minnie Riperton,14,"[""Lovin' You""]",Lovin' You,"['Soul', 'Pop']",1975
Carl Douglas,15,Kung Fu Fighting,Kung Fu Fighting,['Disco'],1975
The Doobie Brothers,16,Black Water,Black Water,"['Roots rock', 'country rock', 'Southern rock', 'bluegrass']",1975
Sweet,17,The Ballroom Blitz,The Ballroom Blitz,['Glam rock'],1975
B.J. Thomas,18,"[""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""]",(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,"['Country', 'pop']",1975
Tony Orlando and Dawn,19,"[""He Don't Love You (Like I Love You)""]",He Don't Love You (Like I Love You),['R&B'],1975
Janis Ian,20,At Seventeen,At Seventeen,"['Pop', 'soft rock']",1975
Average White Band,21,Pick Up the Pieces,Pick Up the Pieces,"['Funk', 'jazz-funk']",1975
Van McCoy & the Soul City Symphony,22,The Hustle,The Hustle,"['Disco', 'dance']",1975
Labelle,23,Lady Marmalade,Lady Marmalade,['Soul'],1975
War,24,"[""Why Can't We Be Friends?""]",Why Can't We Be Friends?,['Reggae'],1975
Major Harris,25,"[""Love Won't Let Me Wait""]",Love Won't Let Me Wait,['Soul'],1975
Stevie Wonder,26,Boogie On Reggae Woman,Boogie On Reggae Woman,['Funk'],1975
Freddy Fender,27,Wasted Days and Wasted Nights,Wasted Days and Wasted Nights,"['Country', 'pop', 'swamp pop']",1975
Helen Reddy,28,Angie Baby,Angie Baby,['R&B'],1975
The Isley Brothers,29,Fight the Power,Fight the Power,['Funk'],1975
Ozark Mountain Daredevils,30,Jackie Blue,Jackie Blue,['Southern rocksoft rockblues rock'],1975
Ohio Players,31,Fire,Fire,"['Funk', 'soul']",1975
Pilot,32,Magic,Magic,"['Pop rock', 'soft rock', 'glam rock']",1975
The Carpenters,33,Please Mr. Postman,Please Mr. Postman,"['Pop', 'soul', 'doo-wop']",1975
America,34,Sister Golden Hair,Sister Golden Hair,"['Folk rock', 'soft rock']",1975
Elton John,35,Lucy in the Sky with Diamonds,Lucy in the Sky with Diamonds,['Psychedeliapopacid rockpsychedelic rock'],1975
Barry Manilow,36,Mandy,Mandy,['Pop'],1975
Olivia Newton-John,37,Have You Never Been Mellow,Have You Never Been Mellow,['Popcountryadult contemporary'],1975
Barry Manilow,38,Could It Be Magic,Could It Be Magic,['Soft rock'],1975
Harry Chapin,39,"[""Cat's in the Cradle""]",Cat's in the Cradle,['Folk rock'],1975
Michael Martin Murphey,40,Wildfire,Wildfire,"['Country', 'soft rock', 'adult contemporary']",1975
Jessi Colter,41,"[""I'm Not Lisa""]",I'm Not Lisa,['Country'],1975
Wings,42,Listen to What the Man Said,Listen to What the Man Said,"['Soft rock', 'pop rock']",1975
10cc,43,"[""I'm Not in Love""]",I'm Not in Love,"['Progressive pop', 'pop', 'soft rock']",1975
Billy Swan,44,I Can Help,I Can Help,"['Rockabilly', 'country']",1975
"Hamilton, Joe Frank & Reynolds",45,"[""Fallin' in Love""]",Fallin' in Love,['Soft rock'],1975
Morris Albert,46,Feelings,Feelings,['Soft rock'],1975
Linda Ronstadt,47,When Will I Be Loved,When Will I Be Loved,['Country'],1975
Sammy Johns,48,Chevy Van,Chevy Van,"['Soft rock', 'country']",1975
Barry White,49,"[""You're the First, the Last, My Everything""]","You're the First, the Last, My Everything","['R&B', 'disco']",1975
Olivia Newton-John,50,Please Mr. Please,Please Mr. Please,['Country pop'],1975
Linda Ronstadt,51,"[""You're No Good""]",You're No Good,['R&B'],1975
Bazuka,52,Dynomite,Dynomite,['Funk'],1975
The Blackbyrds,53,Walking in Rhythm,Walking in Rhythm,['Progressive soul'],1975
Gladys Knight & the Pips,54,The Way We Were,The Way We Were/Try to Remember,[],1975
Melissa Manchester,55,Midnight Blue,Midnight Blue,['Soft rock'],1975
Sugarloaf,56,"t Call Us, We","Don't Call Us, We'll Call You",['Rock'],1975
Phoebe Snow,57,Poetry Man,Poetry Man,"['Blues', '', 'folk']",1975
Ace,58,How Long?,How Long?,"['Soft rock', 'pub rock']",1975
B.T. Express,59,Express,Express,"['Funk', 'soul']",1975
"Earth, Wind & Fire",60,"[""That's the Way of the World""]",That's the Way of the World,"['R&B', 'soul', 'funk']",1975
Styx,61,Lady,Lady,['Progressive rock'],1975
Grand Funk,62,Bad Time,Bad Time,['Rock'],1975
Alice Cooper,63,Only Women Bleed,Only Women Bleed,['Soft rock'],1975
Carol Douglas,64,"[""Doctor's Orders""]",Doctor's Orders,"['R&B', 'soul']",1975
KC and the Sunshine Band,65,Get Down Tonight,Get Down Tonight,['Disco'],1975
Paul Anka,66,"""One Man Woman/One Woman Man""","""One Man Woman/One Woman Man""",[],1975
Joe Cocker,67,You Are So Beautiful,You Are So Beautiful,"['Pop', 'soul']",1975
Bad Company,68,"[""Feel Like Makin' Love""]",Feel Like Makin' Love,['Hard rocksoft rock'],1975
James Taylor,69,How Sweet It Is (To Be Loved by You),How Sweet It Is (To Be Loved by You),['Soul'],1975
Orleans,70,Dance with Me,Dance with Me,['Soft rock'],1975
Average White Band,71,Cut the Cake,Cut the Cake,['Funk'],1975
Gloria Gaynor,72,Never Can Say Goodbye,Never Can Say Goodbye,['Soul'],1975
Paul Anka,73,"[""I Don't Like to Sleep Alone""]",I Don't Like to Sleep Alone,['Pop'],1975
Donny,74,Morning Side of the Mountain,Morning Side of the Mountain,['Pop'],1975
The Three Degrees,75,When Will I See You Again,When Will I See You Again,"['Soul', 'R&B']",1975
Joe Simon,76,"Get Down, Get Down (Get on the Floor)","Get Down, Get Down (Get on the Floor)",['R&B'],1975
John Denver,77,"[""I'm Sorry""]",I'm Sorry,"['Folk', 'country', 'pop']",1975
Queen,78,Killer Queen,Killer Queen,"['Art pop', 'glam rock', 'power pop']",1975
Eddie Kendricks,79,Shoeshine Boy,Shoeshine Boy,['Rhythm and Blues'],1975
B.T. Express,80,Til You,Do It ('Til You're Satisfied),"['Funk', 'soul']",1975
Electric Light Orchestra,81,"[""Can't Get It Out of My Head""]",Can't Get It Out of My Head,['Soft rock'],1975
Al Green,82,"""Sha-La-La (Make Me Happy)""","""Sha-La-La (Make Me Happy)""",[],1975
America,83,Lonely People,Lonely People,"['Folk rock', 'pop rock']",1975
Rufus,84,You Got the Love,You Got the Love,['R&B'],1975
Mike Post,85,The Rockford Files Theme,The Rockford Files Theme,['Pop'],1975
Tavares,86,It Only Takes a Minute,It Only Takes a Minute,"['Soul', 'R&B', 'disco']",1975
Ringo Starr,87,No No Song,No No Song,"['Pop', 'novelty']",1975
Paul McCartney & Wings,88,"[""Junior's Farm""]",Junior's Farm,['Glam rock'],1975
Jethro Tull,89,Bungle in the Jungle,Bungle in the Jungle,['Progressive rock'],1975
Leo Sayer,90,Long Tall Glasses (I Can Dance),Long Tall Glasses (I Can Dance),['Rock'],1975
Ray Stevens,91,Misty,Misty,['Country'],1975
Elton John,92,Someone Saved My Life Tonight,Someone Saved My Life Tonight,"['Piano rock', 'Progressive pop', 'Power ballad']",1975
Neil Sedaka,93,Bad Blood,Bad Blood,['Pop'],1975
The Carpenters,94,Only Yesterday,Only Yesterday,['Soft rock'],1975
Dwight Twilley Band,95,"[""I'm on Fire""]",I'm on Fire,['Power pop'],1975
Ringo Starr,96,Only You (And You Alone),Only You (And You Alone),['Doo-wop'],1975
Amazing Rhythm Aces,97,Third Rate Romance,Third Rate Romance,['Country rock'],1975
Bachman–Turner Overdrive,98,"[""You Ain't Seen Nothing Yet""]",You Ain't Seen Nothing Yet,"['Blues rock', 'arena rock', 'garage rock']",1975
Frankie Valli,99,"[""Swearin' to God""]",Swearin' to God,"['Disco', 'Funk']",1975
Disco-Tex and the Sex-O-Lettes,100,"[""Get Dancin'""]",Get Dancin',['Disco'],1975
Wings,1,Silly Love Songs,Silly Love Songs,['Discofunk'],1976
Elton John,2,"[""Don't Go Breaking My Heart""]",Don't Go Breaking My Heart,"['House', 'disco']",1976
Johnnie Taylor,3,Disco Lady,Disco Lady,"['Disco', 'funk']",1976
The Four Seasons,4,"December, 1963 (Oh, What a Night)","December, 1963 (Oh, What a Night)","['Disco', 'pop', 'funk']",1976
Wild Cherry,5,Play That Funky Music,Play That Funky Music,['Funk rock'],1976
The Manhattans,6,Kiss and Say Goodbye,Kiss and Say Goodbye,['R&B'],1976
The Miracles,7,Love Machine,Love Machine,['Disco'],1976
Paul Simon,8,50 Ways to Leave Your Lover,50 Ways to Leave Your Lover,"['Soft rock', 'folk rock']",1976
Gary Wright,9,Love Is Alive,Love Is Alive,"['soft rock', 'electronic rock']",1976
Walter Murphy,10,A Fifth of Beethoven,A Fifth of Beethoven,['Disco'],1976
Hall & Oates,11,Sara Smile,Sara Smile,"['Soft rock', '']",1976
Starland Vocal Band,12,Afternoon Delight,Afternoon Delight,"['Country pop', 'soft rock']",1976
Barry Manilow,13,I Write the Songs,I Write the Songs,"['Pop', 'adult contemporary']",1976
Silver Convention,14,"Fly, Robin, Fly","Fly, Robin, Fly",['Disco'],1976
Diana Ross,15,Love Hangover,Love Hangover,"['Disco', 'pop']",1976
Seals and Crofts,16,Get Closer,Get Closer,['Blue-eyed soul'],1976
Andrea True Connection,17,"More, More, More","More, More, More",['Disco'],1976
Queen,18,Bohemian Rhapsody,Bohemian Rhapsody,"['Progressive rock', 'hard rock', 'progressive pop', 'art rock']",1976
Dorothy Moore,19,Misty Blue,Misty Blue,"['Country', 'Nashville Sound']",1976
The Sylvers,20,Boogie Fever,Boogie Fever,"['Disco', 'soul']",1976
England Dan & John Ford Coley,21,"[""I'd Really Love to See You Tonight""]",I'd Really Love to See You Tonight,['Soft rock'],1976
Hot Chocolate,22,You Sexy Thing,You Sexy Thing,"['Funk', 'disco', 'soul']",1976
Nazareth,23,Love Hurts,Love Hurts,['Country'],1976
Silver Convention,24,Get Up and Boogie,Get Up and Boogie,['Disco'],1976
Eagles,25,Take It to the Limit,Take It to the Limit,"['Soft rock', 'country rock']",1976
KC and the Sunshine Band,26,"(Shake, Shake, Shake) Shake Your Booty","(Shake, Shake, Shake) Shake Your Booty",['Disco'],1976
Commodores,27,Sweet Love,Sweet Love,"['Soul', 'R&B']",1976
Maxine Nightingale,28,Right Back Where We Started From,Right Back Where We Started From,"['R&B', 'disco']",1976
Rhythm Heritage,29,[None],None,['Disco'],1976
Ohio Players,30,Love Rollercoaster,Love Rollercoaster,['Funk'],1976
Bee Gees,31,You Should Be Dancing,You Should Be Dancing,['Disco'],1976
Lou Rawls,32,"[""You'll Never Find Another Love Like Mine""]",You'll Never Find Another Love Like Mine,"['Philadelphia soul', 'disco']",1976
David Bowie,33,Golden Years,Golden Years,"['Funk', 'disco']",1976
Starbuck,34,Moonlight Feels Right,Moonlight Feels Right,['Soft rock'],1976
Dr. Hook,35,Only Sixteen,Only Sixteen,"['Rhythm and blues', 'soul', 'pop']",1976
The Bellamy Brothers,36,Let Your Love Flow,Let Your Love Flow,"['Country pop', 'country rock', 'soft rock']",1976
Gary Wright,37,Dream Weaver,Dream Weaver,['Soft rock'],1976
Vicki Sue Robinson,38,Turn the Beat Around,Turn the Beat Around,['Disco'],1976
Captain & Tennille,39,Lonely Night (Angel Face),Lonely Night (Angel Face),[],1976
Eric Carmen,40,All by Myself,All by Myself,['Soft rock'],1976
Donna Summer,41,Love to Love You Baby,Love to Love You Baby,['Euro disco'],1976
Donny,42,Deep Purple,Deep Purple,['Pop'],1976
Diana Ross,43,[None],None,['PopsoulR&B'],1976
Rufus,44,Sweet Thing,Sweet Thing,['R&Bsmooth soul'],1976
KC and the Sunshine Band,45,"[""That's the Way (I Like It)""]",That's the Way (I Like It),['Disco'],1976
Dr. Hook,46,A Little Bit More,A Little Bit More,['Soft rock'],1976
Henry Gross,47,Shannon,Shannon,"['Soft rock', 'Pop']",1976
Chicago,48,If You Leave Me Now,If You Leave Me Now,['Soft rock'],1976
Boz Scaggs,49,Lowdown,Lowdown,"['Disco', 'soft rock', 'blue-eyed soul', 'yacht rock', 'blues']",1976
Peter Frampton,50,Show Me the Way,Show Me the Way,['Rock'],1976
Aerosmith,51,Dream On,Dream On,"['Hard rock', 'blues rock']",1976
