band_singer,ranking,song,title,genre,year
Ray Anthony,66,Peter Gunn Theme,Peter Gunn Theme,['Instrumental theme music'],1959
The Chipmunks,67,"[""The Chipmunk Song (Christmas Don't Be Late)""]",The Chipmunk Song (Christmas Don't Be Late),['Christmaspopnovelty'],1959
Fats Domino,68,I Want to Walk You Home,I Want to Walk You Home,['R&BPop'],1959
The Fiestas,69,So Fine,So Fine,['Doo-wop'],1959
Frankie Avalon,70,Bobby Sox to Stockings,Bobby Sox to Stockings,['Pop'],1959
Wink Martindale,71,The Deck of Cards,The Deck of Cards,[],1959
Clyde McPhatter,72,"[""A Lover's Question""]",A Lover's Question,['Soul'],1959
The Flamingos,73,I Only Have Eyes for You,I Only Have Eyes for You,"['Doo-wop', 'pop', 'rock and roll']",1959
Ricky Nelson,74,"[""It's Late""]",It's Late,['Rock and roll'],1959
"[""Chris Barber's Jazz Band""]",75,Petite Fleur,Petite Fleur,[],1959
Annette Funicello,76,Tall Paul,Tall Paul,[],1959
The Kingston Trio,77,The Tijuana Jail,The Tijuana Jail,['Folk'],1959
Ricky Nelson,78,Just a Little Too Much,Just a Little Too Much,['Rock and roll'],1959
Jack Scott,79,Goodbye Baby,Goodbye Baby,['Rockabilly'],1959
The Coasters,80,Along Came Jones,Along Came Jones,['Rock and roll'],1959
Tommy Dee,81,Three Stars,Three Stars,[],1959
Frankie Avalon,82,A Boy Without a Girl,A Boy Without a Girl,['Pop'],1959
Ricky Nelson,83,Sweeter Than You,Sweeter Than You,['Ballad'],1959
Skip & Flip,84,It Was I,It Was I,['Rock and roll'],1959
Kathy Linden,85,"Goodbye Jimmy, Goodbye","Goodbye Jimmy, Goodbye",['Pop'],1959
Reg Owen Orchestra,86,Manhattan Spiritual,Manhattan Spiritual,['Big band'],1959
Brook Benton,87,Endlessly,Endlessly,['Soul'],1959
Guy Mitchell,88,Heartaches by the Number,Heartaches by the Number,['Traditional pop'],1959
Frankie Ford,89,Sea Cruise,Sea Cruise,['Rock and roll'],1959
Jackie Wilson,90,"[""That's Why (I Love You So)""]",That's Why (I Love You So),['Soul'],1959
The Falcons,91,"[""You're So Fine""]",You're So Fine,['R&B'],1959
Bobby Rydell,92,"[""Kissin' Time""]",Kissin' Time,"['Hard rock', 'glam rock']",1959
Elvis Presley,93,My Wish Came True,My Wish Came True,['Pop'],1959
Ivo Robić,94,Morgen,Morgen,['Traditional pop'],1959
Jan and Dean,95,Baby Talk,Baby Talk,"['Doo-wop', 'California Sound']",1959
The Everly Brothers,96,Take a Message to Mary,Take a Message to Mary,['Pop'],1959
Mormon Tabernacle Choir,97,The Battle Hymn of the Republic,The Battle Hymn of the Republic,['Choral'],1959
Preston Epps,98,Bongo Rock,Bongo Rock,['Instrumental rock'],1959
Ernie Fields,99,In the Mood,In the Mood,"['Big band', 'swing']",1959
Paul Evans,100,Seven Little Girls Sitting in the Back Seat,Seven Little Girls Sitting in the Back Seat,['Rock and roll'],1959
Percy Faith,1,Theme from A Summer Place,Theme from A Summer Place,['Easy listening'],1960
Jim Reeves,2,"[""He'll Have to Go""]",He'll Have to Go,"['Country', 'Nashville Sound']",1960
The Everly Brothers,3,"[""Cathy's Clown""]",Cathy's Clown,['Pop'],1960
Johnny Preston,4,Running Bear,Running Bear,[],1960
Mark Dinning,5,Teen Angel,Teen Angel,['Pop'],1960
Brenda Lee,6,"[""I'm Sorry""]",I'm Sorry,"['Pop', 'country']",1960
Elvis Presley,7,"[""It's Now or Never""]",It's Now or Never,['Pop'],1960
Jimmy Jones,8,Handy Man,Handy Man,['Rock and roll'],1960
Elvis Presley,9,Stuck on You,Stuck on You,"['Rock and roll', 'pop', 'rhythm and blues']",1960
Chubby Checker,10,The Twist,The Twist,"['Rock and roll', 'pop']",1960
Connie Francis,11,s Somebody,Everybody's Somebody's Fool,['Pop'],1960
Bobby Rydell,12,Wild One,Wild One,['Rock and roll'],1960
The Brothers Four,13,Greenfields,Greenfields,['Folk'],1960
Jack Scott,14,"[""What in the World's Come Over You""]",What in the World's Come Over You,['Rockabilly'],1960
Marty Robbins,15,El Paso,El Paso,"['Country', 'Tex-Mex']",1960
The Hollywood Argyles,16,Alley Oop,Alley Oop,"['Rock and roll', 'doo-wop', 'novelty']",1960
Connie Francis,17,My Heart Has a Mind of Its Own,My Heart Has a Mind of Its Own,['Pop'],1960
Brenda Lee,18,"[""Sweet Nothin's""]",Sweet Nothin's,"['Rockabilly', 'teen pop']",1960
Brian Hyland,19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,['Bubblegum pop'],1960
Roy Orbison,20,Only the Lonely,Only the Lonely,"['Rock', 'pop', 'rock and roll']",1960
Dion and the Belmonts,21,Where or When,Where or When,['Showtune'],1960
Connie Stevens,22,Sixteen Reasons,Sixteen Reasons,['Traditional pop'],1960
Paul Anka,23,Puppy Love,Puppy Love,['Pop'],1960
Frankie Avalon,24,Why,Why,['Pop'],1960
The Ventures,25,"[""Walk, Don't Run""]","Walk, Don't Run","['Instrumental rock', 'surf rock']",1960
The Drifters,26,Save the Last Dance for Me,Save the Last Dance for Me,['Popsoul'],1960
Dinah Washington,27,"[""Baby (You've Got What It Takes)""]",Baby (You've Got What It Takes),['R&B'],1960
Johnny Horton,28,Sink the Bismarck,Sink the Bismarck,"['Country', 'Novelty']",1960
Sam Cooke,29,Chain Gang,Chain Gang,"['Rhythm and blues', 'soul']",1960
The Everly Brothers,30,Let It Be Me,Let It Be Me,['Pop'],1960
Jimmy Jones,31,"[""Good Timin'""]",Good Timin',['R&B'],1960
Bobby Darin,32,Beyond the Sea,Beyond the Sea,['Big band'],1960
Jimmy Clanton,33,"Go, Jimmy, Go","Go, Jimmy, Go",['Rock and roll'],1960
Jackie Wilson,34,"""Night""","""Night""",['Pop'],1960
Jack Scott,35,Burning Bridges,Burning Bridges,['Country'],1960
Toni Fisher,36,The Big Hurt,The Big Hurt,['Pop'],1960
Duane Eddy,37,"[""Because They're Young""]",Because They're Young,"['Instrumental rock', 'rock and roll']",1960
Conway Twitty,38,Lonely Blue Boy,Lonely Blue Boy,['Rockabilly'],1960
Steve Lawrence,39,Pretty Blue Eyes,Pretty Blue Eyes,['Pop'],1960
Freddy Cannon,40,"""Way Down Yonder in New Orleans""","""Way Down Yonder in New Orleans""",[],1960
Anita Bryant,41,Paper Roses,Paper Roses,['Traditional pop'],1960
Larry Verne,42,Mr. Custer,Mr. Custer,['Novelty'],1960
Brenda Lee,43,I Want to Be Wanted,I Want to Be Wanted,['Pop'],1960
The Fendermen,44,Mule Skinner Blues,Mule Skinner Blues,['Hillbilly (Country)  Country blues'],1960
Johnny Preston,45,Cradle of Love,Cradle of Love,['Rock and roll'],1960
Marv Johnson,46,You Got What It Takes,You Got What It Takes,['R&B'],1960
Hank Locklin,47,"[""Please Help Me, I'm Falling""]","Please Help Me, I'm Falling",['Country'],1960
Ron Holden,48,Love You So,Love You So,['R&B'],1960
Hank Ballard,49,"[""Finger Poppin' Time""]",Finger Poppin' Time,['R&B'],1960
The Platters,50,Harbor Lights,Harbor Lights,[],1960
Billy Bland,51,Let the Little Girl Dance,Let the Little Girl Dance,['R&B'],1960
Jeanne Black,52,"[""He'll Have to Stay""]",He'll Have to Stay,['Country'],1960
Ferrante & Teicher,53,[None],None,['Easy listening'],1960
Bobby Rydell,54,Volare,Volare,['Pop'],1960
Jimmy Charles,55,A Million to One,A Million to One,[],1960
Andy Williams,56,The Village of St. Bernadette,The Village of St. Bernadette,['Easy Listening'],1960
"[""Bill Black's Combo""]",57,White Silver Sands,White Silver Sands,['Traditional pop'],1960
The Browns,58,The Old Lamp-Lighter,The Old Lamp-Lighter,['Countrypolitan'],1960
Bobby Vee,59,Devil or Angel,Devil or Angel,['R&B'],1960
The Four Preps,60,Down by the Station,Down by the Station,[],1960
[],61,Forever,Forever,['Easy listening'],1960
The Safaris,62,Image of a Girl,Image of a Girl,['Doo-wop'],1960
Brook Benton,63,Kiddio,Kiddio,[],1960
Donnie Brooks,64,Mission Bell,Mission Bell,['Pop'],1960
Marv Johnson,65,I Love the Way You Love,I Love the Way You Love,['R&B'],1960
Paul Anka,66,"""It's Time to Cry""","""It's Time to Cry""",[],1960
Ray Peterson,67,Tell Laura I Love Her,Tell Laura I Love Her,['Pop'],1960
Connie Francis,68,Mama,Mama,['Pop'],1960
Steve Lawrence,69,Footsteps,Footsteps,['Pop'],1960
