,band_singer,singer_url,active_years
0,['The Police'],['/wiki/The_Police'],1977–1986 2003 2007–2008
1,['Michael Jackson'],['/wiki/Michael_Jackson'],1964 2009
2,['Irene Cara'],['/wiki/Irene_Cara'],
3,['Men at Work'],['/wiki/Men_at_Work'],1978 1978 1986 1986 1996 1996 2002 2002 2012 2019 2019
4,['Michael Jackson'],['/wiki/Michael_Jackson'],1964 2009
5,['Bonnie Tyler'],['/wiki/Bonnie_Tyler'],1969
6,['Hall & Oates'],['/wiki/Hall_%26_Oates'],1970
7,"['Patti Austin', 'James Ingram']","['/wiki/Patti_Austin', '/wiki/James_Ingram']",1955
8,['Michael Sembello'],['/wiki/Michael_Sembello'],1975
9,['Eurythmics'],['/wiki/Eurythmics'],1980–1990 1999–2005
10,['Culture Club'],['/wiki/Culture_Club'],1981–1986 1998–2002 2011–present
11,"['Eddie Rabbitt', 'Crystal Gayle']","['/wiki/Eddie_Rabbitt', '/wiki/Crystal_Gayle']",1964 1998
12,['Dexys Midnight Runners'],['/wiki/Dexys_Midnight_Runners'],1978 1986 2003
13,['Bob Seger & The Silver Bullet Band'],['/wiki/Bob_Seger_%26_The_Silver_Bullet_Band'],1961–1996 2000–present
14,['Donna Summer'],['/wiki/Donna_Summer'],1968 2012
15,['Sérgio Mendes'],['/wiki/S%C3%A9rgio_Mendes'],1961
16,['Duran Duran'],['/wiki/Duran_Duran'],1978
17,['David Bowie'],['/wiki/David_Bowie'],
18,['Golden Earring'],['/wiki/Golden_Earring'],1961 2021
19,['Frida'],['/wiki/Anni-Frid_Lyngstad'],1958
20,['The Greg Kihn Band'],['/wiki/The_Greg_Kihn_Band'],1976 1976
21,['Eddy Grant'],['/wiki/Eddy_Grant'],1965
22,['Thomas Dolby'],['/wiki/Thomas_Dolby'],1979
23,['Toto'],['/wiki/Toto_(band)'],1977–2008 2010–2019[1] 2020–present
24,['Prince'],['/wiki/Prince_(musician)'],
25,['The Pretenders'],['/wiki/The_Pretenders'],1978
26,"['Joe Cocker', 'Jennifer Warnes']","['/wiki/Joe_Cocker', '/wiki/Jennifer_Warnes']",1961 2014 1967
27,['Styx'],['/wiki/Styx_(band)'],1972–1984 1990–1991 1995–present
28,['Lionel Richie'],['/wiki/Lionel_Richie'],
29,['After the Fire'],['/wiki/After_the_Fire'],1972 1982 2004 2013
30,['Taco'],['/wiki/Taco_(musician)'],1979
31,['Marvin Gaye'],['/wiki/Marvin_Gaye'],
32,['The Human League'],['/wiki/The_Human_League'],1977
33,['Culture Club'],['/wiki/Culture_Club'],1981–1986 1998–2002 2011–present
34,['Men Without Hats'],['/wiki/Men_Without_Hats'],1977 1993 2002 2003 2010
35,['Toni Basil'],['/wiki/Toni_Basil'],
36,['Phil Collins'],['/wiki/Phil_Collins'],
37,['Journey'],['/wiki/Journey_(band)'],1973–1987 1991 1995–present
38,['Hall & Oates'],['/wiki/Hall_%26_Oates'],1970
39,"['Kenny Rogers', 'Sheena Easton']","['/wiki/Kenny_Rogers', '/wiki/Sheena_Easton']",1956 2017 1978
40,['Prince'],['/wiki/Prince_(musician)'],
41,['Stray Cats'],['/wiki/Stray_Cats'],1979–1984 1986–1993 2004–2009 2018–present
