,band_singer,singer_url,active_years
0,['Johnny Horton'],['/wiki/Johnny_Horton'],1950 1960
1,['Bobby Darin'],['/wiki/Bobby_Darin'],
2,['Lloyd Price'],['/wiki/Lloyd_Price'],1952 2019
3,['Frankie Avalon'],['/wiki/Frankie_Avalon'],
4,['Paul Anka'],['/wiki/Paul_Anka'],
5,['Bobby Darin'],['/wiki/Bobby_Darin'],
6,['The Browns'],['/wiki/The_Browns'],1954 1968
7,['The Fleetwoods'],['/wiki/The_Fleetwoods'],1958 1958 1983
8,['Wilbert Harrison'],['/wiki/Wilbert_Harrison'],1950 1990
9,['The Fleetwoods'],['/wiki/The_Fleetwoods'],1958 1958 1983
10,['Santo & Johnny'],['/wiki/Santo_%26_Johnny'],1959 1978
11,['Paul Anka'],['/wiki/Paul_Anka'],
12,['Lloyd Price'],['/wiki/Lloyd_Price'],1952 2019
13,['Ritchie Valens'],['/wiki/Ritchie_Valens'],
14,['Dodie Stevens'],['/wiki/Dodie_Stevens'],1954
15,['The Platters'],['/wiki/The_Platters'],1952
16,['The Coasters'],['/wiki/The_Coasters'],1955
17,['Martin Denny'],['/wiki/Martin_Denny'],
18,['Carl Dobkins Jr.'],['/wiki/Carl_Dobkins_Jr.'],1957 2020
19,['The Everly Brothers'],['/wiki/The_Everly_Brothers'],1951 1973 1983 2005
20,['Phil Phillips'],['/wiki/Phil_Phillips'],
21,['Dave Cortez'],['/wiki/Dave_Cortez'],1956
22,['Lloyd Price'],['/wiki/Lloyd_Price'],1952 2019
23,['The Impalas'],['/wiki/The_Impalas'],
24,['Dion and the Belmonts'],['/wiki/Dion_and_the_Belmonts'],1957–1960 1966 1972 1973
25,['The Crests'],['/wiki/The_Crests'],1954 1978 1980
26,['Brook Benton'],['/wiki/Brook_Benton'],1948 1988
27,['Connie Francis'],['/wiki/Connie_Francis'],1943 2018
28,['The Drifters'],['/wiki/The_Drifters'],1953
29,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
30,['Johnny and the Hurricanes'],['/wiki/Johnny_and_the_Hurricanes'],1957 1957 2005 2005
