,band_singer,singer_url,active_years
0,"['Flo Rida', 'T-Pain']","['/wiki/Flo_Rida', '/wiki/T-Pain']",2000 1999
1,['Leona Lewis'],['/wiki/Leona_Lewis'],
2,['Alicia Keys'],['/wiki/Alicia_Keys'],
3,"['Lil Wayne', 'Static Major']","['/wiki/Lil_Wayne', '/wiki/Static_Major']",1990 2008
4,['OneRepublic'],['/wiki/OneRepublic'],2002
5,"['Jordin Sparks', 'Chris Brown']","['/wiki/Jordin_Sparks', '/wiki/Chris_Brown']",2006
6,['Sara Bareilles'],['/wiki/Sara_Bareilles'],
7,"['Usher', 'Young Jeezy']","['/wiki/Usher_(musician)', '/wiki/Young_Jeezy']",
8,['Chris Brown'],['/wiki/Chris_Brown'],
9,['Chris Brown'],['/wiki/Chris_Brown'],
10,"['Ray J', 'Yung Berg']","['/wiki/Ray_J', '/wiki/Yung_Berg']",2001
11,['Rihanna'],['/wiki/Rihanna'],
12,['Coldplay'],['/wiki/Coldplay'],1997
13,['Katy Perry'],['/wiki/Katy_Perry'],
14,['T.I.'],['/wiki/T.I.'],
15,['Rihanna'],['/wiki/Rihanna'],
16,['Rihanna'],['/wiki/Rihanna'],
17,['Natasha Bedingfield'],['/wiki/Natasha_Bedingfield'],2001
18,"['Chris Brown', 'T-Pain']","['/wiki/Chris_Brown', '/wiki/T-Pain']",1999
19,['Ne-Yo'],['/wiki/Ne-Yo'],
20,['Colbie Caillat'],['/wiki/Colbie_Caillat'],
21,['Mariah Carey'],['/wiki/Mariah_Carey'],
22,"['Madonna', 'Justin Timberlake', 'Timbaland']","['/wiki/Madonna', '/wiki/Justin_Timberlake', '/wiki/Timbaland']",
23,['Pink'],['/wiki/Pink_(singer)'],
24,['Finger Eleven'],['/wiki/Finger_Eleven'],1990
25,['Fergie'],['/wiki/Fergie_(singer)'],
26,['Jason Mraz'],['/wiki/Jason_Mraz'],
27,['Jesse McCartney'],['/wiki/Jesse_McCartney'],
28,"['Kardinal Offishall', 'Akon']","['/wiki/Kardinal_Offishall', '/wiki/Akon']",1994
29,['Jordin Sparks'],['/wiki/Jordin_Sparks'],2006
30,['Miley Cyrus'],['/wiki/Miley_Cyrus'],
31,['Metro Station'],['/wiki/Metro_Station_(band)'],2006–2017 2019–2020
32,['OneRepublic'],['/wiki/OneRepublic'],2002
33,['Sean Kingston'],['/wiki/Sean_Kingston'],2007
34,['M.I.A.'],['/wiki/M.I.A._(rapper)'],
35,['Katy Perry'],['/wiki/Katy_Perry'],
36,"['T.I.', 'Rihanna']","['/wiki/T.I.', '/wiki/Rihanna']",
37,"['Plies', 'Ne-Yo']","['/wiki/Plies_(rapper)', '/wiki/Ne-Yo']",2001
38,"['Estelle', 'Kanye West']","['/wiki/Estelle_(musician)', '/wiki/Kanye_West']",2000
39,"['Lil Wayne', 'T-Pain']","['/wiki/Lil_Wayne', '/wiki/T-Pain']",1999
40,['Taylor Swift'],['/wiki/Taylor_Swift'],
41,['Danity Kane'],['/wiki/Danity_Kane'],2005–2009 2013–2014 2018–2020[a]
42,['Lil Wayne'],['/wiki/Lil_Wayne'],
43,['Buckcherry'],['/wiki/Buckcherry'],1995–2002 2005–present
44,"['Webbie', 'Lil Boosie', 'Lil Phat']","['/wiki/Webbie', '/wiki/Lil_Boosie', '/wiki/Lil_Phat']",2000 1999 2007 2012
45,"['T-Pain', 'Lil Wayne']","['/wiki/T-Pain', '/wiki/Lil_Wayne']",1999
46,['Alicia Keys'],['/wiki/Alicia_Keys'],
47,['Taylor Swift'],['/wiki/Taylor_Swift'],
48,['Pussycat Dolls'],['/wiki/Pussycat_Dolls'],2003–2010 2019–2021
49,['Snoop Dogg'],['/wiki/Snoop_Dogg'],
50,"[""Colby O'Donis"", 'Akon']","['/wiki/Colby_O%27Donis', '/wiki/Akon']",1997
51,['3 Doors Down'],['/wiki/3_Doors_Down'],1996
52,['Leona Lewis'],['/wiki/Leona_Lewis'],
53,"[""Soulja Boy Tell 'Em""]",['/wiki/Soulja_Boy'],2004
54,['Linkin Park'],['/wiki/Linkin_Park'],1996 2017
55,"['Wyclef Jean', 'Akon', 'Lil Wayne', 'Niia']","['/wiki/Wyclef_Jean', '/wiki/Akon', '/wiki/Lil_Wayne', '/wiki/Niia']",2007
56,['Ne-Yo'],['/wiki/Ne-Yo'],
