,band_singer,singer_url,active_years
0,['Daniel Powter'],['/wiki/Daniel_Powter'],1984–present
1,['Sean Paul'],['/wiki/Sean_Paul'],
2,"['Nelly Furtado', 'Timbaland']","['/wiki/Nelly_Furtado', '/wiki/Timbaland']",
3,['James Blunt'],['/wiki/James_Blunt'],
4,"['Shakira', 'Wyclef Jean']","['/wiki/Shakira', '/wiki/Wyclef_Jean']",
5,['Natasha Bedingfield'],['/wiki/Natasha_Bedingfield'],2001
6,['Gnarls Barkley'],['/wiki/Gnarls_Barkley'],2003 2010
7,"['Chamillionaire', 'Krayzie Bone']","['/wiki/Chamillionaire', '/wiki/Krayzie_Bone']",1997 1991
8,"['Justin Timberlake', 'Timbaland']","['/wiki/Justin_Timberlake', '/wiki/Timbaland']",
9,"['Beyoncé', 'Slim Thug']","['/wiki/Beyonc%C3%A9_Knowles', '/wiki/Slim_Thug']",1998
10,['Mary J. Blige'],['/wiki/Mary_J._Blige'],
11,"['Nelly', 'Paul Wall', 'Ali & Gipp']","['/wiki/Nelly', '/wiki/Paul_Wall', '/wiki/Ali_%26_Gipp']",1998 2005 2007
12,['The Fray'],['/wiki/The_Fray_(band)'],2002
13,['Cassie'],['/wiki/Cassie_Ventura'],
14,"['Pussycat Dolls', 'Snoop Dogg']","['/wiki/Pussycat_Dolls', '/wiki/Snoop_Dogg']",2003–2010 2019–2021
15,"['Chris Brown', 'Juelz Santana']","['/wiki/Chris_Brown_(American_singer)', '/wiki/Juelz_Santana']",1994
16,['Ne-Yo'],['/wiki/Ne-Yo'],
17,"['Yung Joc', 'Nitti']","['/wiki/Yung_Joc', '/wiki/Nitti_(producer)']",2003 1998
18,['Rihanna'],['/wiki/Rihanna'],
19,['Panic! at the Disco'],['/wiki/Panic!_at_the_Disco'],2004 2023
20,['The All-American Rejects'],['/wiki/The_All-American_Rejects'],1999
21,['Fergie'],['/wiki/Fergie_(singer)'],
22,['Red Hot Chili Peppers'],['/wiki/Red_Hot_Chili_Peppers'],1982 1982
23,"['Lil Jon', 'E-40', 'Sean Paul']","['/wiki/Lil_Jon', '/wiki/E-40', '/wiki/YoungBloodZ']",1991 1986 1997 2008 2014
24,['Dem Franchize Boyz'],['/wiki/Dem_Franchize_Boyz'],2002 2012
25,['Rascal Flatts'],['/wiki/Rascal_Flatts'],1999 2021
26,['The Fray'],['/wiki/The_Fray_(band)'],2002
27,['Rihanna'],['/wiki/Rihanna'],
28,['Snow Patrol'],['/wiki/Snow_Patrol'],1994
29,['Hinder'],['/wiki/Hinder'],2001
30,['Cascada'],['/wiki/Cascada'],2004
31,['Christina Aguilera'],['/wiki/Christina_Aguilera'],
