,band_singer,singer_url,active_years
0,['Acker Bilk'],['/wiki/Acker_Bilk'],1954–2013
1,['Ray Charles'],['/wiki/Ray_Charles'],1947–2004
2,['Dee Dee Sharp'],['/wiki/Dee_Dee_Sharp'],1961–present
3,['Bobby Vinton'],['/wiki/Bobby_Vinton'],1958–2015
4,['David Rose'],['/wiki/David_Rose_(musician)'],1939–1990
5,['Shelley Fabares'],['/wiki/Shelley_Fabares'],1947–2006
6,['Little Eva'],['/wiki/Little_Eva'],1961–1971 1987–2001
7,['The Sensations'],['/wiki/The_Sensations'],
8,['Chubby Checker'],['/wiki/Chubby_Checker'],1958–present
9,['The Shirelles'],['/wiki/The_Shirelles'],1957–1982
10,['Bruce Channel'],['/wiki/Bruce_Channel'],1959
11,['Dion'],['/wiki/Dion_DiMucci'],1957–present
12,['Gene Chandler'],['/wiki/Gene_Chandler'],
13,['Freddy Cannon'],['/wiki/Freddy_Cannon'],1956–present
14,['Neil Sedaka'],['/wiki/Neil_Sedaka'],1957–present
15,['Claude King'],['/wiki/Claude_King'],1961–2013
16,"['Chubby Checker', 'Dee Dee Sharp']","['/wiki/Chubby_Checker', '/wiki/Dee_Dee_Sharp']",1958–present 1961–present
17,['Johnny Tillotson'],['/wiki/Johnny_Tillotson'],1957–present
18,['Mary Wells'],['/wiki/Mary_Wells'],1960–1990
19,['Elvis Presley'],['/wiki/Elvis_Presley'],1953–1977
20,['Kenny Ball'],['/wiki/Kenny_Ball'],1953–2013
21,['Tommy Roe'],['/wiki/Tommy_Roe'],1959–2018
22,['Sam Cooke'],['/wiki/Sam_Cooke'],1951–1964
23,['The Orlons'],['/wiki/The_Orlons'],1960–present
24,['Joey Dee and the Starliters'],['/wiki/Joey_Dee_and_the_Starliters'],1958–present
25,['Brenda Lee'],['/wiki/Brenda_Lee'],1951–present
26,['The Marvelettes'],['/wiki/The_Marvelettes'],1960–1971
27,['Nat King Cole'],['/wiki/Nat_King_Cole'],1934–1965
