,band_singer,singer_url,active_years
0,"['Coolio', 'L.V.']","['/wiki/Coolio', '/wiki/L.V._(singer)']",1987–2022 1990–present
1,['TLC'],['/wiki/TLC_(band)'],1990–present
2,[],[],
3,['Seal'],['/wiki/Seal_(musician)'],1987–present
4,['Boyz II Men'],['/wiki/Boyz_II_Men'],1985–present
5,['Real McCoy'],['/wiki/Real_McCoy_(band)'],1989–1997 1999-2001 2005-2009 2016–present
6,['Mariah Carey'],['/wiki/Mariah_Carey'],1988–present
7,['Madonna'],['/wiki/Madonna'],1979–present
8,['Monica'],['/wiki/Monica_(singer)'],1993–present
9,['Montell Jordan'],['/wiki/Montell_Jordan'],1991–present
10,['Dionne Farris'],['/wiki/Dionne_Farris'],1992–present
11,[],[],
12,['Adina Howard'],['/wiki/Adina_Howard'],1994–present
13,['Blues Traveler'],['/wiki/Blues_Traveler'],1987–present
14,['All-4-One'],['/wiki/All-4-One'],1993 1993
15,['Bryan Adams'],['/wiki/Bryan_Adams'],1975–present
16,['Bon Jovi'],['/wiki/Bon_Jovi'],1983–present
17,['Shaggy'],['/wiki/Shaggy_(musician)'],1992–present
18,['Nicki French'],['/wiki/Nicki_French'],1992–present
19,"[""Des'ree""]",['/wiki/Des%27ree'],1991–present
20,['Michael Jackson'],['/wiki/Michael_Jackson'],1964–2009
21,['Hootie & the Blowfish'],['/wiki/Hootie_%26_the_Blowfish'],1986–2008 2018–present
22,['The Notorious B.I.G.'],['/wiki/The_Notorious_B.I.G.'],1992–1997
23,['Ini Kamoze'],['/wiki/Ini_Kamoze'],1981–present
24,['Soul for Real'],['/wiki/Soul_for_Real'],1992–present
25,[],[],
26,['Blessid Union of Souls'],['/wiki/Blessid_Union_of_Souls'],1990–present
27,[],[],
28,['Janet Jackson'],['/wiki/Janet_Jackson'],1974–present
29,['Sheryl Crow'],['/wiki/Sheryl_Crow'],1987–present
30,['Vanessa Williams'],['/wiki/Vanessa_L._Williams'],1979–present
31,"['Jon B.', 'Babyface']","['/wiki/Jon_B.', '/wiki/Babyface_(musician)']",1994–present 1974–present
32,[],[],
33,['Brownstone'],['/wiki/Brownstone_(group)'],1994–1998 2007–2015 2019–present
34,['Martin Page'],['/wiki/Martin_Page'],1981–present
35,['Luniz'],['/wiki/Luniz'],1992–2005 2015–present
36,['Brandy'],['/wiki/Brandy_Norwood'],1993–present
37,[],[],
38,['Sophie B. Hawkins'],['/wiki/Sophie_B._Hawkins'],1990–present
39,['MoKenStef'],['/wiki/MoKenStef'],1994
40,['Collective Soul'],['/wiki/Collective_Soul'],1992–present
41,"['Method Man', 'Mary J. Blige']","['/wiki/Method_Man', '/wiki/Mary_J._Blige']",1992–present 1988–present
42,['Diana King'],['/wiki/Diana_King'],1993–present
43,['Melissa Etheridge'],['/wiki/Melissa_Etheridge'],1985–present
44,['Soul for Real'],['/wiki/Soul_for_Real'],1992–present
45,['Blackstreet'],['/wiki/Blackstreet'],1991–2003 2014–present
46,[],[],
47,['4 P.M.'],['/wiki/4_P.M._(group)'],1991
48,[],[],
49,[],[],
