,band_singer,singer_url,active_years
0,['The Beatles'],['/wiki/The_Beatles'],1960–1970
1,['The Beatles'],['/wiki/The_Beatles'],1960–1970
2,['Louis Armstrong'],['/wiki/Louis_Armstrong'],1919–1971
3,['Roy Orbison'],['/wiki/Roy_Orbison'],1953–1988
4,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961–present
5,['Dean Martin'],['/wiki/Dean_Martin'],1932–1995
6,['Mary Wells'],['/wiki/Mary_Wells'],1960–1990
7,['Gale Garnett'],['/wiki/Gale_Garnett'],
8,['J. Frank Wilson and the Cavaliers'],['/wiki/J._Frank_Wilson_and_the_Cavaliers'],
9,['The Supremes'],['/wiki/The_Supremes'],1959
10,['Barbra Streisand'],['/wiki/Barbra_Streisand'],1960–present
11,['Al Hirt'],['/wiki/Al_Hirt'],
12,['The Beatles'],['/wiki/The_Beatles'],1960–1970
13,['The Beatles'],['/wiki/The_Beatles'],1960–1970
14,['Manfred Mann'],['/wiki/Manfred_Mann'],1962–1969
15,['The Beatles'],['/wiki/The_Beatles'],1960–1970
16,['Martha and the Vandellas'],['/wiki/Martha_and_the_Vandellas'],1957–1972
17,"['Billy J. Kramer', 'The Dakotas']","['/wiki/Billy_J._Kramer', '/wiki/The_Dakotas_(band)']",1963–present 1962–present
18,['The Ray Charles Singers'],"['/wiki/Ray_Charles_(musician,_born_1918)']",1942–2015
19,['The Drifters'],['/wiki/The_Drifters'],1953–present
20,['The Dixie Cups'],['/wiki/The_Dixie_Cups'],1963–present
21,['Terry Stafford'],['/wiki/Terry_Stafford'],1963–1996
22,['The Dave Clark Five'],['/wiki/The_Dave_Clark_Five'],1958–1973
23,['The Four Seasons'],['/wiki/The_Four_Seasons_(band)'],1960–1977 1979–present
24,['The Four Seasons'],['/wiki/The_Four_Seasons_(band)'],1960–1977 1979–present
25,['The Newbeats'],['/wiki/The_Newbeats'],1964–1974
26,['Gene Pitney'],['/wiki/Gene_Pitney'],1958–2006
27,['Jan and Dean'],['/wiki/Jan_and_Dean'],1958–1968 1973 1976–2004
28,['Jay and the Americans'],['/wiki/Jay_and_the_Americans'],1960–1973 2006–present
