,band_singer,singer_url,active_years
0,"['Mark Ronson', 'Bruno Mars']","['/wiki/Mark_Ronson', '/wiki/Bruno_Mars']",1993–present 2004–present
1,['Ed Sheeran'],['/wiki/Ed_Sheeran'],2004–present
2,"['Wiz Khalifa', 'Charlie Puth']","['/wiki/Wiz_Khalifa', '/wiki/Charlie_Puth']",2005–present 2009–present
3,['Fetty Wap'],['/wiki/Fetty_Wap'],2013–present
4,['Maroon 5'],['/wiki/Maroon_5'],1994–present
5,['Walk the Moon'],['/wiki/Walk_the_Moon'],2008–2019 2021–present
6,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
7,['Silentó'],['/wiki/Silent%C3%B3'],2015–2021
8,['The Weeknd'],['/wiki/The_Weeknd'],2009–present
9,['The Weeknd'],['/wiki/The_Weeknd'],2009–present
10,['OMI'],['/wiki/Omi_(singer)'],2011–present
11,['The Weeknd'],['/wiki/The_Weeknd'],2009–present
12,['Ellie Goulding'],['/wiki/Ellie_Goulding'],2009–present
13,['Hozier'],['/wiki/Hozier_(musician)'],2008–present
14,"['Taylor Swift', 'Kendrick Lamar']","['/wiki/Taylor_Swift', '/wiki/Kendrick_Lamar']",2004–present 2003–present
15,"['Major Lazer', 'DJ Snake', 'MØ']","['/wiki/Major_Lazer', '/wiki/DJ_Snake', '/wiki/M%C3%98']",2008–present 2000–present 2006–present
16,['Jason Derulo'],['/wiki/Jason_Derulo'],2006–present
17,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
18,"['Skrillex', 'Diplo', 'Jack Ü', 'Justin Bieber']","['/wiki/Skrillex', '/wiki/Diplo', '/wiki/Jack_%C3%9C', '/wiki/Justin_Bieber']",2004–present 1997–present 2013–2016 2007–present
19,['Rachel Platten'],['/wiki/Rachel_Platten'],2002–present
20,['Fetty Wap'],['/wiki/Fetty_Wap'],2013–present
21,['Meghan Trainor'],['/wiki/Meghan_Trainor'],2009–present
22,"['Fifth Harmony', 'Kid Ink']","['/wiki/Fifth_Harmony', '/wiki/Kid_Ink']",2012–2018 2009–present
23,"['Omarion', 'Chris Brown', 'Jhené Aiko']","['/wiki/Omarion', '/wiki/Chris_Brown', '/wiki/Jhen%C3%A9_Aiko']",1998–present 2002–present 2002–present
24,['Andy Grammer'],['/wiki/Andy_Grammer'],2007–present
25,['Sam Smith'],['/wiki/Sam_Smith_(singer)'],2008–present
26,"['Selena Gomez', 'ASAP Rocky']","['/wiki/Selena_Gomez', '/wiki/ASAP_Rocky']",2002–present 2007–present
27,['Meghan Trainor'],['/wiki/Meghan_Trainor'],2009–present
28,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
29,['Drake'],['/wiki/Drake_(rapper)'],2001–present
30,"['David Guetta', 'Nicki Minaj', 'Bebe Rexha', 'Afrojack']","['/wiki/David_Guetta', '/wiki/Nicki_Minaj', '/wiki/Bebe_Rexha', '/wiki/Afrojack']",1986–present 2004–present 2010–present 2007–present
31,"['Flo Rida', 'Sage the Gemini', 'Lookas']","['/wiki/Flo_Rida', '/wiki/Sage_the_Gemini', '/wiki/Lookas']",2000–present 2008–present 2013–present
32,['Justin Bieber'],['/wiki/Justin_Bieber'],2007–present
33,['Ed Sheeran'],['/wiki/Ed_Sheeran'],2004–present
34,['Adele'],['/wiki/Adele'],2006–present
35,['Shawn Mendes'],['/wiki/Shawn_Mendes'],2013–present
36,['Tove Lo'],['/wiki/Tove_Lo'],2006–present
37,['Nick Jonas'],['/wiki/Nick_Jonas'],2000–present
38,"['Pitbull', 'Ne-Yo']","['/wiki/Pitbull_(rapper)', '/wiki/Ne-Yo']",2000–present 1998–present
39,"['R. City', 'Adam Levine']","['/wiki/R._City', '/wiki/Adam_Levine']",2003–present 1994–present
40,"['Natalie La Rose', 'Jeremih']","['/wiki/Natalie_La_Rose', '/wiki/Jeremih']",2010–2016 2022–present 2008–present
41,"['Rihanna', 'Kanye West', 'Paul McCartney']","['/wiki/Rihanna', '/wiki/Kanye_West', '/wiki/Paul_McCartney']",2003–present 1996–present 1957–present
42,['Fall Out Boy'],['/wiki/Fall_Out_Boy'],2001–2009 2013–present
43,['Fetty Wap'],['/wiki/Fetty_Wap'],2013–present
44,['Sam Hunt'],['/wiki/Sam_Hunt_(musician)'],2008–present
45,['Maroon 5'],['/wiki/Maroon_5'],1994–present
46,"['Big Sean', 'E-40']","['/wiki/Big_Sean', '/wiki/E-40']",2007–present 1986–present
47,['Rihanna'],['/wiki/Rihanna'],2003–present
48,['Rich Homie Quan'],['/wiki/Rich_Homie_Quan'],2011–present
49,['T-Wayne'],['/wiki/T-Wayne'],2006–present
50,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']","['/wiki/Nicki_Minaj', '/wiki/Drake_(musician)', '/wiki/Lil_Wayne', '/wiki/Chris_Brown']",2004–present 2001–present 1995–present 2002–present
51,['Sia'],['/wiki/Sia'],1995–present
52,['Demi Lovato'],['/wiki/Demi_Lovato'],2002–present
53,['X Ambassadors'],['/wiki/X_Ambassadors'],2009–present
54,"['Usher', 'Juicy J']","['/wiki/Usher_(musician)', '/wiki/Juicy_J']",1993–present 1987–present
55,"['Ariana Grande', 'The Weeknd']","['/wiki/Ariana_Grande', '/wiki/The_Weeknd']",2008–present 2009–present
56,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
57,['Sam Smith'],['/wiki/Sam_Smith_(singer)'],2008–present
58,"['DJ Snake', 'AlunaGeorge']","['/wiki/DJ_Snake', '/wiki/AlunaGeorge']",2000–present 2012–2023
59,['Fall Out Boy'],['/wiki/Fall_Out_Boy'],2001–2009 2013–present
60,['Beyoncé'],['/wiki/Beyonc%C3%A9'],1997–present
61,['Selena Gomez'],['/wiki/Selena_Gomez'],2002–present
62,['Little Big Town'],['/wiki/Little_Big_Town'],1998–present
63,['Trey Songz'],['/wiki/Trey_Songz'],2003–present
64,['One Direction'],['/wiki/One_Direction'],2010–2016
65,"['Nicki Minaj', 'Drake', 'Lil Wayne']","['/wiki/Nicki_Minaj', '/wiki/Drake_(musician)', '/wiki/Lil_Wayne']",2004–present 2001–present 1995–present
66,['Ariana Grande'],['/wiki/Ariana_Grande'],2008–present
67,['Nick Jonas'],['/wiki/Nick_Jonas'],2000–present
68,"['Meek Mill', 'Chris Brown', 'Nicki Minaj']","['/wiki/Meek_Mill', '/wiki/Chris_Brown', '/wiki/Nicki_Minaj']",2003–present 2002–present 2004–present
69,['Rae Sremmurd'],['/wiki/Rae_Sremmurd'],2010–present
70,['Vance Joy'],['/wiki/Vance_Joy'],2013–present
71,"['Jidenna', 'Roman GianArthur']","['/wiki/Jidenna', '/wiki/Roman_GianArthur']",2015–present 2012–present
72,['Elle King'],['/wiki/Elle_King'],1998–present
73,['Meghan Trainor'],['/wiki/Meghan_Trainor'],2009–present
74,"['Charlie Puth', 'Meghan Trainor']","['/wiki/Charlie_Puth', '/wiki/Meghan_Trainor']",2009–present 2009–present
75,"['Meghan Trainor', 'John Legend']","['/wiki/Meghan_Trainor', '/wiki/John_Legend']",2009–present 1997–present
76,['Tove Lo'],['/wiki/Tove_Lo'],2006–present
77,"['James Newton Howard', 'Jennifer Lawrence']","['/wiki/James_Newton_Howard', '/wiki/Jennifer_Lawrence']",1975–present 2006–present
78,['O.T. Genasis'],['/wiki/O.T._Genasis'],2011
79,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']","['/wiki/Jessie_J', '/wiki/Ariana_Grande', '/wiki/Nicki_Minaj']",2005–present 2008–present 2004–present
80,['Sam Smith'],['/wiki/Sam_Smith_(singer)'],2008–present
81,"['ILoveMakonnen', 'Drake']","['/wiki/ILoveMakonnen', '/wiki/Drake_(rapper)']",2008–present 2001–present
82,['iLoveMemphis'],['/wiki/ILoveMemphis'],2014–present
83,"['Macklemore & Ryan Lewis', 'Eric Nally', 'Melle Mel', 'Kool Moe Dee', 'Grandmaster Caz']","['/wiki/Macklemore_%26_Ryan_Lewis', '/wiki/Eric_Nally', '/wiki/Melle_Mel', '/wiki/Kool_Moe_Dee', '/wiki/Grandmaster_Caz']",2009–2016 2004 1978–present 1978–present 1978–present
84,['Sam Hunt'],['/wiki/Sam_Hunt_(musician)'],2008–present
85,"['Chris Brown', 'Tyga']","['/wiki/Chris_Brown', '/wiki/Tyga']",2002–present 2004–present
86,['Luke Bryan'],['/wiki/Luke_Bryan'],1996–present
