,band_singer,singer_url,active_years
0,['Nickelback'],['/wiki/Nickelback'],1995 1995
1,['Ashanti'],['/wiki/Ashanti_(singer)'],2001–present
2,['Nelly'],['/wiki/Nelly'],1993–present
3,"['Nelly', 'Kelly Rowland']","['/wiki/Nelly', '/wiki/Kelly_Rowland']",1993–present 1997–present
4,['The Calling'],['/wiki/The_Calling_(band)'],1996 2016–present
5,['Vanessa Carlton'],['/wiki/Vanessa_Carlton'],2000–present
6,['Linkin Park'],['/wiki/Linkin_Park'],1996–2017
7,"['Fat Joe', 'Ashanti']","['/wiki/Fat_Joe', '/wiki/Ashanti_(singer)']",1992–present 2001–present
8,['Usher'],['/wiki/Usher_(musician)'],1993–present
9,['Puddle of Mudd'],['/wiki/Puddle_of_Mudd'],1992–present
10,['Avril Lavigne'],['/wiki/Avril_Lavigne'],1999–present
11,"['Ja Rule', 'Ashanti']","['/wiki/Ja_Rule', '/wiki/Ashanti_(singer)']",1994 1994 2001–present
12,"['Jennifer Lopez', 'Ja Rule']","['/wiki/Jennifer_Lopez', '/wiki/Ja_Rule']",1986–present 1994 1994
13,['Jimmy Eat World'],['/wiki/Jimmy_Eat_World'],1993–present
14,"['P. Diddy', 'Usher', 'Loon']","['/wiki/Sean_Combs', '/wiki/Usher_(musician)', '/wiki/Loon_(rapper)']",1990–present 1993–present 1996–2009
15,['Usher'],['/wiki/Usher_(musician)'],1993–present
16,['Mary J. Blige'],['/wiki/Mary_J._Blige'],1988–present
17,"['P. Diddy', 'Ginuwine', 'Loon', 'Mario Winans']","['/wiki/Sean_Combs', '/wiki/Ginuwine', '/wiki/Loon_(rapper)', '/wiki/Mario_Winans']",1990–present 1991–present 1996–2009 1988–present
18,"['Eve', 'Alicia Keys']","['/wiki/Eve_(entertainer)', '/wiki/Alicia_Keys']",1996–present 1993–present
19,['Creed'],['/wiki/Creed_(band)'],1994–2004 2009–2012
20,['Eminem'],['/wiki/Eminem'],1988–present
21,['Enrique Iglesias'],['/wiki/Enrique_Iglesias'],1995–present
22,['Michelle Branch'],['/wiki/Michelle_Branch'],1999–present
23,['Pink'],['/wiki/Pink_(singer)'],1995–present
24,"['Chad Kroeger', 'Josey Scott']","['/wiki/Chad_Kroeger', '/wiki/Josey_Scott']",1995–present 1991–present
25,['Default'],['/wiki/Default_(band)'],1999–present
26,['Creed'],['/wiki/Creed_(band)'],1994–2004 2009–2012
27,['Shakira'],['/wiki/Shakira'],1990–present
28,"['Jennifer Lopez', 'Nas']","['/wiki/Jennifer_Lopez', '/wiki/Nas']",1986–present 1991–present
29,"[""Cam'ron"", 'Juelz Santana']","['/wiki/Cam%27ron', '/wiki/Juelz_Santana']",1993–present 1994–present
30,"['DJ Sammy', 'Yanou', 'Do']","['/wiki/DJ_Sammy', '/wiki/Yanou', '/wiki/Do_(singer)']",1984–present 1997–present 2000–present
31,"['No Doubt', 'Bounty Killer']","['/wiki/No_Doubt', '/wiki/Bounty_Killer']",1986–2004 2008–2015 1992–present
32,"['NSYNC', 'Nelly']","['/wiki/NSYNC', '/wiki/Nelly']",1995–2002 1993–present
33,['Mario'],['/wiki/Mario_(entertainer)'],2001-present
34,['Sheryl Crow'],['/wiki/Sheryl_Crow'],1987–present
35,['Pink'],['/wiki/Pink_(singer)'],1995–present
36,['N.O.R.E.'],['/wiki/N.O.R.E.'],1995–present
