,band_singer,singer_url,active_years
0,['The Weeknd'],['/wiki/The_Weeknd'],
1,['Post Malone'],['/wiki/Post_Malone'],
2,['Roddy Ricch'],['/wiki/Roddy_Ricch'],
3,['Dua Lipa'],['/wiki/Dua_Lipa'],
4,"['DaBaby', 'Roddy Ricch']","['/wiki/DaBaby', '/wiki/Roddy_Ricch']",2014
5,['Harry Styles'],['/wiki/Harry_Styles'],
6,"['Future', 'Drake']","['/wiki/Future_(rapper)', '/wiki/Drake_(musician)']",
7,['Maroon 5'],['/wiki/Maroon_5'],1994
8,['Maren Morris'],['/wiki/Maren_Morris'],
9,['Lewis Capaldi'],['/wiki/Lewis_Capaldi'],2013
10,['Doja Cat'],['/wiki/Doja_Cat'],2012
11,"['Gabby Barrett', 'Charlie Puth']","['/wiki/Gabby_Barrett', '/wiki/Charlie_Puth']",2018 2009
12,"['Jack Harlow', 'DaBaby', 'Tory Lanez', 'Lil Wayne']","['/wiki/Jack_Harlow', '/wiki/DaBaby', '/wiki/Tory_Lanez', '/wiki/Lil_Wayne']",2011 2014 2009 2022
13,['Tones and I'],['/wiki/Tones_and_I'],2009
14,"['Megan Thee Stallion', 'Beyoncé']","['/wiki/Megan_Thee_Stallion', '/wiki/Beyonc%C3%A9']",
15,['Arizona Zervas'],['/wiki/Arizona_Zervas'],2016
16,"['Justin Bieber', 'Quavo']","['/wiki/Justin_Bieber', '/wiki/Quavo']",
17,['Billie Eilish'],['/wiki/Billie_Eilish'],
18,['Saint Jhn'],['/wiki/Saint_Jhn'],2010
19,['Harry Styles'],['/wiki/Harry_Styles'],
20,['Lewis Capaldi'],['/wiki/Lewis_Capaldi'],2013
21,['Trevor Daniel'],['/wiki/Trevor_Daniel_(singer)'],2017
22,"['Dan + Shay', 'Justin Bieber']","['/wiki/Dan_%2B_Shay', '/wiki/Justin_Bieber']",2013
23,"['Cardi B', 'Megan Thee Stallion']","['/wiki/Cardi_B', '/wiki/Megan_Thee_Stallion']",
24,"['Mustard', 'Roddy Ricch']","['/wiki/Mustard_(record_producer)', '/wiki/Roddy_Ricch']",2009
25,['Blackbear'],['/wiki/Blackbear_(musician)'],2006
26,['Lil Mosey'],['/wiki/Lil_Mosey'],2016
27,['The Weeknd'],['/wiki/The_Weeknd'],
28,['DaBaby'],['/wiki/DaBaby'],2014
29,['Selena Gomez'],['/wiki/Selena_Gomez'],
30,['Lizzo'],['/wiki/Lizzo'],
31,['Drake'],['/wiki/Drake_(musician)'],
32,['Dua Lipa'],['/wiki/Dua_Lipa'],
33,['Morgan Wallen'],['/wiki/Morgan_Wallen'],
34,"['Jawsh 685', 'Jason Derulo']","['/wiki/Jawsh_685', '/wiki/Jason_Derulo']",2019
35,"['Chris Brown', 'Drake']","['/wiki/Chris_Brown', '/wiki/Drake_(musician)']",
36,"['Camila Cabello', 'DaBaby']","['/wiki/Camila_Cabello', '/wiki/DaBaby']",2014
37,['BTS'],['/wiki/BTS'],2013
38,"['Chris Brown', 'Young Thug']","['/wiki/Chris_Brown', '/wiki/Young_Thug']",2010
39,"['Roddy Ricch', 'Mustard']","['/wiki/Roddy_Ricch', '/wiki/Mustard_(record_producer)']",2009
40,"['Drake', 'Lil Durk']","['/wiki/Drake_(musician)', '/wiki/Lil_Durk']",2010
41,['Lil Baby'],['/wiki/Lil_Baby'],2015
42,"['Powfu', 'Beabadoobee']","['/wiki/Powfu', '/wiki/Beabadoobee']",2018 2017
43,"['Shawn Mendes', 'Camila Cabello']","['/wiki/Shawn_Mendes', '/wiki/Camila_Cabello']",
44,['Travis Scott'],['/wiki/Travis_Scott'],
45,['Billie Eilish'],['/wiki/Billie_Eilish'],
46,"['24kGoldn', 'Iann Dior']","['/wiki/24kGoldn', '/wiki/Iann_Dior']",2016 2019
47,"['Lady Gaga', 'Ariana Grande']","['/wiki/Lady_Gaga', '/wiki/Ariana_Grande']",
48,"['Pop Smoke', 'Lil Baby', 'DaBaby']","['/wiki/Pop_Smoke', '/wiki/Lil_Baby', '/wiki/DaBaby']",2015 2014
49,"['Black Eyed Peas', 'J Balvin']","['/wiki/Black_Eyed_Peas', '/wiki/J_Balvin']",1995–2011 2015–present
50,['Rod Wave'],['/wiki/Rod_Wave'],2016
51,"['Blake Shelton', 'Gwen Stefani']","['/wiki/Blake_Shelton', '/wiki/Gwen_Stefani']",
52,['Shaed'],['/wiki/Shaed'],2011
53,"['Juice Wrld', 'Marshmello']","['/wiki/Juice_Wrld', '/wiki/Marshmello']",2015 2019 2015
54,['Lizzo'],['/wiki/Lizzo'],
55,"['JP Saxe', 'Julia Michaels']","['/wiki/JP_Saxe', '/wiki/Julia_Michaels']",2012 2010
56,"['Lil Baby', '42 Dugg']","['/wiki/Lil_Baby', '/wiki/42_Dugg']",2015 2017
57,['Justin Bieber'],['/wiki/Justin_Bieber'],
58,['Old Dominion'],['/wiki/Old_Dominion_(band)'],2007
59,['Jason Aldean'],['/wiki/Jason_Aldean'],1998
60,['Surfaces'],['/wiki/Surfaces_(band)'],2017
61,"['Eminem', 'Juice Wrld']","['/wiki/Eminem', '/wiki/Juice_Wrld']",2015 2019
62,"['Juice Wrld', 'YoungBoy Never Broke Again']","['/wiki/Juice_Wrld', '/wiki/YoungBoy_Never_Broke_Again']",2015 2019 2015
63,['StaySolidRocky'],['/wiki/StaySolidRocky'],2016
64,['Maddie & Tae'],['/wiki/Maddie_%26_Tae'],2014
65,"['DJ Khaled', 'Drake']","['/wiki/DJ_Khaled', '/wiki/Drake_(musician)']",1998
66,['Mariah Carey'],['/wiki/Mariah_Carey'],
67,['Lee Brice'],['/wiki/Lee_Brice'],2007
68,['Sam Hunt'],['/wiki/Sam_Hunt'],2008
69,['Luke Bryan'],['/wiki/Luke_Bryan'],1996
70,['Lil Nas X'],['/wiki/Lil_Nas_X'],
71,"['Young Thug', 'Gunna']","['/wiki/Young_Thug', '/wiki/Gunna_(rapper)']",2010 2013
