,band_singer,singer_url,active_years
0,['The Archies'],['/wiki/The_Archies'],1968–1973 2008 2020
1,['The 5th Dimension'],['/wiki/The_5th_Dimension'],1966 1975
2,['The Temptations'],['/wiki/The_Temptations'],1960
3,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962
4,['Sly and the Family Stone'],['/wiki/Sly_and_the_Family_Stone'],1966 1983
5,['Tommy Roe'],['/wiki/Tommy_Roe'],1959 2018
6,['Sly and the Family Stone'],['/wiki/Sly_and_the_Family_Stone'],1966 1983
7,['Tom Jones'],['/wiki/Tom_Jones_(singer)'],
8,['The Foundations'],['/wiki/The_Foundations'],1966 1971
9,['Tommy James and the Shondells'],['/wiki/Tommy_James_and_the_Shondells'],1964 1964
10,['Three Dog Night'],['/wiki/Three_Dog_Night'],1967 1976 1981
11,['Tommy James and the Shondells'],['/wiki/Tommy_James_and_the_Shondells'],1964 1964
12,['The Cowsills'],['/wiki/The_Cowsills'],1965 1972 1980
13,['Marvin Gaye'],['/wiki/Marvin_Gaye'],
14,['Henry Mancini'],['/wiki/Henry_Mancini'],1946 1994
15,['The Youngbloods'],['/wiki/The_Youngbloods'],1965 1972 1984 1985
16,['The Friends of Distinction'],['/wiki/The_Friends_of_Distinction'],1968 1975
17,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
18,['Creedence Clearwater Revival'],['/wiki/Creedence_Clearwater_Revival'],1959 (1959)–1972 (1972) 
19,['Jr. Walker & The All Stars'],['/wiki/Junior_Walker'],1945 1995
20,['The Isley Brothers'],['/wiki/The_Isley_Brothers'],1954
21,['Neil Diamond'],['/wiki/Neil_Diamond'],
22,['Oliver'],['/wiki/Oliver_(singer)'],1969 1984
23,['Creedence Clearwater Revival'],['/wiki/Creedence_Clearwater_Revival'],1959 (1959)–1972 (1972) 
24,"['The Beatles', 'Billy Preston']","['/wiki/The_Beatles', '/wiki/Billy_Preston']",1960 1970 1956 2005
25,['Zager & Evans'],['/wiki/Zager_%26_Evans'],1962 1971
26,"['Blood, Sweat & Tears']","['/wiki/Blood,_Sweat_%26_Tears']",1967 1981 1984
27,['Andy Kim'],['/wiki/Andy_Kim_(singer)'],1963
28,['The Friends of Distinction'],['/wiki/The_Friends_of_Distinction'],1968 1975
29,['The Lettermen'],['/wiki/The_Lettermen'],1959
30,['Creedence Clearwater Revival'],['/wiki/Creedence_Clearwater_Revival'],1959 (1959)–1972 (1972) 
31,['Stevie Wonder'],['/wiki/Stevie_Wonder'],
32,['Three Dog Night'],['/wiki/Three_Dog_Night'],1967 1976 1981
33,['Smith'],['/wiki/Smith_(band)'],1969 1971
34,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
35,['Johnny Cash'],['/wiki/Johnny_Cash'],
36,['The Miracles'],['/wiki/The_Miracles'],1955 1983 1993 2011
37,['Jerry Butler'],['/wiki/Jerry_Butler'],1958 1985 2018
38,['The Zombies'],['/wiki/The_Zombies'],1961[8][9][10][11]–1967 1968 1989–1991 1997 2004–present
39,['The 5th Dimension'],['/wiki/The_5th_Dimension'],1966 1975
40,['Bobby Sherman'],['/wiki/Bobby_Sherman'],1962 1997
41,['Mercy'],['/wiki/Mercy_(band)'],
42,['Oliver'],['/wiki/Oliver_(singer)'],1969 1984
43,['The Guess Who'],['/wiki/The_Guess_Who'],1965 (1965)–1975 (1975) 1977 (1977)–present
44,"['Blood, Sweat & Tears']","['/wiki/Blood,_Sweat_%26_Tears']",1967 1981 1984
45,['Jackie DeShannon'],['/wiki/Jackie_DeShannon'],1955
46,['Charles Wright & the Watts 103rd Street Rhythm Band'],['/wiki/Charles_Wright_%26_the_Watts_103rd_Street_Rhythm_Band'],1962
47,['The Grass Roots'],['/wiki/The_Grass_Roots'],1965
48,['The Doors'],['/wiki/The_Doors'],1965 (1965)–1973 (1973) 1978
49,['Spiral Starecase'],['/wiki/Spiral_Starecase'],1964 1964 1982 1982
50,['Sammy Davis Jr.'],['/wiki/Sammy_Davis_Jr.'],
