,band_singer,singer_url,active_years
0,['The Bangles'],['/wiki/The_Bangles'],1981 1989 1998
1,['Heart'],['/wiki/Heart_(band)'],1973 1998 2002 2016 2019
2,['Gregory Abbott'],['/wiki/Gregory_Abbott'],1982
3,['Whitney Houston'],['/wiki/Whitney_Houston'],
4,['Starship'],['/wiki/Starship_(band)'],1984
5,['Robbie Nevil'],['/wiki/Robbie_Nevil'],1986 1996 1983
6,['Whitesnake'],['/wiki/Whitesnake'],1978–1990 1994 1997 2003–present
7,['Bruce Hornsby and the Range'],['/wiki/Bruce_Hornsby'],1974
8,['Bob Seger'],['/wiki/Bob_Seger'],1961–1996 2000–present
9,['Bon Jovi'],['/wiki/Bon_Jovi'],1983
10,['Los Lobos'],['/wiki/Los_Lobos'],1973
11,['Wang Chung'],['/wiki/Wang_Chung_(band)'],1980–1990 1997–present
12,['Crowded House'],['/wiki/Crowded_House'],1985–1996 2006–2011 2016 2019–present
13,['Atlantic Starr'],['/wiki/Atlantic_Starr'],1976
14,['U2'],['/wiki/U2'],1976
15,['Jody Watley'],['/wiki/Jody_Watley'],1973
16,['Lisa Lisa and Cult Jam'],['/wiki/Lisa_Lisa_and_Cult_Jam'],1984 1991
17,['Tiffany'],['/wiki/Tiffany_Darwish'],
18,['Billy Idol'],['/wiki/Billy_Idol'],1976
19,['Billy Vera and the Beaters'],['/wiki/Billy_Vera_and_the_Beaters'],1962
20,['Chris de Burgh'],['/wiki/Chris_de_Burgh'],
21,['Whitney Houston'],['/wiki/Whitney_Houston'],
22,['U2'],['/wiki/U2'],1976
23,['George Michael'],['/wiki/George_Michael'],
24,['Duran Duran'],['/wiki/Duran_Duran'],1978
25,['Debbie Gibson'],['/wiki/Debbie_Gibson'],1986
26,"['Bill Medley', 'Jennifer Warnes']","['/wiki/Bill_Medley', '/wiki/Jennifer_Warnes']",1962 1967
27,"['Peter Cetera', 'Amy Grant']","['/wiki/Peter_Cetera', '/wiki/Amy_Grant']",1962 2019 1976
28,['Club Nouveau'],['/wiki/Club_Nouveau'],1986
29,['Madonna'],['/wiki/Madonna'],
30,['Lisa Lisa and Cult Jam'],['/wiki/Lisa_Lisa_and_Cult_Jam'],1984 1991
31,['Cutting Crew'],['/wiki/Cutting_Crew'],1985 1985 1993 2005
32,"[""T'Pau""]",['/wiki/T%27Pau_(band)'],1986 1992 1998
33,['Kim Wilde'],['/wiki/Kim_Wilde'],1981
