,band_singer,singer_url,active_years
0,['Cher'],['/wiki/Cher'],1963–present
1,['TLC'],['/wiki/TLC_(band)'],1990–present
2,['Monica'],['/wiki/Monica_(entertainer)'],1993–present
3,"['Whitney Houston', 'Faith Evans', 'Kelly Price']","['/wiki/Whitney_Houston', '/wiki/Faith_Evans', '/wiki/Kelly_Price']",1977–2012 1994–present 1992–present
4,['Britney Spears'],['/wiki/Britney_Spears'],1992–present
5,['Sixpence None the Richer'],['/wiki/Sixpence_None_the_Richer'],1992–2004 2007–present
6,['Christina Aguilera'],['/wiki/Christina_Aguilera'],1993–present
7,['Sugar Ray'],['/wiki/Sugar_Ray'],1986–present
8,['Deborah Cox'],['/wiki/Deborah_Cox'],1987–present
9,['Ricky Martin'],['/wiki/Ricky_Martin'],1984–present
10,['702'],['/wiki/702_(band)'],1993–2006 2017–present
11,['Jennifer Lopez'],['/wiki/Jennifer_Lopez'],1986–present
12,['Goo Goo Dolls'],['/wiki/Goo_Goo_Dolls'],1986–present
13,['Brandy'],['/wiki/Brandy_Norwood'],1993–present
14,['Backstreet Boys'],['/wiki/Backstreet_Boys'],1993–present
15,"['R. Kelly', 'Celine Dion']","['/wiki/R._Kelly', '/wiki/Celine_Dion']",1989–2019 1980–present
16,['Smash Mouth'],['/wiki/Smash_Mouth'],1994–present
17,['Sarah McLachlan'],['/wiki/Sarah_McLachlan'],1987–present
18,"['Santana', 'Rob Thomas']","['/wiki/Santana_(band)', '/wiki/Rob_Thomas_(musician)']",1966–present 1990–present
19,['TLC'],['/wiki/TLC_(band)'],1990–present
20,"[""Destiny's Child""]",['/wiki/Destiny%27s_Child'],1990–2006
21,['Eagle-Eye Cherry'],['/wiki/Eagle-Eye_Cherry'],1990
22,['Pearl Jam'],['/wiki/Pearl_Jam'],1990–present
23,['Maxwell'],['/wiki/Maxwell_(musician)'],1990–present
24,['Backstreet Boys'],['/wiki/Backstreet_Boys'],1993–present
25,['Enrique Iglesias'],['/wiki/Enrique_Iglesias'],1995–present
26,"['Busta Rhymes', 'Janet']","['/wiki/Busta_Rhymes', '/wiki/Janet_Jackson']",1986–present 1974–present
27,['Everlast'],['/wiki/Everlast_(musician)'],1987–present
28,['Lenny Kravitz'],['/wiki/Lenny_Kravitz'],1989–present
29,['Sugar Ray'],['/wiki/Sugar_Ray'],1986–present
30,['Divine'],['/wiki/Divine_(group)'],1996–2000
31,['Shania Twain'],['/wiki/Shania_Twain'],1983–present
