,band_singer,singer_url,active_years
0,['Three Dog Night'],['/wiki/Three_Dog_Night'],1967–1976 1981–present
1,['Rod Stewart'],['/wiki/Rod_Stewart'],1961–present
2,['Carole King'],['/wiki/Carole_King'],1958–present
3,['The Osmonds'],['/wiki/The_Osmonds'],1970 1962 1982–2007 2018–2019 2007–2023
4,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
5,['Raiders'],['/wiki/Paul_Revere_%26_the_Raiders'],1958–1976 1978–2014
6,['Donny Osmond'],['/wiki/Donny_Osmond'],1963–present
7,['John Denver'],['/wiki/John_Denver'],1962–1997
8,['The Temptations'],['/wiki/The_Temptations'],1960–present
9,['Tony Orlando and Dawn'],['/wiki/Tony_Orlando_and_Dawn'],1970–1977 1988–1993 2005 2015–2016 2018–present
10,['Janis Joplin'],['/wiki/Janis_Joplin'],1962–1970
11,['Al Green'],['/wiki/Al_Green'],1955–present
12,['Honey Cone'],['/wiki/Honey_Cone'],1968
13,['The Undisputed Truth'],['/wiki/The_Undisputed_Truth'],1970–1981
14,['Cornelius Brothers & Sister Rose'],['/wiki/Cornelius_Brothers_%26_Sister_Rose'],
15,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962–present
16,['James Taylor'],['/wiki/James_Taylor'],1966–present
17,['Jean Knight'],['/wiki/Jean_Knight'],1965–present
18,['Lee Michaels'],['/wiki/Lee_Michaels'],
19,['Joan Baez'],['/wiki/Joan_Baez'],1958–present
20,['Marvin Gaye'],['/wiki/Marvin_Gaye'],1957–1984
21,"['Paul', 'Linda McCartney']","['/wiki/Paul_McCartney', '/wiki/Linda_McCartney']",1957–present 1965–1998
22,['Bill Withers'],['/wiki/Bill_Withers'],1967–1985
23,['Five Man Electrical Band'],['/wiki/Five_Man_Electrical_Band'],1963 1963 1975 1986–present
24,['Tom Jones'],['/wiki/Tom_Jones_(singer)'],1963–present
25,['The Free Movement'],['/wiki/The_Free_Movement'],
26,['Murray Head & The Trinidad Singers'],['/wiki/Murray_Head'],1966–present
27,['Jerry Reed'],['/wiki/Jerry_Reed'],1955–2008
28,['The Grass Roots'],['/wiki/The_Grass_Roots'],1965–present
29,['The Carpenters'],['/wiki/The_Carpenters'],1965–1983
30,['George Harrison'],['/wiki/George_Harrison'],1958–2001
31,['Donny Osmond'],['/wiki/Donny_Osmond'],1963–present
32,['Ocean'],['/wiki/Ocean_(band)'],1970 1970 1975 1975
33,['Daddy Dewdrop'],['/wiki/Daddy_Dewdrop'],
34,['The Carpenters'],['/wiki/The_Carpenters'],1965–1983
35,['Gordon Lightfoot'],['/wiki/Gordon_Lightfoot'],1958–2023
36,['Sammi Smith'],['/wiki/Sammi_Smith'],1968–2005
37,['The Carpenters'],['/wiki/The_Carpenters'],1965–1983
38,['Cher'],['/wiki/Cher'],1963–present
39,['The Jackson 5'],['/wiki/The_Jackson_5'],1964–1989 2001 2012–present
40,['Lynn Anderson'],['/wiki/Lynn_Anderson'],1966–2015
41,"['Hamilton, Joe Frank & Reynolds']","['/wiki/Hamilton,_Joe_Frank_%26_Reynolds']",1968–1976 1986–1988
42,['Ringo Starr'],['/wiki/Ringo_Starr'],1957–present
43,['Nitty Gritty Dirt Band'],['/wiki/Nitty_Gritty_Dirt_Band'],1966–present
44,['The Fuzz'],['/wiki/The_Fuzz_(band)'],1970 1970 1972 1972
45,['The Dramatics'],['/wiki/The_Dramatics'],1964–present
46,['Carly Simon'],['/wiki/Carly_Simon'],1963–present
47,['Stevie Wonder'],['/wiki/Stevie_Wonder'],1961–present
48,['Aretha Franklin'],['/wiki/Aretha_Franklin'],1954–2017
49,['Helen Reddy'],['/wiki/Helen_Reddy'],1965 2017
50,['The Osmonds'],['/wiki/The_Osmonds'],1970 1962 1982–2007 2018–2019 2007–2023
51,['Aretha Franklin'],['/wiki/Aretha_Franklin'],1954–2017
52,['The Partridge Family'],['/wiki/The_Partridge_Family'],
53,['Tommy James'],['/wiki/Tommy_James'],1959–present
54,['Ike & Tina Turner'],['/wiki/Ike_%26_Tina_Turner'],1960–1976
55,['Chicago'],['/wiki/Chicago_(band)'],1967–present
56,['The Bells'],['/wiki/The_Bells_(band)'],1964 1964 1974 1974
57,['The Stampeders'],['/wiki/The_Stampeders'],1964–1977 1992–present
58,['Lobo'],['/wiki/Lobo_(musician)'],1961–present
59,['Paul McCartney'],['/wiki/Paul_McCartney'],1957–present
60,['Bread'],['/wiki/Bread_(band)'],1968 1997
61,['Marvin Gaye'],['/wiki/Marvin_Gaye'],1957–1984
62,['Brewer & Shipley'],['/wiki/Brewer_%26_Shipley'],1967–1978 1995–present
63,['8th Day'],['/wiki/8th_Day_(R%26B_group)'],
64,['Freda Payne'],['/wiki/Freda_Payne'],1961–present
65,['Rare Earth'],['/wiki/Rare_Earth_(band)'],1968 1968
66,['Delaney & Bonnie'],['/wiki/Delaney_%26_Bonnie'],1967–1972
67,['Freddie Hart'],['/wiki/Freddie_Hart_(musician)'],1953–2018
68,['Three Dog Night'],['/wiki/Three_Dog_Night'],1967–1976 1981–present
69,['Honey Cone'],['/wiki/Honey_Cone'],1968
70,['Mac and Katie Kissoon'],['/wiki/Mac_and_Katie_Kissoon'],
71,['Andy Williams'],['/wiki/Andy_Williams'],1938–2012
72,['Cat Stevens'],['/wiki/Cat_Stevens'],1965–1980 1995–present 2017–present
73,['Jerry Reed'],['/wiki/Jerry_Reed'],1955–2008
