,band_singer,singer_url,active_years
0,['Bobby Lewis'],['/wiki/Bobby_Lewis'],1950 2020
1,['Patsy Cline'],['/wiki/Patsy_Cline'],
2,['The Highwaymen'],['/wiki/The_Highwaymen_(folk_band)'],
3,['Roy Orbison'],['/wiki/Roy_Orbison'],1953 1988
4,['Del Shannon'],['/wiki/Del_Shannon'],1958 1989
5,['The Jive Five'],['/wiki/The_Jive_Five'],
6,['Chubby Checker'],['/wiki/Chubby_Checker'],1958
7,['The String-A-Longs'],['/wiki/The_String-A-Longs'],
8,['Dee Clark'],['/wiki/Dee_Clark'],1952 1990
9,['Joe Dowell'],['/wiki/Joe_Dowell'],
10,['Lawrence Welk'],['/wiki/Lawrence_Welk'],
11,['Bobby Vee'],['/wiki/Bobby_Vee'],1959 2014
12,['Roy Orbison'],['/wiki/Roy_Orbison'],1953 1988
13,['The Shirelles'],['/wiki/The_Shirelles'],1957 1982
14,['The Mar-Keys'],['/wiki/The_Mar-Keys'],
15,['The Shirelles'],['/wiki/The_Shirelles'],1957 1982
16,['Ferrante & Teicher'],['/wiki/Ferrante_%26_Teicher'],1947 1989
17,['Connie Francis'],['/wiki/Connie_Francis'],1943 2018
18,['Ray Charles'],['/wiki/Ray_Charles'],
19,['Sue Thompson'],['/wiki/Sue_Thompson'],1950 1990
20,['Ernie K-Doe'],['/wiki/Ernie_K-Doe'],1955 2001
21,['The Dovells'],['/wiki/The_Dovells'],
22,['Ricky Nelson'],['/wiki/Ricky_Nelson'],1949 1985
23,['The Miracles'],['/wiki/The_Miracles'],1955 1983 1993 2011
24,['Brook Benton'],['/wiki/Brook_Benton'],1948 1988
25,['Gene McDaniels'],['/wiki/Gene_McDaniels'],1960 2011
26,['Dick and Dee Dee'],['/wiki/Dick_and_Dee_Dee'],1960 1969
27,['Marty Robbins'],['/wiki/Marty_Robbins'],1960 1974
28,['Floyd Cramer'],['/wiki/Floyd_Cramer'],1953 1980
29,['Steve Lawrence'],['/wiki/Steve_Lawrence'],1953 2019
30,['Gary U.S. Bonds'],['/wiki/Gary_U.S._Bonds'],1956
31,['Barry Mann'],['/wiki/Barry_Mann'],1958
32,['Neil Sedaka'],['/wiki/Neil_Sedaka'],1957
33,['Chris Kenner'],['/wiki/Chris_Kenner'],1956 1976
34,['Jørgen Ingmann'],['/wiki/J%C3%B8rgen_Ingmann'],1944 1984
35,['Linda Scott'],['/wiki/Linda_Scott'],
36,['Johnny Tillotson'],['/wiki/Johnny_Tillotson'],1957
37,['Ferlin Husky'],['/wiki/Ferlin_Husky'],1945 2011
38,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
39,['The Marcels'],['/wiki/The_Marcels'],1959 1959 1962 1962 1972 1972
40,['Shep and the Limelites'],['/wiki/Shep_and_the_Limelites'],
41,['Troy Shondell'],['/wiki/Troy_Shondell'],1957 2010
42,"['Clarence ""Frogman"" Henry']",['/wiki/Clarence_%22Frogman%22_Henry'],1952
43,['Kokomo'],['/wiki/Jimmy_Wisner'],1959 2018
44,['Faron Young'],['/wiki/Faron_Young'],1951 1994
45,['Dion'],['/wiki/Dion_DiMucci'],1957
46,['Arthur Lyman'],['/wiki/Arthur_Lyman'],1948 2002
47,['Timi Yuro'],['/wiki/Timi_Yuro'],1961 1990
48,['Ricky Nelson'],['/wiki/Ricky_Nelson'],1949 1985
49,['The Capris'],['/wiki/The_Capris'],1957 1958 1960
50,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
51,['The Paris Sisters'],['/wiki/The_Paris_Sisters'],1954 1968
52,['Lee Dorsey'],['/wiki/Lee_Dorsey'],1950 1986
53,['Gary U.S. Bonds'],['/wiki/Gary_U.S._Bonds'],1956
54,['Bob Moore'],['/wiki/Bob_Moore'],1946 1988
55,['Ral Donner'],['/wiki/Ral_Donner'],
56,['The Everly Brothers'],['/wiki/The_Everly_Brothers'],1951 1973 1983 2005
57,['The Lettermen'],['/wiki/The_Lettermen'],1959
58,['Pat Boone'],['/wiki/Pat_Boone'],1954
59,['Ray Charles'],['/wiki/Ray_Charles'],
60,['Adam Wade'],['/wiki/Adam_Wade_(singer)'],
61,['Carla Thomas'],['/wiki/Carla_Thomas'],1960
62,['Ben E. King'],['/wiki/Ben_E._King'],1958 2015
63,['Ben E. King'],['/wiki/Ben_E._King'],1958 2015
64,['Ike and Tina Turner'],['/wiki/Ike_and_Tina_Turner'],1960 1976
65,['The Echoes'],['/wiki/The_Echoes_(American_group)'],1960 1960 1965 1965
66,['Buzz Clifford'],['/wiki/Buzz_Clifford'],
67,['Del Shannon'],['/wiki/Del_Shannon'],1958 1989
68,['Little Caesar & the Romans'],['/wiki/Little_Caesar_%26_the_Romans'],
69,['Chubby Checker'],['/wiki/Chubby_Checker'],1958
70,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
71,['Bert Kaempfert'],['/wiki/Bert_Kaempfert'],1939 1980
72,['Tony Orlando'],['/wiki/Tony_Orlando'],1958
73,['Linda Scott'],['/wiki/Linda_Scott'],
74,['Bobby Lewis'],['/wiki/Bobby_Lewis'],1950 2020
75,['Rosie and the Originals'],['/wiki/Rosie_and_the_Originals'],1960 1963 1969 1973
76,['Curtis Lee'],['/wiki/Curtis_Lee'],1960 1968
77,['Brook Benton'],['/wiki/Brook_Benton'],1948 1988
78,['Lonnie Donegan'],['/wiki/Lonnie_Donegan'],1949 2002
79,['Connie Francis'],['/wiki/Connie_Francis'],1943 2018
80,['The Shirelles'],['/wiki/The_Shirelles'],1957 1982
81,['Fats Domino'],['/wiki/Fats_Domino'],
82,['Adam Wade'],['/wiki/Adam_Wade_(singer)'],
83,['Matt Monro'],['/wiki/Matt_Monro'],1956 1985
84,['Paul Anka'],['/wiki/Paul_Anka'],
85,['Floyd Cramer'],['/wiki/Floyd_Cramer'],1953 1980
86,['Jimmy Dean'],['/wiki/Jimmy_Dean'],1953 2010
87,['Bobby Rydell'],['/wiki/Bobby_Rydell'],
88,['Bobby Vee'],['/wiki/Bobby_Vee'],1959 2014
89,['Ray Peterson'],['/wiki/Ray_Peterson'],1958 2004
90,['Brenda Lee'],['/wiki/Brenda_Lee'],
91,['Eddie Hodges'],['/wiki/Eddie_Hodges'],
92,['Brenda Lee'],['/wiki/Brenda_Lee'],
93,['Chubby Checker'],['/wiki/Chubby_Checker'],1958
94,['The Dave Brubeck Quartet'],['/wiki/The_Dave_Brubeck_Quartet'],1940 2012
95,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
96,['Don Gibson'],['/wiki/Don_Gibson'],1948 2003
97,['The Four Preps'],['/wiki/The_Four_Preps'],1956
98,['Bobby Darin'],['/wiki/Bobby_Darin'],
99,['The Drifters'],['/wiki/The_Drifters'],1953
