,band_singer,singer_url,active_years
0,['Olivia Newton-John'],['/wiki/Olivia_Newton-John'],
1,['Survivor'],['/wiki/Survivor_(band)'],1978 1988 1993
2,['Joan Jett & The Blackhearts'],['/wiki/Joan_Jett'],1975
3,"['Paul McCartney', 'Stevie Wonder']","['/wiki/Paul_McCartney', '/wiki/Stevie_Wonder']",
4,['The J. Geils Band'],['/wiki/The_J._Geils_Band'],1967 1985 1999 2005 2006 2009 2015
5,['The Human League'],['/wiki/The_Human_League'],1977
6,['John Cougar'],['/wiki/John_Mellencamp'],1976
7,['John Cougar'],['/wiki/John_Mellencamp'],1976
8,['Steve Miller Band'],['/wiki/Steve_Miller_Band'],1966
9,['Chicago'],['/wiki/Chicago_(band)'],1967
10,['Soft Cell'],['/wiki/Soft_Cell'],1977 1984 2000 2005 2018
11,['Vangelis'],['/wiki/Vangelis'],1963 2022
12,['Quarterflash'],['/wiki/Quarterflash'],1980 1985 1990 2019
13,['Toto'],['/wiki/Toto_(band)'],1977–2008 2010–2019[1] 2020–present
14,['Hall & Oates'],['/wiki/Hall_%26_Oates'],1970
15,['Tommy Tutone'],['/wiki/Tommy_Tutone'],1978 1984 1996
16,['Bertie Higgins'],['/wiki/Bertie_Higgins'],1981
17,['Melissa Manchester'],['/wiki/Melissa_Manchester'],1971
18,['Foreigner'],['/wiki/Foreigner_(band)'],1976 1976
19,['Rick Springfield'],['/wiki/Rick_Springfield'],
20,['Juice Newton'],['/wiki/Juice_Newton'],
21,['Willie Nelson'],['/wiki/Willie_Nelson'],
22,['The Cars'],['/wiki/The_Cars'],1976–1988 2000 2010–2011 2018[4]
23,['Dazz Band'],['/wiki/Dazz_Band'],1977
24,"[""The Go-Go's""]",['/wiki/The_Go-Go%27s'],1978–1985 1990 1994 1999–2023
25,['Ray Parker Jr.'],['/wiki/Ray_Parker_Jr.'],1963
26,['George Benson'],['/wiki/George_Benson'],1964
27,['Air Supply'],['/wiki/Air_Supply'],1975
28,['The Motels'],['/wiki/The_Motels'],1975 1977 1978 1987 1998
29,['Men at Work'],['/wiki/Men_at_Work'],1978 1978 1986 1986 1996 1996 2002 2002 2012 2019 2019
30,['Fleetwood Mac'],['/wiki/Fleetwood_Mac'],1967 (1967)–1995 (1995) 1997 (1997)–present
31,['The Alan Parsons Project'],['/wiki/The_Alan_Parsons_Project'],1975 1990
32,"['Earth, Wind & Fire']","['/wiki/Earth,_Wind_%26_Fire']",1969
33,['Journey'],['/wiki/Journey_(band)'],1973–1987 1991 1995–present
34,['Dan Fogelberg'],['/wiki/Dan_Fogelberg'],1968 2007
35,"['Stevie Nicks', 'Don Henley']","['/wiki/Stevie_Nicks', '/wiki/Don_Henley']",1970
36,['Air Supply'],['/wiki/Air_Supply'],1975
37,['Charlene'],['/wiki/Charlene_(singer)'],1973
38,['Paul Davis'],['/wiki/Paul_Davis_(singer)'],1958 1988
39,['Asia'],['/wiki/Asia_(band)'],1981–1986 1989–present
40,['Little River Band'],['/wiki/Little_River_Band'],1975 1975
41,['Buckner & Garcia'],['/wiki/Buckner_%26_Garcia'],1972 2011
42,['Stevie Wonder'],['/wiki/Stevie_Wonder'],
43,['Hall & Oates'],['/wiki/Hall_%26_Oates'],1970
44,['Lindsey Buckingham'],['/wiki/Lindsey_Buckingham'],1966
45,['Roberta Flack'],['/wiki/Roberta_Flack'],1968 2022
46,['Juice Newton'],['/wiki/Juice_Newton'],
47,['Rod Stewart'],['/wiki/Rod_Stewart'],
48,['The J. Geils Band'],['/wiki/The_J._Geils_Band'],1967 1985 1999 2005 2006 2009 2015
49,['REO Speedwagon'],['/wiki/REO_Speedwagon'],1966 1966
50,['Huey Lewis and the News'],['/wiki/Huey_Lewis_and_the_News'],1979
51,['Paul Davis'],['/wiki/Paul_Davis_(singer)'],1958 1988
52,['.38 Special'],['/wiki/.38_Special_(band)'],1974
53,['Diana Ross'],['/wiki/Diana_Ross'],
54,['Alabama'],['/wiki/Alabama_(American_band)'],1969 2004 2006 2007 2010
55,['Royal Philharmonic Orchestra'],['/wiki/Royal_Philharmonic_Orchestra'],
