,band_singer,singer_url,active_years
0,['Ace of Base'],['/wiki/Ace_of_Base'],1987–present
1,['All-4-One'],['/wiki/All-4-One'],1993 1993
2,['Boyz II Men'],['/wiki/Boyz_II_Men'],1985–present
3,['Celine Dion'],['/wiki/Celine_Dion'],1980–present
4,['Mariah Carey'],['/wiki/Mariah_Carey'],1988–present
5,['Lisa Loeb and Nine Stories'],['/wiki/Lisa_Loeb'],1989–present
6,['Toni Braxton'],['/wiki/Toni_Braxton'],1989–present
7,"['Bryan Adams', 'Rod Stewart', 'Sting']","['/wiki/Bryan_Adams', '/wiki/Rod_Stewart', '/wiki/Sting_(musician)']",1975–present 1961–present 1971–present
8,[],[],
9,[],[],
10,['R. Kelly'],['/wiki/R._Kelly'],1989–2019
11,['Janet Jackson'],['/wiki/Janet_Jackson'],1974–present
12,['Madonna'],['/wiki/Madonna'],1979–present
13,"['Salt-n-Pepa', 'En Vogue']","['/wiki/Salt-n-Pepa', '/wiki/En_Vogue']",1985–2002 2005–present 1989–present
14,"['John Mellencamp', 'Meshell Ndegeocello']","['/wiki/John_Mellencamp', '/wiki/Meshell_Ndegeocello']",1976–present 1992–present
15,[],[],
16,[],[],
17,['Elton John'],['/wiki/Elton_John'],1962–present
18,['Prince'],['/wiki/Prince_(musician)'],1975–2016
19,['Coolio'],['/wiki/Coolio'],1987–2022
20,['Big Mountain'],['/wiki/Big_Mountain_(band)'],1988–present
21,"['Warren G', 'Nate Dogg']","['/wiki/Warren_G', '/wiki/Nate_Dogg']",1992–present 1990–2008
22,['Jon Secada'],['/wiki/Jon_Secada'],1991–present
23,['Aaliyah'],['/wiki/Aaliyah'],1989–2001
24,['Richard Marx'],['/wiki/Richard_Marx'],1980–present
25,['Babyface'],['/wiki/Babyface_(musician)'],1974–present
26,[],[],
27,[],[],
28,['Salt-n-Pepa'],['/wiki/Salt-n-Pepa'],1985–2002 2005–present
29,[],[],
30,['Collective Soul'],['/wiki/Collective_Soul'],1992–present
31,['Michael Bolton'],['/wiki/Michael_Bolton'],1975–present
32,['Enigma'],['/wiki/Enigma_(German_band)'],1990–present
33,['Sheryl Crow'],['/wiki/Sheryl_Crow'],1987–present
34,['Crash Test Dummies'],['/wiki/Crash_Test_Dummies'],1988–present
35,['Tevin Campbell'],['/wiki/Tevin_Campbell'],1988–present
36,['Da Brat'],['/wiki/Da_Brat'],1992–present
37,['Meat Loaf'],['/wiki/Meat_Loaf'],1968–2021
38,['DRS'],['/wiki/DRS_(group)'],
39,"['10,000 Maniacs']","['/wiki/10,000_Maniacs']",1981–present
40,['Us3'],['/wiki/Us3'],1992–present
41,['Tag Team'],['/wiki/Tag_Team_(group)'],1990–present
42,['Melissa Etheridge'],['/wiki/Melissa_Etheridge'],1985–present
43,['Changing Faces'],['/wiki/Changing_Faces_(group)'],1994–2000 2013
44,[],[],
45,['Crystal Waters'],['/wiki/Crystal_Waters'],1989–present
46,[],[],
47,[],[],
48,['The Cranberries'],['/wiki/The_Cranberries'],1989–2003 2009–2019
49,['Beck'],['/wiki/Beck'],1988–present
50,['Gin Blossoms'],['/wiki/Gin_Blossoms'],1987
51,['Snoop Doggy Dogg'],['/wiki/Snoop_Dogg'],1992–present
52,['Immature'],['/wiki/IMx'],1990–2002 2009–present
53,['Bruce Springsteen'],['/wiki/Bruce_Springsteen'],1964–present
54,['Domino'],['/wiki/Domino_(rapper)'],1992–present
55,['Luther Vandross'],['/wiki/Luther_Vandross'],1969–2004
56,['Aaron Hall'],['/wiki/Aaron_Hall_(musician)'],1988–present
57,['Xscape'],['/wiki/Xscape_(band)'],1991–1998 2001–2006 2017–present
58,['Warren G'],['/wiki/Warren_G'],1992–present
59,['Jodeci'],['/wiki/Jodeci'],1989–1996 2014–present
60,['2Pac'],['/wiki/Tupac_Shakur'],1989–1996
61,[],[],
62,['Real McCoy'],['/wiki/Real_McCoy_(band)'],1989–1997 1999-2001 2005-2009 2016–present
63,[],[],
64,['69 Boyz'],['/wiki/69_Boyz'],1992–present
65,['Jimmy Cliff'],['/wiki/Jimmy_Cliff'],1962–present
66,[],[],
67,['Aerosmith'],['/wiki/Aerosmith'],1970–present
68,[],[],
69,[],[],
70,[],[],
71,[],[],
72,['Erasure'],['/wiki/Erasure'],1985–present
73,['Zhané'],['/wiki/Zhan%C3%A9'],1993–1999
74,['Gabrielle'],['/wiki/Gabrielle_(singer)'],1992–present
75,['Culture Beat'],['/wiki/Culture_Beat'],1989–present
76,['Tom Petty and the Heartbreakers'],['/wiki/Tom_Petty_and_the_Heartbreakers'],1976–2017
77,['SWV'],['/wiki/SWV'],1988
78,['Joshua Kadison'],['/wiki/Joshua_Kadison'],1992–present 2012
79,['Eternal'],['/wiki/Eternal_(band)'],1992–2000 2013–2014
80,['Craig Mack'],['/wiki/Craig_Mack'],1988 2018
81,['Queen Latifah'],['/wiki/Queen_Latifah'],1989–present
82,['Seal'],['/wiki/Seal_(musician)'],1987–present
83,[],[],
84,['Ini Kamoze'],['/wiki/Ini_Kamoze'],1981–present
85,['Phil Collins'],['/wiki/Phil_Collins'],1963–2011 2015–present
86,['Tim McGraw'],['/wiki/Tim_McGraw'],1990–present
87,['Heavy D & the Boyz'],['/wiki/Heavy_D'],1986–2011
88,['The Four Seasons'],['/wiki/The_Four_Seasons_(band)'],1960–1977 1979–present
89,[],[],
90,['Bon Jovi'],['/wiki/Bon_Jovi'],1983–present
91,[],[],
92,['Ahmad'],['/wiki/Ahmad_(rapper)'],1993–present
93,['Bonnie Raitt'],['/wiki/Bonnie_Raitt'],1971–present
94,['General Public'],['/wiki/General_Public'],1983 1995
95,[],[],
96,['Haddaway'],['/wiki/Haddaway'],1987–present
97,[],[],
98,"['Ice Cube', 'George Clinton']","['/wiki/Ice_Cube', '/wiki/George_Clinton_(funk_musician)']",1986–present 1955–present
99,['Brandy'],['/wiki/Brandy_Norwood'],1993–present
