,band_singer,singer_url,active_years
0,"['Gotye', 'Kimbra']","['/wiki/Gotye', '/wiki/Kimbra']",2001–present 2000–present
1,['Carly Rae Jepsen'],['/wiki/Carly_Rae_Jepsen'],2007–present
2,"['Fun', 'Janelle Monáe']","['/wiki/Fun_(band)', '/wiki/Janelle_Mon%C3%A1e']",2008–2015 2003–present
3,"['Maroon 5', 'Wiz Khalifa']","['/wiki/Maroon_5', '/wiki/Wiz_Khalifa']",1994–present 2005–present
4,['Ellie Goulding'],['/wiki/Ellie_Goulding'],2009–present
5,['The Wanted'],['/wiki/The_Wanted'],2009–2014 2021–present
6,['Kelly Clarkson'],['/wiki/Kelly_Clarkson'],2000–present
7,"['Rihanna', 'Calvin Harris']","['/wiki/Rihanna', '/wiki/Calvin_Harris']",2003–present 2002–present
8,['Nicki Minaj'],['/wiki/Nicki_Minaj'],2004–present
9,['One Direction'],['/wiki/One_Direction'],2010–2016
10,"['Flo Rida', 'Sia']","['/wiki/Flo_Rida', '/wiki/Sia']",2000–present 1995–present
11,['Adele'],['/wiki/Adele'],2006–present
12,['LMFAO'],['/wiki/LMFAO'],2006–2012
13,['Fun'],['/wiki/Fun_(band)'],2008–2015
14,['Katy Perry'],['/wiki/Katy_Perry'],2001–present
15,['Flo Rida'],['/wiki/Flo_Rida'],2000–present
16,['Flo Rida'],['/wiki/Flo_Rida'],2000–present
17,['Maroon 5'],['/wiki/Maroon_5'],1994–present
18,['Train'],['/wiki/Train_(band)'],1993–present
19,"['Drake', 'Lil Wayne']","['/wiki/Drake_(musician)', '/wiki/Lil_Wayne']",2001–present 1995–present
20,['Rihanna'],['/wiki/Rihanna'],2003–present
21,['Neon Trees'],['/wiki/Neon_Trees'],2005–present
22,"['Drake', 'Rihanna']","['/wiki/Drake_(musician)', '/wiki/Rihanna']",2001–present 2003–present
23,"['David Guetta', 'Sia']","['/wiki/David_Guetta', '/wiki/Sia']",1986–present 1995–present
24,['Jason Mraz'],['/wiki/Jason_Mraz'],1999–present
25,['Bruno Mars'],['/wiki/Bruno_Mars'],2004–present
26,"['Kanye West', 'Big Sean', 'Pusha T', '2 Chainz']","['/wiki/Kanye_West', '/wiki/Big_Sean', '/wiki/Pusha_T', '/wiki/2_Chainz']",1996–present 2007–present 1993–present 1997–present
27,['Justin Bieber'],['/wiki/Justin_Bieber'],2007–present
28,"['LMFAO', 'Lauren Bennett', 'GoonRock']","['/wiki/LMFAO', '/wiki/Lauren_Bennett', '/wiki/GoonRock']",2006–2012 2007–present 2009–present
29,['Alex Clare'],['/wiki/Alex_Clare'],2007–present
30,['Katy Perry'],['/wiki/Katy_Perry'],2001–present
31,"['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']","['/wiki/Snoop_Dogg', '/wiki/Wiz_Khalifa', '/wiki/Bruno_Mars']",1992–present 2005–present 2004–present
32,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
33,"['Justin Bieber', 'Big Sean']","['/wiki/Justin_Bieber', '/wiki/Big_Sean']",2007–present 2007–present
34,"['David Guetta', 'Nicki Minaj']","['/wiki/David_Guetta', '/wiki/Nicki_Minaj']",1986–present 2004–present
35,"['Maroon 5', 'Christina Aguilera']","['/wiki/Maroon_5', '/wiki/Christina_Aguilera']",1994–present 1993–present
36,['Pink'],['/wiki/Pink_(singer)'],1995–present
37,"['Owl City', 'Carly Rae Jepsen']","['/wiki/Owl_City', '/wiki/Carly_Rae_Jepsen']",2007–present 2007–present
38,['Demi Lovato'],['/wiki/Demi_Lovato'],2002–present
39,"['Jay-Z', 'Kanye West']","['/wiki/Jay-Z', '/wiki/Kanye_West']",1986–present 1996–present
40,['Katy Perry'],['/wiki/Katy_Perry'],2001–present
41,['Calvin Harris'],['/wiki/Calvin_Harris'],2002–present
42,['Adele'],['/wiki/Adele'],2006–present
43,['Usher'],['/wiki/Usher_(musician)'],1993–present
44,['Tyga'],['/wiki/Tyga'],2004–present
45,['Jessie J'],['/wiki/Jessie_J'],2005–present
46,['Psy'],['/wiki/Psy'],1999–present
47,"['Pitbull', 'Chris Brown']","['/wiki/Pitbull_(rapper)', '/wiki/Chris_Brown']",2000–present 2002–present
48,['Phillip Phillips'],['/wiki/Phillip_Phillips'],2012–present
49,"['David Guetta', 'Usher']","['/wiki/David_Guetta', '/wiki/Usher_(musician)']",1986–present 1993–present
50,"['Gym Class Heroes', 'Neon Hitch']","['/wiki/Gym_Class_Heroes', '/wiki/Neon_Hitch']",1997–2012 2018–2019 2023 2006–present
51,['Hunter Hayes'],['/wiki/Hunter_Hayes'],1993–present
52,['Luke Bryan'],['/wiki/Luke_Bryan'],1996–present
53,"['2 Chainz', 'Drake']","['/wiki/2_Chainz', '/wiki/Drake_(musician)']",1997–present 2001–present
54,['Cher Lloyd'],['/wiki/Cher_Lloyd'],2010–present
55,['Chris Brown'],['/wiki/Chris_Brown'],2002–present
56,"['Big Sean', 'Nicki Minaj']","['/wiki/Big_Sean', '/wiki/Nicki_Minaj']",2007–present 2004–present
57,['Eric Church'],['/wiki/Eric_Church'],2005–present
58,['Karmin'],['/wiki/Karmin'],2010–2017
59,['Gavin DeGraw'],['/wiki/Gavin_DeGraw'],1998–present
60,"['Gym Class Heroes', 'Adam Levine']","['/wiki/Gym_Class_Heroes', '/wiki/Adam_Levine']",1994–present
61,['Pitbull'],['/wiki/Pitbull_(rapper)'],2000–present
62,['J. Cole'],['/wiki/J._Cole'],2007–present
63,['Adele'],['/wiki/Adele'],2006–present
64,"['Calvin Harris', 'Ne-Yo']","['/wiki/Calvin_Harris', '/wiki/Ne-Yo']",2002–present 1998–present
65,['Carrie Underwood'],['/wiki/Carrie_Underwood'],2005–present
