,band_singer,singer_url,active_years
0,['Ed Sheeran'],['/wiki/Ed_Sheeran'],2004–present
1,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']","['/wiki/Luis_Fonsi', '/wiki/Daddy_Yankee', '/wiki/Justin_Bieber']",1997–present 1994–2023 2007–present
2,['Bruno Mars'],['/wiki/Bruno_Mars'],2004–present
3,['Kendrick Lamar'],['/wiki/Kendrick_Lamar'],2003–present
4,"['The Chainsmokers', 'Coldplay']","['/wiki/The_Chainsmokers', '/wiki/Coldplay']",2012–present 1997–present
5,"['Migos', 'Lil Uzi Vert']","['/wiki/Migos', '/wiki/Lil_Uzi_Vert']",2008–present 2012–present
6,"['The Chainsmokers', 'Halsey']","['/wiki/The_Chainsmokers', '/wiki/Halsey_(singer)']",2012–present 2012–present
7,['Sam Hunt'],['/wiki/Sam_Hunt'],2008–present
8,['Imagine Dragons'],['/wiki/Imagine_Dragons'],2008–present
9,"['Post Malone', 'Quavo']","['/wiki/Post_Malone', '/wiki/Quavo']",2011–present 2008–present
10,['James Arthur'],['/wiki/James_Arthur'],2011–present
11,"['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']","['/wiki/DJ_Khaled', '/wiki/Justin_Bieber', '/wiki/Quavo', '/wiki/Chance_the_Rapper', '/wiki/Lil_Wayne']",1998–present 2007–present 2008–present 2011–present 1995–present
12,['Lil Uzi Vert'],['/wiki/Lil_Uzi_Vert'],2012–present
13,['Future'],['/wiki/Future_(rapper)'],2011-present
14,"['French Montana', 'Swae Lee']","['/wiki/French_Montana', '/wiki/Swae_Lee']",2002–present 2010–present
15,['Bruno Mars'],['/wiki/Bruno_Mars'],2004–present
16,"['Zedd', 'Alessia Cara']","['/wiki/Zedd', '/wiki/Alessia_Cara']",2002–present 2014–present
17,"['DJ Khaled', 'Rihanna', 'Bryson Tiller']","['/wiki/DJ_Khaled', '/wiki/Rihanna', '/wiki/Bryson_Tiller']",1998–present 2003–present 2011–present
18,"['Rae Sremmurd', 'Gucci Mane']","['/wiki/Rae_Sremmurd', '/wiki/Gucci_Mane']",2010–present 2001–present
19,"['The Weeknd', 'Daft Punk']","['/wiki/The_Weeknd', '/wiki/Daft_Punk']",2009–present 1993–2021
20,['Khalid'],['/wiki/Khalid_(singer)'],2016–present
