,band_singer,singer_url,active_years
0,['The Black Eyed Peas'],['/wiki/The_Black_Eyed_Peas'],1995–2011 2015–present
1,['Lady Gaga'],['/wiki/Lady_Gaga'],2001–present
2,"['Lady Gaga', ""Colby O'Donis""]","['/wiki/Lady_Gaga', '/wiki/Colby_O%27Donis']",2001–present 1997–present
3,['The Black Eyed Peas'],['/wiki/The_Black_Eyed_Peas'],1995–2011 2015–present
4,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
5,['Flo Rida'],['/wiki/Flo_Rida'],2000–present
6,['Jason Mraz'],['/wiki/Jason_Mraz'],1999–present
7,['Beyoncé'],['/wiki/Beyonc%C3%A9_Knowles'],1997–present
8,['Kanye West'],['/wiki/Kanye_West'],1996–present
9,['The All-American Rejects'],['/wiki/The_All-American_Rejects'],1999–present
10,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
11,"['T.I.', 'Justin Timberlake']","['/wiki/T.I.', '/wiki/Justin_Timberlake']",1999–present 1992–present
12,['The Fray'],['/wiki/The_Fray'],2002–present
13,['Kings of Leon'],['/wiki/Kings_of_Leon'],1999 1999
14,"['Keri Hilson', 'Kanye West', 'Ne-Yo']","['/wiki/Keri_Hilson', '/wiki/Kanye_West', '/wiki/Ne-Yo']",2002–present 1996–present 1998–present
15,"['Jamie Foxx', 'T-Pain']","['/wiki/Jamie_Foxx', '/wiki/T-Pain']",1989–present 1999–present
16,['Pitbull'],['/wiki/Pitbull_(rapper)'],2000–present
17,"['T.I.', 'Rihanna']","['/wiki/T.I.', '/wiki/Rihanna']",1999–present 2003–present
18,"[""Soulja Boy Tell 'Em"", 'Sammie']","['/wiki/Soulja_Boy', '/wiki/Sammie']",2004–present 1999–present
19,"['Jay Sean', 'Lil Wayne']","['/wiki/Jay_Sean', '/wiki/Lil_Wayne']",2002–present 1995–present
20,['Miley Cyrus'],['/wiki/Miley_Cyrus'],2001–present
21,['Drake'],['/wiki/Drake_(musician)'],2001–present
22,['Kelly Clarkson'],['/wiki/Kelly_Clarkson'],2000–present
23,['Beyoncé'],['/wiki/Beyonc%C3%A9_Knowles'],1997–present
24,['Katy Perry'],['/wiki/Katy_Perry'],2001–present
25,['Shinedown'],['/wiki/Shinedown'],2001–present
26,['Britney Spears'],['/wiki/Britney_Spears'],1992–present
27,['Kid Cudi'],['/wiki/Kid_Cudi'],2003–present
28,['Miley Cyrus'],['/wiki/Miley_Cyrus'],2001–present
29,['3OH!3'],['/wiki/3OH!3'],2004–present
30,"['Jay-Z', 'Rihanna', 'Kanye West']","['/wiki/Jay-Z', '/wiki/Rihanna', '/wiki/Kanye_West']",1986–present 2003–present 1996–present
31,"['Kevin Rudolf', 'Lil Wayne']","['/wiki/Kevin_Rudolf', '/wiki/Lil_Wayne']",2000–present 1995–present
32,['Sean Kingston'],['/wiki/Sean_Kingston'],2007–present
33,['Jason Derulo'],['/wiki/Jason_Derulo'],2006–present
34,['Lady Gaga'],['/wiki/Lady_Gaga'],2001–present
35,['Katy Perry'],['/wiki/Katy_Perry'],2001–present
36,['Jeremih'],['/wiki/Jeremih'],2008–present
37,['Pink'],['/wiki/Pink_(singer)'],1995–present
38,['Britney Spears'],['/wiki/Britney_Spears'],1992–present
39,['T.I.'],['/wiki/T.I.'],1999–present
40,['Mariah Carey'],['/wiki/Mariah_Carey'],1988–present
41,['Ne-Yo'],['/wiki/Ne-Yo'],1998–present
42,"['Cobra Starship', 'Leighton Meester']","['/wiki/Cobra_Starship', '/wiki/Leighton_Meester']",2005–2015 2021 1999–present
43,['Kanye West'],['/wiki/Kanye_West'],1996–present
44,['Pink'],['/wiki/Pink_(singer)'],1995–present
45,['Pitbull'],['/wiki/Pitbull_(rapper)'],2000–present
46,"['Eminem', 'Dr. Dre', '50 Cent']","['/wiki/Eminem', '/wiki/Dr._Dre', '/wiki/50_Cent']",1988–present 1985–present 1996 1996
47,['Beyoncé'],['/wiki/Beyonc%C3%A9'],1997–present
48,"['Keri Hilson', 'Lil Wayne']","['/wiki/Keri_Hilson', '/wiki/Lil_Wayne']",2002–present 1995–present
49,['Pussycat Dolls'],['/wiki/Pussycat_Dolls'],2003 2021
50,['Nickelback'],['/wiki/Nickelback'],1995 1995
51,['Pink'],['/wiki/Pink_(singer)'],1995–present
52,['Lady Gaga'],['/wiki/Lady_Gaga'],2001–present
53,"['Akon', ""Colby O'Donis"", 'Kardinal Offishall']","['/wiki/Akon', '/wiki/Colby_O%27Donis', '/wiki/Kardinal_Offishall']",1996–present 1997–present 1994–present
54,['Coldplay'],['/wiki/Coldplay'],1997–present
55,['Akon'],['/wiki/Akon'],1996–present
56,['Jordin Sparks'],['/wiki/Jordin_Sparks'],2006–present
57,"['Flo Rida', 'Wynter Gordon']","['/wiki/Flo_Rida', '/wiki/Wynter_Gordon']",2000–present 2004–present
58,['Ne-Yo'],['/wiki/Ne-Yo'],1998–present
59,['Owl City'],['/wiki/Owl_City'],2007–present
60,['Linkin Park'],['/wiki/Linkin_Park'],1996–2017
61,"['Jay-Z', 'Alicia Keys']","['/wiki/Jay-Z', '/wiki/Alicia_Keys']",1986–present 1993–present
62,['Daughtry'],['/wiki/Daughtry_(band)'],2006–present
63,['Shakira'],['/wiki/Shakira'],1990–present
64,"['Mario', 'Gucci Mane', 'Sean Garrett']","['/wiki/Mario_(entertainer)', '/wiki/Gucci_Mane', '/wiki/Sean_Garrett']",2001-present 2001–present 2004–present
65,['Beyoncé'],['/wiki/Beyonc%C3%A9_Knowles'],1997–present
66,['Young Money'],['/wiki/Young_Money_Entertainment'],
67,['Colbie Caillat'],['/wiki/Colbie_Caillat'],2004–present
68,['The Veronicas'],['/wiki/The_Veronicas'],2001–present
69,['Nickelback'],['/wiki/Nickelback'],1995 1995
70,"['Fabolous', 'The-Dream']","['/wiki/Fabolous', '/wiki/The-Dream']",1997–present 1995–present
71,['Boys Like Girls'],['/wiki/Boys_Like_Girls'],2005–present
72,['Asher Roth'],['/wiki/Asher_Roth'],2005–present
73,['Britney Spears'],['/wiki/Britney_Spears'],1992–present
74,['Jason Aldean'],['/wiki/Jason_Aldean'],1998–present
75,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
76,['Rihanna'],['/wiki/Rihanna'],2003–present
77,['Green Day'],['/wiki/Green_Day'],1987–present
78,"[""Soulja Boy Tell 'Em""]",['/wiki/Soulja_Boy'],2004–present
79,['The-Dream'],['/wiki/The-Dream'],1995–present
80,['Zac Brown Band'],['/wiki/Zac_Brown_Band'],2002–present
81,['Beyoncé'],['/wiki/Beyonc%C3%A9_Knowles'],1997–present
82,['Iyaz'],['/wiki/Iyaz'],2009–present
83,['Brad Paisley'],['/wiki/Brad_Paisley'],1998–present
84,['Rob Thomas'],['/wiki/Rob_Thomas_(musician)'],1990–present
85,"['Jesse McCartney', 'Ludacris']","['/wiki/Jesse_McCartney', '/wiki/Ludacris']",1994–present 1998–present
86,['Britney Spears'],['/wiki/Britney_Spears'],1992–present
87,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']","['/wiki/Drake_(musician)', '/wiki/Kanye_West', '/wiki/Lil_Wayne', '/wiki/Eminem']",2001–present 1996–present 1995–present 1988–present
88,['Justin Bieber'],['/wiki/Justin_Bieber'],2007–present
89,['Lady Antebellum'],['/wiki/Lady_Antebellum'],2006–present
90,['Kelly Clarkson'],['/wiki/Kelly_Clarkson'],2000–present
91,"['John Legend', 'André 3000']","['/wiki/John_Legend', '/wiki/Andr%C3%A9_3000']",1997–present 1992–present
92,['Billy Currington'],['/wiki/Billy_Currington'],1996–present
93,['Zac Brown Band'],['/wiki/Zac_Brown_Band'],2002–present
94,['Kelly Clarkson'],['/wiki/Kelly_Clarkson'],2000–present
95,['Kristinia DeBarge'],['/wiki/Kristinia_DeBarge'],2003–present
96,"['Michael Franti & Spearhead', 'Cherine Anderson']","['/wiki/Michael_Franti', '/wiki/Cherine_Anderson']",1986–present 2006 1997–present
97,"['Jim Jones', 'Ron Browz', 'Juelz Santana']","['/wiki/Jim_Jones_(rapper)', '/wiki/Ron_Browz', '/wiki/Juelz_Santana']",1997–present 1997-present 1994–present
98,['Maxwell'],['/wiki/Maxwell_(musician)'],1990–present
99,['The Fray'],['/wiki/The_Fray'],2002–present
