,band_singer,singer_url,active_years
0,['Lulu'],['/wiki/Lulu_(singer)'],1964
1,['The Box Tops'],['/wiki/The_Box_Tops'],1967 1970 1996 2010 2015
2,['Bobbie Gentry'],['/wiki/Bobbie_Gentry'],1966 1982
3,['The Association'],['/wiki/The_Association'],1965 1978 1979
4,['The Monkees'],['/wiki/The_Monkees'],1966–1970 1986–1989 1996–1997 2001–2002 2010–2021
5,['The Doors'],['/wiki/The_Doors'],1965 (1965)–1973 (1973) 1978
6,"['Frank', 'Nancy Sinatra']","['/wiki/Frank_Sinatra', '/wiki/Nancy_Sinatra']",
7,['The Turtles'],['/wiki/The_Turtles'],"1965–19701983–present (""featuring Flo & Eddie"")"
8,['The Young Rascals'],['/wiki/The_Rascals'],1965–1972 1988 2010 2012–2013
9,['Frankie Valli'],['/wiki/Frankie_Valli'],1953
10,['The Music Explosion'],['/wiki/The_Music_Explosion'],1966 1969 1980
11,['Tommy James and the Shondells'],['/wiki/Tommy_James_and_the_Shondells'],1964 1964
12,['Aretha Franklin'],['/wiki/Aretha_Franklin'],
13,['Stevie Wonder'],['/wiki/Stevie_Wonder'],
14,['Bobby Vee'],['/wiki/Bobby_Vee'],1959 2014
15,['The Buckinghams'],['/wiki/The_Buckinghams'],1966 1970 1980
16,['Arthur Conley'],['/wiki/Arthur_Conley'],1959 1988
17,['The Soul Survivors'],['/wiki/The_Soul_Survivors'],
18,['Sam & Dave'],['/wiki/Sam_%26_Dave'],1961 1970 1971 1981
19,['The Association'],['/wiki/The_Association'],1965 1978 1979
20,['Jay & the Techniques'],['/wiki/Jay_%26_the_Techniques'],
21,"[""Every Mother's Son""]",['/wiki/Every_Mother%27s_Son'],1966-1968
22,['Strawberry Alarm Clock'],['/wiki/Strawberry_Alarm_Clock'],1967–1971 1974–1975 1982–present
23,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962
24,['Vikki Carr'],['/wiki/Vikki_Carr'],1962
25,['The Supremes'],['/wiki/The_Supremes'],1959–1977 1983 2000
26,['Buffalo Springfield'],['/wiki/Buffalo_Springfield'],1966 (1966)–1968 (1968) 2010 (2010)–2012 (2012)
27,['Brenton Wood'],['/wiki/Brenton_Wood'],
28,['The Supremes'],['/wiki/The_Supremes'],1959–1977 1983 2000
29,['The Beatles'],['/wiki/The_Beatles'],1960 1970
30,['Engelbert Humperdinck'],['/wiki/Engelbert_Humperdinck_(singer)'],1956
31,"['Marvin Gaye', 'Tammi Terrell']","['/wiki/Marvin_Gaye', '/wiki/Tammi_Terrell']",
32,['Jefferson Airplane'],['/wiki/Jefferson_Airplane'],1965 1973 1989 1996
33,['The Esquires'],['/wiki/The_Esquires'],
34,['Van Morrison'],['/wiki/Van_Morrison'],1958
35,['Martha and the Vandellas'],['/wiki/Martha_and_the_Vandellas'],1957 1972
36,['The Happenings'],['/wiki/The_Happenings'],1961 1961 1970 1970
37,['Procol Harum'],['/wiki/Procol_Harum'],1967 1967 1977 1977 1991 1991 2022 2022
38,['The Buckinghams'],['/wiki/The_Buckinghams'],1966 1970 1980
39,['The Casinos'],['/wiki/The_Casinos'],
40,['The Supremes'],['/wiki/The_Supremes'],1959–1977 1983 2000
41,['The Hollies'],['/wiki/The_Hollies'],1962 1962
42,['Bobby Vinton'],['/wiki/Bobby_Vinton'],1958 2015
43,['Dionne Warwick'],['/wiki/Dionne_Warwick'],
44,['The Tremeloes'],['/wiki/The_Tremeloes'],1958
45,['Ed Ames'],['/wiki/Ed_Ames'],1947
46,['The 5th Dimension'],['/wiki/The_5th_Dimension'],1966 1975
47,['Scott McKenzie'],['/wiki/Scott_McKenzie'],1950 2010
48,['The Cowsills'],['/wiki/The_Cowsills'],1965 1972 1980
49,"[""Herman's Hermits""]",['/wiki/Herman%27s_Hermits'],1964
50,['The Buckinghams'],['/wiki/The_Buckinghams'],1966 1970 1980
51,['Petula Clark'],['/wiki/Petula_Clark'],1940
52,['Jackie Wilson'],['/wiki/Jackie_Wilson'],1953 1975
53,['The Young Rascals'],['/wiki/The_Rascals'],1965–1972 1988 2010 2012–2013
54,['The Beatles'],['/wiki/The_Beatles'],1960 1970
55,['The Temptations'],['/wiki/The_Temptations'],1960
56,['The Seekers'],['/wiki/The_Seekers'],1962 1962 1968 1968 1975 1975 1988 1988 1992 1992 2022
