,band_singer,singer_url,active_years
0,['Lifehouse'],['/wiki/Lifehouse_(band)'],1995
1,['Alicia Keys'],['/wiki/Alicia_Keys'],
2,['Janet Jackson'],['/wiki/Janet_Jackson'],
3,['Train'],['/wiki/Train_(band)'],1993
4,"['Jennifer Lopez', 'Ja Rule']","['/wiki/Jennifer_Lopez', '/wiki/Ja_Rule']",1994 1994
5,['Matchbox Twenty'],['/wiki/Matchbox_Twenty'],1995–2004 2007–present
6,"['Eve', 'Gwen Stefani']","['/wiki/Eve_(entertainer)', '/wiki/Gwen_Stefani']",
7,['Dido'],['/wiki/Dido_(singer)'],1995
8,['Lenny Kravitz'],['/wiki/Lenny_Kravitz'],
9,"[""Destiny's Child""]",['/wiki/Destiny%27s_Child'],1990 2006
10,['Blu Cantrell'],['/wiki/Blu_Cantrell'],1999
11,"['Shaggy', 'Rikrok']","['/wiki/Shaggy_(musician)', '/wiki/Rikrok']",
12,"['Joe', 'Mystikal']","['/wiki/Joe_(singer)', '/wiki/Mystikal']",1992 1991–2004 2010–present
13,['Staind'],['/wiki/Staind'],1995–2012 2014 2017 2019–present
14,['Usher'],['/wiki/Usher_(musician)'],
15,"['Jagged Edge', 'Nelly']","['/wiki/Jagged_Edge_(American_group)', '/wiki/Nelly']",1995
16,"['Shaggy', 'Rayvon']","['/wiki/Shaggy_(musician)', '/wiki/Rayvon']",1991
17,"['Nelly', 'City Spud']","['/wiki/Nelly', '/wiki/City_Spud']",1993 2010
18,['Uncle Kracker'],['/wiki/Uncle_Kracker'],1987
19,['112'],['/wiki/112_(band)'],1993 1993
20,['Incubus'],['/wiki/Incubus_(band)'],1991
21,['City High'],['/wiki/City_High'],1999 2003
22,"[""Destiny's Child""]",['/wiki/Destiny%27s_Child'],1990 2006
23,"['Christina Aguilera', ""Lil' Kim"", 'Mýa', 'Pink']","['/wiki/Christina_Aguilera', '/wiki/Lil%27_Kim', '/wiki/M%C3%BDa', '/wiki/Pink_(singer)']",1996
24,['Outkast'],['/wiki/Outkast'],1992–2007 2014
25,['Jennifer Lopez'],['/wiki/Jennifer_Lopez'],
26,['Faith Hill'],['/wiki/Faith_Hill'],
