,band_singer,singer_url,active_years
0,['Roberta Flack'],['/wiki/Roberta_Flack'],1968 2022
1,"[""Gilbert O'Sullivan""]",['/wiki/Gilbert_O%27Sullivan'],1967
2,['Don McLean'],['/wiki/Don_McLean'],1964
3,['Harry Nilsson'],['/wiki/Harry_Nilsson'],1958 1992
4,['Sammy Davis Jr.'],['/wiki/Sammy_Davis_Jr.'],
5,['Joe Tex'],['/wiki/Joe_Tex'],1955 1982
6,['Bill Withers'],['/wiki/Bill_Withers'],1967 1985
7,['Mac Davis'],['/wiki/Mac_Davis'],1962 2020
8,['Melanie'],['/wiki/Melanie_Safka'],1967
9,['Wayne Newton'],['/wiki/Wayne_Newton'],
10,['Al Green'],['/wiki/Al_Green'],1955
11,['Looking Glass'],['/wiki/Looking_Glass_(band)'],1969 1974 2003
12,['The Chi-Lites'],['/wiki/The_Chi-Lites'],1959
13,['Gallery'],['/wiki/Gallery_(band)'],1971 1974
14,['Chuck Berry'],['/wiki/Chuck_Berry'],1953 2017
15,['Luther Ingram'],['/wiki/Luther_Ingram'],1965 1992
16,['Neil Young'],['/wiki/Neil_Young'],
17,['The Stylistics'],['/wiki/The_Stylistics'],1968
18,['The Staple Singers'],['/wiki/The_Staple_Singers'],1948 1994 1999
19,['Michael Jackson'],['/wiki/Michael_Jackson'],1964 2009
20,['Robert John'],['/wiki/Robert_John'],
21,['Billy Preston'],['/wiki/Billy_Preston'],1956 2005
22,['War'],['/wiki/War_(American_band)'],1969
23,['The Hollies'],['/wiki/The_Hollies'],1962 1962
24,['Mouth & MacNeal'],['/wiki/Mouth_%26_MacNeal'],1971 1974
25,['Neil Diamond'],['/wiki/Neil_Diamond'],
26,['America'],['/wiki/America_(band)'],1970
27,['Hot Butter'],['/wiki/Hot_Butter'],1971 1978
28,['The Main Ingredient'],['/wiki/The_Main_Ingredient_(band)'],1964 1977 1979 1981 1986 1991 1999 2020
29,['Climax'],['/wiki/Climax_(band)'],1970 1976
30,['The 5th Dimension'],['/wiki/The_5th_Dimension'],1966 1975
