,band_singer,singer_url,active_years
0,['Captain & Tennille'],['/wiki/Captain_%26_Tennille'],1972–2013
1,['Glen Campbell'],['/wiki/Glen_Campbell'],1958–2013
2,['Elton John'],['/wiki/Elton_John'],1962–present
3,['Freddy Fender'],['/wiki/Freddy_Fender'],1957–2005
4,['Frankie Valli'],['/wiki/Frankie_Valli'],1953–present
5,['Grand Funk Railroad'],['/wiki/Grand_Funk_Railroad'],1969–1976 1981–1983 1996–1998 2000–present
6,"['Earth, Wind & Fire']","['/wiki/Earth,_Wind_%26_Fire']",1969–present
7,['David Bowie'],['/wiki/David_Bowie'],1962–2016
8,['Neil Sedaka'],['/wiki/Neil_Sedaka'],1957–present
9,['Eagles'],['/wiki/Eagles_(band)'],1971
10,['John Denver'],['/wiki/John_Denver'],1962–1997
11,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
12,['Eagles'],['/wiki/Eagles_(band)'],1971
13,['Minnie Riperton'],['/wiki/Minnie_Riperton'],1962–1979
14,['Carl Douglas'],['/wiki/Carl_Douglas'],1964–present
15,['The Doobie Brothers'],['/wiki/The_Doobie_Brothers'],1970 1970 1982 1982 1987 1987
16,['Sweet'],['/wiki/The_Sweet'],1968 1968 1982 1982 1985 1985
17,['B.J. Thomas'],['/wiki/B.J._Thomas'],1966–2021
18,['Tony Orlando and Dawn'],['/wiki/Tony_Orlando_and_Dawn'],1970–1977 1988–1993 2005 2015–2016 2018–present
19,['Janis Ian'],['/wiki/Janis_Ian'],1965–present
20,['Average White Band'],['/wiki/Average_White_Band'],1972–1983 1989–present
21,['Van McCoy & the Soul City Symphony'],['/wiki/Van_McCoy_%26_the_Soul_City_Symphony'],1952–1979
22,['Labelle'],['/wiki/Labelle'],1962 2009
23,['War'],['/wiki/War_(U.S._band)'],1969–present
24,['Major Harris'],['/wiki/Major_Harris_(singer)'],2011
25,['Stevie Wonder'],['/wiki/Stevie_Wonder'],1961–present
26,['Freddy Fender'],['/wiki/Freddy_Fender'],1957–2005
27,['Helen Reddy'],['/wiki/Helen_Reddy'],1965 2017
28,['The Isley Brothers'],['/wiki/The_Isley_Brothers'],1954–present
29,['Ozark Mountain Daredevils'],['/wiki/Ozark_Mountain_Daredevils'],1972 1972
30,['Ohio Players'],['/wiki/Ohio_Players'],1959 1959
31,['Pilot'],['/wiki/Pilot_(band)'],1973–1977 2002 2007–present
32,['The Carpenters'],['/wiki/The_Carpenters'],1965–1983
33,['America'],['/wiki/America_(band)'],1970–present
34,['Elton John'],['/wiki/Elton_John'],1962–present
35,['Barry Manilow'],['/wiki/Barry_Manilow'],1964–present
36,['Olivia Newton-John'],['/wiki/Olivia_Newton-John'],1963–2022
37,['Barry Manilow'],['/wiki/Barry_Manilow'],1964–present
38,['Harry Chapin'],['/wiki/Harry_Chapin'],1981
