,band_singer,singer_url,active_years
0,['Kim Carnes'],['/wiki/Kim_Carnes'],1962–present
1,"['Diana Ross', 'Lionel Richie']","['/wiki/Diana_Ross', '/wiki/Lionel_Richie']",1959–present 1968–present
2,['Kenny Rogers'],['/wiki/Kenny_Rogers'],1956–2017
3,['John Lennon'],['/wiki/John_Lennon'],1956–1980
4,['Rick Springfield'],['/wiki/Rick_Springfield'],1962–present
5,['Kool & the Gang'],['/wiki/Kool_%26_the_Gang'],1964–present
6,['Hall & Oates'],['/wiki/Hall_%26_Oates'],1970–present
7,['Eddie Rabbitt'],['/wiki/Eddie_Rabbitt'],1964–1998
8,['Dolly Parton'],['/wiki/Dolly_Parton'],1956–present
9,['REO Speedwagon'],['/wiki/REO_Speedwagon'],1966 1966
10,['Joey Scarbury'],['/wiki/Joey_Scarbury'],
11,['Sheena Easton'],['/wiki/Sheena_Easton'],1978–present
12,['Smokey Robinson'],['/wiki/Smokey_Robinson'],1955–present
13,['Juice Newton'],['/wiki/Juice_Newton'],1975-present
14,['Blondie'],['/wiki/Blondie_(band)'],1974–1982 1997–present
15,['Raydio'],['/wiki/Raydio'],1977–1981 2014–present
16,['Blondie'],['/wiki/Blondie_(band)'],1974–1982 1997–present
17,"['Grover Washington, Jr.', 'Bill Withers']","['/wiki/Grover_Washington,_Jr.', '/wiki/Bill_Withers']",1967–1999 1967–1985
18,['The Pointer Sisters'],['/wiki/The_Pointer_Sisters'],1970–present
19,['Climax Blues Band'],['/wiki/Climax_Blues_Band'],1967–present
20,['John Lennon'],['/wiki/John_Lennon'],1956–1980
21,['A Taste of Honey'],['/wiki/A_Taste_of_Honey_(band)'],1972–1983
22,['ABBA'],['/wiki/ABBA'],1972–1982 2016–present
23,['Stars on 45'],['/wiki/Stars_on_45'],1980 1980 1987 1987
24,['Juice Newton'],['/wiki/Juice_Newton'],1975-present
25,['Neil Diamond'],['/wiki/Neil_Diamond'],1962–present
26,['Air Supply'],['/wiki/Air_Supply'],1975–present
27,['Air Supply'],['/wiki/Air_Supply'],1975–present
28,"['Barbra Streisand', 'Barry Gibb']","['/wiki/Barbra_Streisand', '/wiki/Barry_Gibb']",1960–present 1955–present
29,['Styx'],['/wiki/Styx_(band)'],1972–1984 1990–1991 1995–present
30,['The Oak Ridge Boys'],['/wiki/The_Oak_Ridge_Boys'],1947–present
31,['REO Speedwagon'],['/wiki/REO_Speedwagon'],1966 1966
32,['Ronnie Milsap'],['/wiki/Ronnie_Milsap'],1963–present
33,['Gino Vannelli'],['/wiki/Gino_Vannelli'],1969–present
34,['Barbra Streisand'],['/wiki/Barbra_Streisand'],1960–present
35,['The Manhattan Transfer'],['/wiki/The_Manhattan_Transfer'],1969–present
36,['Foreigner'],['/wiki/Foreigner_(band)'],1976 1976
37,['Rod Stewart'],['/wiki/Rod_Stewart'],1961–present
38,['Commodores'],['/wiki/Commodores'],1968–present
39,['Don McLean'],['/wiki/Don_McLean'],1964–present
40,['Marty Balin'],['/wiki/Marty_Balin'],1962–2018
41,['Diana Ross'],['/wiki/Diana_Ross'],1959–present
42,['Hall & Oates'],['/wiki/Hall_%26_Oates'],1970–present
43,['Kenny Rogers'],['/wiki/Kenny_Rogers'],1956–2017
44,['Champaign'],['/wiki/Champaign_(band)'],1981–1984 1990–1991 2008–present
45,['Pat Benatar'],['/wiki/Pat_Benatar'],1972–present
46,['The Greg Kihn Band'],['/wiki/The_Greg_Kihn_Band'],1976 1976
47,['The Alan Parsons Project'],['/wiki/The_Alan_Parsons_Project'],1975–1990
48,['Bruce Springsteen'],['/wiki/Bruce_Springsteen'],1964–present
49,['Franke and the Knockouts'],['/wiki/Franke_and_the_Knockouts'],1980–1986
50,['Terri Gibbs'],['/wiki/Terri_Gibbs'],1980–present
51,['Leo Sayer'],['/wiki/Leo_Sayer'],1973–present
52,['Tierra'],['/wiki/Tierra_(group)'],1972–present
53,['Styx'],['/wiki/Styx_(band)'],1972–1984 1990–1991 1995–present
54,"['Dottie West', 'Kenny Rogers']","['/wiki/Dottie_West', '/wiki/Kenny_Rogers']",1959–1991 1956–2017
55,['Journey'],['/wiki/Journey_(band)'],1973–1987 1991 1995–present
56,['The Police'],['/wiki/The_Police'],1977–1986 2003 2007–2008
57,['Gary U.S. Bonds'],['/wiki/Gary_U.S._Bonds'],1956–present
58,"['Stevie Nicks', 'Tom Petty']","['/wiki/Stevie_Nicks', '/wiki/Tom_Petty']",1966–present 1967–2017
59,['Delbert McClinton'],['/wiki/Delbert_McClinton'],1962–present
60,['Cliff Richard'],['/wiki/Cliff_Richard'],1958–present
61,['Neil Diamond'],['/wiki/Neil_Diamond'],1962–present
62,['John Cougar'],['/wiki/John_Mellencamp'],1976–present
63,['Christopher Cross'],['/wiki/Christopher_Cross'],1971–present
64,['Queen'],['/wiki/Queen_(band)'],1970–present
65,['The Alan Parsons Project'],['/wiki/The_Alan_Parsons_Project'],1975–1990
66,['Eric Clapton'],['/wiki/Eric_Clapton'],1962–present
67,['Steve Winwood'],['/wiki/Steve_Winwood'],1961–present
68,['Stevie Wonder'],['/wiki/Stevie_Wonder'],1961–present
69,['Neil Diamond'],['/wiki/Neil_Diamond'],1962–present
70,['The Police'],['/wiki/The_Police'],1977–1986 2003 2007–2008
71,['Steely Dan'],['/wiki/Steely_Dan'],1971–1981 1993–present
72,['Stevie Wonder'],['/wiki/Stevie_Wonder'],1961–present
73,['George Harrison'],['/wiki/George_Harrison'],1958–2001
74,['Eddie Rabbitt'],['/wiki/Eddie_Rabbitt'],1964–1998
75,['Billy Squier'],['/wiki/Billy_Squier'],1968–present
76,['Alabama'],['/wiki/Alabama_(American_band)'],1969–2004 2006–2007 2010–present
77,"['Stanley Clarke', 'George Duke']","['/wiki/Stanley_Clarke', '/wiki/George_Duke']",1966–present 1966–2013
78,['Dan Fogelberg'],['/wiki/Dan_Fogelberg'],1968–2007
79,['Pablo Cruise'],['/wiki/Pablo_Cruise'],1973–1986 1996–present
80,['Electric Light Orchestra'],['/wiki/Electric_Light_Orchestra'],1970
81,['John Schneider'],['/wiki/John_Schneider_(screen_actor)'],1977–present
82,['Pat Benatar'],['/wiki/Pat_Benatar'],1972–present
83,['Santana'],['/wiki/Santana_(band)'],1966–present
84,"['Barbra Streisand', 'Barry Gibb']","['/wiki/Barbra_Streisand', '/wiki/Barry_Gibb']",1960–present 1955–present
85,['John Lennon'],['/wiki/John_Lennon'],1956–1980
86,['Heart'],['/wiki/Heart_(band)'],1973–1998 2002–2016 2019–present
87,['Ronnie Milsap'],['/wiki/Ronnie_Milsap'],1963–present
88,['Barry Manilow'],['/wiki/Barry_Manilow'],1964–present
89,['Hall & Oates'],['/wiki/Hall_%26_Oates'],1970–present
90,"['Olivia Newton-John', 'Cliff Richard']","['/wiki/Olivia_Newton-John', '/wiki/Cliff_Richard']",1963–2022 1958–present
91,['Sheena Easton'],['/wiki/Sheena_Easton'],1978–present
92,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961–present
93,['Devo'],['/wiki/Devo'],1973
94,['Sheena Easton'],['/wiki/Sheena_Easton'],1978–present
95,['Gary Wright'],['/wiki/Gary_Wright'],1960–present
96,['Rosanne Cash'],['/wiki/Rosanne_Cash'],1978–present
97,['Diana Ross'],['/wiki/Diana_Ross'],1959–present
98,['Boz Scaggs'],['/wiki/Boz_Scaggs'],1963–present
99,['Andy Gibb'],['/wiki/Andy_Gibb'],1967 1988
