,band_singer,singer_url,active_years
0,['Prince'],['/wiki/Prince_(musician)'],
1,['Tina Turner'],['/wiki/Tina_Turner'],
2,"['Paul McCartney', 'Michael Jackson']","['/wiki/Paul_McCartney', '/wiki/Michael_Jackson_(musician)']",1964 2009
3,['Kenny Loggins'],['/wiki/Kenny_Loggins'],1968
4,['Phil Collins'],['/wiki/Phil_Collins'],
5,['Van Halen'],['/wiki/Van_Halen'],1973 2020
6,['Lionel Richie'],['/wiki/Lionel_Richie'],
7,['Yes'],['/wiki/Yes_(band)'],1968–1981 1983–2004 2008–present
8,['Ray Parker Jr.'],['/wiki/Ray_Parker_Jr.'],1963
9,['Culture Club'],['/wiki/Culture_Club'],1981–1986 1998–2002 2011–present
10,['John Waite'],['/wiki/John_Waite'],1975
11,['Lionel Richie'],['/wiki/Lionel_Richie'],
12,['Deniece Williams'],['/wiki/Deniece_Williams'],1968
13,['Bruce Springsteen'],['/wiki/Bruce_Springsteen'],1964
14,['Cyndi Lauper'],['/wiki/Cyndi_Lauper'],
15,['Duran Duran'],['/wiki/Duran_Duran'],1978
16,['Cyndi Lauper'],['/wiki/Cyndi_Lauper'],
17,['The Pointer Sisters'],['/wiki/The_Pointer_Sisters'],1970
18,['The Romantics'],['/wiki/The_Romantics'],1977
19,['Laura Branigan'],['/wiki/Laura_Branigan'],1970 1996 2001 2004
20,"['Prince', 'the Revolution']","['/wiki/Prince_(musician)', '/wiki/The_Revolution_(band)']",1979 1986 2012 2016
21,['Daryl Hall & John Oates'],['/wiki/Hall_%26_Oates'],1970
22,['Thompson Twins'],['/wiki/Thompson_Twins'],1977 1993
23,['Kool & the Gang'],['/wiki/Kool_%26_the_Gang'],1964
24,['Stevie Wonder'],['/wiki/Stevie_Wonder'],
25,['Rockwell'],['/wiki/Rockwell_(musician)'],1971–1986 2018–present
26,['Matthew Wilder'],['/wiki/Matthew_Wilder'],1972
27,['Nena'],['/wiki/Nena_(band)'],1981 1981 1987 1987
28,['Dan Hartman'],['/wiki/Dan_Hartman'],1963 1994
29,['Sheila E.'],['/wiki/Sheila_E.'],
30,['Steve Perry'],['/wiki/Steve_Perry_(musician)'],1970–present
31,['Lionel Richie'],['/wiki/Lionel_Richie'],
32,['Elton John'],['/wiki/Elton_John'],
33,['Cyndi Lauper'],['/wiki/Cyndi_Lauper'],
34,['Madonna'],['/wiki/Madonna'],
35,['Corey Hart'],['/wiki/Corey_Hart_(singer)'],1980
36,['Billy Idol'],['/wiki/Billy_Idol'],1976
37,['Eurythmics'],['/wiki/Eurythmics'],1980–1990 1999–2005
38,['Billy Joel'],['/wiki/Billy_Joel'],
39,['Night Ranger'],['/wiki/Night_Ranger'],1979 1989 1991
40,['The Cars'],['/wiki/The_Cars'],1976–1988 2000 2010–2011 2018[4]
41,['Olivia Newton-John'],['/wiki/Olivia_Newton-John'],
42,['Duran Duran'],['/wiki/Duran_Duran'],1978
43,['Huey Lewis and the News'],['/wiki/Huey_Lewis_and_the_News'],1979
44,['Chicago'],['/wiki/Chicago_(band)'],1967
45,['Scandal'],['/wiki/Scandal_(American_band)'],1981 1985 2004
46,['Peabo Bryson'],['/wiki/Peabo_Bryson'],1965
47,['The Pointer Sisters'],['/wiki/The_Pointer_Sisters'],1970
48,['Shannon'],['/wiki/Shannon_(American_singer)'],1983
49,"['Julio Iglesias', 'Willie Nelson']","['/wiki/Julio_Iglesias', '/wiki/Willie_Nelson']",
50,['Billy Ocean'],['/wiki/Billy_Ocean'],1969
51,['Genesis'],['/wiki/Genesis_(band)'],1967–2000 2006–2007 2020–2022
52,['Lionel Richie'],['/wiki/Lionel_Richie'],
53,['Elton John'],['/wiki/Elton_John'],
54,['Huey Lewis and the News'],['/wiki/Huey_Lewis_and_the_News'],1979
