,band_singer,singer_url,active_years
0,['Bryan Adams'],['/wiki/Bryan_Adams'],1975
1,['Color Me Badd'],['/wiki/Color_Me_Badd'],1985 1985 1998 2010 2019 2022
2,['C+C Music Factory'],['/wiki/C%2BC_Music_Factory'],1989–1996 2010–2011
3,['Paula Abdul'],['/wiki/Paula_Abdul'],
4,['Timmy T'],['/wiki/Timmy_T'],1989
5,['EMF'],['/wiki/EMF_(band)'],1989 1997 2001 2002 2007 2009 2012
6,['Extreme'],['/wiki/Extreme_(band)'],1985 1996 2007 2004 2006
7,['Hi-Five'],['/wiki/Hi-Five'],1989 1994 2007
8,['Surface'],['/wiki/Surface_(band)'],1983 1994
9,['Amy Grant'],['/wiki/Amy_Grant'],1976
10,['Boyz II Men'],['/wiki/Boyz_II_Men'],1985
11,['Stevie B'],['/wiki/Stevie_B'],1987
12,['Mariah Carey'],['/wiki/Mariah_Carey'],
13,['Damn Yankees'],['/wiki/Damn_Yankees_(band)'],1989–1996 1998–2001 2004 2010
14,['Bette Midler'],['/wiki/Bette_Midler'],
15,['Whitney Houston'],['/wiki/Whitney_Houston'],
16,['Jesus Jones'],['/wiki/Jesus_Jones'],1988
17,['Color Me Badd'],['/wiki/Color_Me_Badd'],1985 1985 1998 2010 2019 2022
18,['Janet Jackson'],['/wiki/Janet_Jackson'],
19,"['Marky Mark and the Funky Bunch', 'Loleatta Holloway']","['/wiki/Marky_Mark_and_the_Funky_Bunch', '/wiki/Loleatta_Holloway']",1991 1993 1967 2003
20,['Madonna'],['/wiki/Madonna'],
21,['Mariah Carey'],['/wiki/Mariah_Carey'],
22,['Roxette'],['/wiki/Roxette'],1986 2019
23,['Karyn White'],['/wiki/Karyn_White'],1986 1995
24,['Tara Kemp'],['/wiki/Tara_Kemp'],1991 1994
25,['Mariah Carey'],['/wiki/Mariah_Carey'],
26,['Wilson Phillips'],['/wiki/Wilson_Phillips'],1989–1993 2001 2004–2006 2010–present
27,['Amy Grant'],['/wiki/Amy_Grant'],1976
28,['Ralph Tresvant'],['/wiki/Ralph_Tresvant'],1981
29,['Cathy Dennis'],['/wiki/Cathy_Dennis'],1989
30,['Londonbeat'],['/wiki/Londonbeat'],1988
31,['Natural Selection'],['/wiki/Natural_Selection_(group)'],1989 2011
32,['R.E.M.'],['/wiki/R.E.M.'],1980 2011
33,['Gloria Estefan'],['/wiki/Gloria_Estefan'],1975
34,['Lenny Kravitz'],['/wiki/Lenny_Kravitz'],
35,['C+C Music Factory'],['/wiki/C%2BC_Music_Factory'],1989–1996 2010–2011
36,['Celine Dion'],['/wiki/Celine_Dion'],
37,['DJ Jazzy Jeff & The Fresh Prince'],['/wiki/DJ_Jazzy_Jeff_%26_The_Fresh_Prince'],1984 1994
38,['Scorpions'],['/wiki/Scorpions_(band)'],1965
39,['Rythm Syndicate'],['/wiki/Rythm_Syndicate'],
40,['Paula Abdul'],['/wiki/Paula_Abdul'],
41,['Whitney Houston'],['/wiki/Whitney_Houston'],
42,['FireHouse'],['/wiki/FireHouse_(band)'],1984
43,['Roxette'],['/wiki/Roxette'],1986 2019
44,['Tracie Spencer'],['/wiki/Tracie_Spencer'],1987 2006
45,['Extreme'],['/wiki/Extreme_(band)'],1985 1996 2007 2004 2006
46,['Luther Vandross'],['/wiki/Luther_Vandross'],1969 2004
47,['Wilson Phillips'],['/wiki/Wilson_Phillips'],1989–1993 2001 2004–2006 2010–present
48,['Michael Bolton'],['/wiki/Michael_Bolton'],1975
49,['Rod Stewart'],['/wiki/Rod_Stewart'],
50,['C+C Music Factory'],['/wiki/C%2BC_Music_Factory'],1989–1996 2010–2011
51,['Divinyls'],['/wiki/Divinyls'],1980 1996 2006 2009
52,"['DNA', 'Suzanne Vega']","['/wiki/DNA_(duo)', '/wiki/Suzanne_Vega']",1988 1998 1982
53,['Another Bad Creation'],['/wiki/Another_Bad_Creation'],1988 1993 2007
54,['Bonnie Raitt'],['/wiki/Bonnie_Raitt'],1971
55,['Nelson'],['/wiki/Nelson_(band)'],1986
56,['Vanilla Ice'],['/wiki/Vanilla_Ice'],1985
57,['Corina'],['/wiki/Corina_(American_singer)'],1989
58,['Bryan Adams'],['/wiki/Bryan_Adams'],1975
59,['Hi-Five'],['/wiki/Hi-Five'],1989 1994 2007
60,['The KLF'],['/wiki/The_KLF'],1987–1992 1993–1995 1997 2017–present
61,['Michael Bolton'],['/wiki/Michael_Bolton'],1975
