,band_singer,singer_url,active_years
0,"['Macklemore & Ryan Lewis', 'Wanz']","['/wiki/Macklemore_%26_Ryan_Lewis', '/wiki/Wanz']",2009–2016 1980–present
1,"['Robin Thicke', 'T.I.', 'Pharrell Williams']","['/wiki/Robin_Thicke', '/wiki/T.I.', '/wiki/Pharrell_Williams']",1994–present 1999–present 1990–present
2,['Imagine Dragons'],['/wiki/Imagine_Dragons'],2008–present
3,['Baauer'],['/wiki/Baauer'],2011–present
4,"['Macklemore & Ryan Lewis', 'Ray Dalton']","['/wiki/Macklemore_%26_Ryan_Lewis', '/wiki/Ray_Dalton']",2009–2016 2009–present
5,['Justin Timberlake'],['/wiki/Justin_Timberlake'],1992–present
6,"['Pink', 'Nate Ruess']","['/wiki/Pink_(singer)', '/wiki/Nate_Ruess']",1995–present 2000–present
7,['Bruno Mars'],['/wiki/Bruno_Mars'],2004–present
8,"['Florida Georgia Line', 'Nelly']","['/wiki/Florida_Georgia_Line', '/wiki/Nelly']",2010 1993–present
9,['Katy Perry'],['/wiki/Katy_Perry'],2001–present
10,['Bruno Mars'],['/wiki/Bruno_Mars'],2004–present
11,['The Lumineers'],['/wiki/The_Lumineers'],2005–present
12,"['Rihanna', 'Mikky Ekko']","['/wiki/Rihanna', '/wiki/Mikky_Ekko']",2003–present 2008–present
13,"['Daft Punk', 'Pharrell Williams']","['/wiki/Daft_Punk', '/wiki/Pharrell_Williams']",1993–2021 1990–present
14,['Lorde'],['/wiki/Lorde'],2009–present
15,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
16,['Miley Cyrus'],['/wiki/Miley_Cyrus'],2001–present
17,['Miley Cyrus'],['/wiki/Miley_Cyrus'],2001–present
18,['Avicii'],['/wiki/Avicii'],2006–2018
19,"['Justin Timberlake', 'Jay-Z']","['/wiki/Justin_Timberlake', '/wiki/Jay-Z']",1992–present 1986–present
20,['Anna Kendrick'],['/wiki/Anna_Kendrick'],1998–present
21,"['Jay-Z', 'Justin Timberlake']","['/wiki/Jay-Z', '/wiki/Justin_Timberlake']",1986–present 1992–present
22,"['will.i.am', 'Britney Spears']","['/wiki/Will.i.am', '/wiki/Britney_Spears']",1988–present 1992–present
23,"['Zedd', 'Foxes']","['/wiki/Zedd', '/wiki/Foxes_(singer)']",2002–present 2011–present
24,['Awolnation'],['/wiki/Awolnation'],2009–present
25,"['Swedish House Mafia', 'John Martin']","['/wiki/Swedish_House_Mafia', '/wiki/John_Martin_(singer)']",2008–2013 2018–present 2010–present
26,['Rihanna'],['/wiki/Rihanna'],2003–present
27,"['Icona Pop', 'Charli XCX']","['/wiki/Icona_Pop', '/wiki/Charli_XCX']",2009–present 2008–present
28,['Capital Cities'],['/wiki/Capital_Cities_(band)'],2008–present
29,['Bruno Mars'],['/wiki/Bruno_Mars'],2004–present
30,"['Ariana Grande', 'Mac Miller']","['/wiki/Ariana_Grande', '/wiki/Mac_Miller']",2008–present 2007–2018
31,['Drake'],['/wiki/Drake_(musician)'],2001–present
32,['Selena Gomez'],['/wiki/Selena_Gomez'],2002–present
33,"['Drake', 'Majid Jordan']","['/wiki/Drake_(musician)', '/wiki/Majid_Jordan']",2001–present 2011–present
34,['Maroon 5'],['/wiki/Maroon_5'],1994–present
35,"['Pitbull', 'Christina Aguilera']","['/wiki/Pitbull_(rapper)', '/wiki/Christina_Aguilera']",2000–present 1993–present
36,['Lady Gaga'],['/wiki/Lady_Gaga'],2001–present
