,band_singer,singer_url,active_years
0,['Pharrell Williams'],['/wiki/Pharrell_Williams'],1990–present
1,"['Katy Perry', 'Juicy J']","['/wiki/Katy_Perry', '/wiki/Juicy_J']",2001–present 1987–present
2,['John Legend'],['/wiki/John_Legend'],1997–present
3,"['Iggy Azalea', 'Charli XCX']","['/wiki/Iggy_Azalea', '/wiki/Charli_XCX']",2011–present 2008–present
4,['OneRepublic'],['/wiki/OneRepublic'],2002–present
5,"['Jason Derulo', '2 Chainz']","['/wiki/Jason_Derulo', '/wiki/2_Chainz']",2006–present 1997–present
6,['Magic!'],['/wiki/Magic!'],2012 2012
7,['Meghan Trainor'],['/wiki/Meghan_Trainor'],2009–present
8,"['Ariana Grande', 'Iggy Azalea']","['/wiki/Ariana_Grande', '/wiki/Iggy_Azalea']",2008–present 2011–present
9,['Sam Smith'],['/wiki/Sam_Smith_(singer)'],2008–present
10,"['Pitbull', 'Kesha']","['/wiki/Pitbull_(rapper)', '/wiki/Kesha']",2000–present 2005–present
11,['Bastille'],['/wiki/Bastille_(band)'],2010–present
12,['Taylor Swift'],['/wiki/Taylor_Swift'],2004–present
13,['Nico & Vinz'],['/wiki/Nico_%26_Vinz'],2010–present
14,"['DJ Snake', 'Lil Jon']","['/wiki/DJ_Snake', '/wiki/Lil_Jon']",2000–present 1991–present
15,"['Eminem', 'Rihanna']","['/wiki/Eminem', '/wiki/Rihanna']",1988–present 2003–present
16,"['A Great Big World', 'Christina Aguilera']","['/wiki/A_Great_Big_World', '/wiki/Christina_Aguilera']",2011–present 1993–present
17,['Lorde'],['/wiki/Lorde'],2009–present
18,['Passenger'],['/wiki/Passenger_(singer)'],2003–present
19,['Lorde'],['/wiki/Lorde'],2009–present
20,['Idina Menzel'],['/wiki/Idina_Menzel'],1995–present
21,['Avicii'],['/wiki/Avicii'],2006–2018
22,['Imagine Dragons'],['/wiki/Imagine_Dragons'],2008–present
23,['One Direction'],['/wiki/One_Direction'],2010–2016
24,['Sia'],['/wiki/Sia'],1995–present
25,"['Iggy Azalea', 'Rita Ora']","['/wiki/Iggy_Azalea', '/wiki/Rita_Ora']",2011–present 2008–present
26,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']","['/wiki/Jessie_J', '/wiki/Ariana_Grande', '/wiki/Nicki_Minaj']",2005–present 2008–present 2004–present
27,"['Disclosure', 'Sam Smith']","['/wiki/Disclosure_(band)', '/wiki/Sam_Smith_(singer)']",2010–present 2008–present
28,['Maroon 5'],['/wiki/Maroon_5'],1994–present
29,"['Chris Brown', 'Lil Wayne', 'French Montana', 'Too Short', 'Tyga']","['/wiki/Chris_Brown', '/wiki/Lil_Wayne', '/wiki/French_Montana', '/wiki/Too_Short', '/wiki/Tyga']",2002–present 1995–present 2002–present 1983–present 2004–present
30,['American Authors'],['/wiki/American_Authors'],2006–present
31,['Tove Lo'],['/wiki/Tove_Lo'],2006–present
32,['Calvin Harris'],['/wiki/Calvin_Harris'],2002–present
33,['Charli XCX'],['/wiki/Charli_XCX'],2008–present
34,"['Beyoncé', 'Jay-Z']","['/wiki/Beyonc%C3%A9', '/wiki/Jay-Z']",1997–present 1986–present
35,['Nicki Minaj'],['/wiki/Nicki_Minaj'],2004–present
36,"['Ariana Grande', 'Zedd']","['/wiki/Ariana_Grande', '/wiki/Zedd']",2008–present 2002–present
37,"['Enrique Iglesias', 'Descemer Bueno', 'Gente de Zona']","['/wiki/Enrique_Iglesias', '/wiki/Descemer_Bueno', '/wiki/Gente_de_Zona']",1995–present 1990–present 2000–present
38,['Ellie Goulding'],['/wiki/Ellie_Goulding'],2009–present
39,"['Jason Derulo', 'Snoop Dogg']","['/wiki/Jason_Derulo', '/wiki/Snoop_Dogg']",2006–present 1992–present
40,"['Clean Bandit', 'Jess Glynne']","['/wiki/Clean_Bandit', '/wiki/Jess_Glynne']",2008–present 2013–present
41,"['Jeremih', 'YG']","['/wiki/Jeremih', '/wiki/YG_(rapper)']",2008–present 2008–present
42,"['Kid Ink', 'Chris Brown']","['/wiki/Kid_Ink', '/wiki/Chris_Brown']",2009–present 2002–present
43,['Miley Cyrus'],['/wiki/Miley_Cyrus'],2001–present
44,['Justin Timberlake'],['/wiki/Justin_Timberlake'],1992–present
45,['Katy Perry'],['/wiki/Katy_Perry'],2001–present
46,['Paramore'],['/wiki/Paramore'],2004–present
47,['Aloe Blacc'],['/wiki/Aloe_Blacc'],1995–present
48,"['Florida Georgia Line', 'Luke Bryan']","['/wiki/Florida_Georgia_Line', '/wiki/Luke_Bryan']",2010 1996–present
49,['MKTO'],['/wiki/MKTO'],2010–present
50,['Coldplay'],['/wiki/Coldplay'],1997–present
51,['Ed Sheeran'],['/wiki/Ed_Sheeran'],2004–present
52,['Trey Songz'],['/wiki/Trey_Songz'],2003–present
53,['Bobby Shmurda'],['/wiki/Bobby_Shmurda'],2013–present
54,"['Drake', 'Majid Jordan']","['/wiki/Drake_(rapper)', '/wiki/Majid_Jordan']",2001–present 2011–present
55,['Ed Sheeran'],['/wiki/Ed_Sheeran'],2004–present
56,['Imagine Dragons'],['/wiki/Imagine_Dragons'],2008–present
