,band_singer,singer_url,active_years
0,['Chicago'],['/wiki/Chicago_(band)'],1967–present
1,['Bobby Brown'],['/wiki/Bobby_Brown'],1978–present
2,['Poison'],['/wiki/Poison_(American_band)'],1983–present
3,['Paula Abdul'],['/wiki/Paula_Abdul'],1978–present
4,['Janet Jackson'],['/wiki/Janet_Jackson'],1974–present
5,['Paula Abdul'],['/wiki/Paula_Abdul'],1978–present
6,['Bette Midler'],['/wiki/Bette_Midler'],1965–present
7,['Milli Vanilli'],['/wiki/Milli_Vanilli'],1988 1998
8,['Will to Power'],['/wiki/Will_to_Power_(band)'],1987–present
9,['Anita Baker'],['/wiki/Anita_Baker'],1979
10,['Richard Marx'],['/wiki/Richard_Marx'],1980–present
11,['Boy Meets Girl'],['/wiki/Boy_Meets_Girl_(band)'],1982–present
12,['Debbie Gibson'],['/wiki/Debbie_Gibson'],1986–present
13,['Gloria Estefan'],['/wiki/Gloria_Estefan'],1975–present
14,['Warrant'],['/wiki/Warrant_(American_band)'],1984–present
15,['Milli Vanilli'],['/wiki/Milli_Vanilli'],1988 1998
16,['Roxette'],['/wiki/Roxette'],1986–2019
17,['Fine Young Cannibals'],['/wiki/Fine_Young_Cannibals'],1984–1992 1996
18,['Bobby Brown'],['/wiki/Bobby_Brown'],1978–present
19,['Phil Collins'],['/wiki/Phil_Collins'],1963–2011 2015–present
20,['Milli Vanilli'],['/wiki/Milli_Vanilli'],1988 1998
21,['Roxette'],['/wiki/Roxette'],1986–2019
22,['Bon Jovi'],['/wiki/Bon_Jovi'],1983–present
23,['Simply Red'],['/wiki/Simply_Red'],1985
24,['Madonna'],['/wiki/Madonna'],1979–present
25,['New Kids on the Block'],['/wiki/New_Kids_on_the_Block'],1984–1994 2008–present
26,['Breathe'],['/wiki/Breathe_(British_band)'],1984–1992
27,['Milli Vanilli'],['/wiki/Milli_Vanilli'],1988 1998
28,['Martika'],['/wiki/Martika'],1982–1992 2000–present
29,['Paula Abdul'],['/wiki/Paula_Abdul'],1978–present
30,['Mike + The Mechanics'],['/wiki/Mike_and_the_Mechanics'],1985–2004 2010–present
31,['The Bangles'],['/wiki/The_Bangles'],1981–1989 1998–present
32,['Tone Loc'],['/wiki/Tone_Loc'],1987–present
33,['Bad English'],['/wiki/Bad_English'],1987–1991
34,['Cher'],['/wiki/Cher'],1963–present
35,['Neneh Cherry'],['/wiki/Neneh_Cherry'],1980–present
36,['Sheriff'],['/wiki/Sheriff_(band)'],1979–1985
37,['Taylor Dayne'],['/wiki/Taylor_Dayne'],1985–present
38,['Bon Jovi'],['/wiki/Bon_Jovi'],1983–present
39,['Fine Young Cannibals'],['/wiki/Fine_Young_Cannibals'],1984–1992 1996
40,['Sheena Easton'],['/wiki/Sheena_Easton'],1978–present
41,['Young MC'],['/wiki/Young_MC'],1987–present
42,['Great White'],['/wiki/Great_White'],1977–2001 2006–present
43,['Prince'],['/wiki/Prince_(musician)'],1975–2016
44,['Michael Damian'],['/wiki/Michael_Damian'],1980–present
45,['Jody Watley'],['/wiki/Jody_Watley'],1973–present
46,"[""The B-52's""]",['/wiki/The_B-52%27s'],1976–present
47,['Bobby Brown'],['/wiki/Bobby_Brown'],1978–present
48,['New Kids on the Block'],['/wiki/New_Kids_on_the_Block'],1984–1994 2008–present
49,['Rod Stewart'],['/wiki/Rod_Stewart'],1961–present
50,['Love and Rockets'],['/wiki/Love_and_Rockets_(band)'],1985–1999 2007–2009 2023
51,['New Kids on the Block'],['/wiki/New_Kids_on_the_Block'],1984–1994 2008–present
52,['Def Leppard'],['/wiki/Def_Leppard'],1976–present
53,['Richard Marx'],['/wiki/Richard_Marx'],1980–present
54,['Madonna'],['/wiki/Madonna'],1979–present
55,['Dino'],['/wiki/Dino_(American_singer)'],1987–1993
56,['Donny Osmond'],['/wiki/Donny_Osmond'],1963–present
57,['Tears for Fears'],['/wiki/Tears_for_Fears'],1981–present
58,['Madonna'],['/wiki/Madonna'],1979–present
59,['White Lion'],['/wiki/White_Lion'],1983–1992 1999–2013
60,['Skid Row'],['/wiki/Skid_Row_(American_band)'],1986–1996 1999–present
61,['Duran Duran'],['/wiki/Duran_Duran'],1978–present
62,['.38 Special'],['/wiki/.38_Special_(band)'],1974–present
63,['Karyn White'],['/wiki/Karyn_White'],1986
64,['Tone Loc'],['/wiki/Tone_Loc'],1987–present
65,['The Bangles'],['/wiki/The_Bangles'],1981–1989 1998–present
66,['Natalie Cole'],['/wiki/Natalie_Cole'],1956–2015
67,['The Cure'],['/wiki/The_Cure'],1978–present
68,['Karyn White'],['/wiki/Karyn_White'],1986
69,['The Jeff Healey Band'],['/wiki/The_Jeff_Healey_Band'],1981–2008
70,"[""Guns N' Roses""]",['/wiki/Guns_N%27_Roses'],1985–present
71,['Eddie Money'],['/wiki/Eddie_Money'],1974–2019
72,['New Kids on the Block'],['/wiki/New_Kids_on_the_Block'],1984–1994 2008–present
73,"[""Guns N' Roses""]",['/wiki/Guns_N%27_Roses'],1985–present
74,['Surface'],['/wiki/Surface_(band)'],1983
75,['R.E.M.'],['/wiki/R.E.M.'],1980–2011
76,"['Lita Ford', 'Ozzy Osbourne']","['/wiki/Lita_Ford', '/wiki/Ozzy_Osbourne']",1975 1967–present
77,['Tiffany'],['/wiki/Tiffany_Darwish'],1981
78,"['Cher', 'Peter Cetera']","['/wiki/Cher', '/wiki/Peter_Cetera']",1963–present 1962–2019
79,['Bobby Brown'],['/wiki/Bobby_Brown'],1978–present
80,['Aerosmith'],['/wiki/Aerosmith'],1970–present
81,['Bon Jovi'],['/wiki/Bon_Jovi'],1983–present
82,['When in Rome'],['/wiki/When_in_Rome_(band)'],1987–1990
83,['Edie Brickell & New Bohemians'],['/wiki/Edie_Brickell_%26_New_Bohemians'],1985–1991 1997–present
84,['Boys Club'],['/wiki/Boys_Club_(band)'],
85,"[""Guns N' Roses""]",['/wiki/Guns_N%27_Roses'],1985–present
86,['Samantha Fox'],['/wiki/Samantha_Fox'],1983–1987 1983–present 1992-present
87,['Rick Astley'],['/wiki/Rick_Astley'],1985–1993 2000–present
88,['Vanessa Williams'],['/wiki/Vanessa_L._Williams'],1979–present
89,['Babyface'],['/wiki/Babyface_(musician)'],1974–present
90,['Alice Cooper'],['/wiki/Alice_Cooper'],1964–present
91,['Donna Summer'],['/wiki/Donna_Summer'],1968–2012
92,['Michael Jackson'],['/wiki/Michael_Jackson'],1964–2009
93,['Deon Estus'],['/wiki/Deon_Estus'],1975–2021
94,['Bobby Brown'],['/wiki/Bobby_Brown'],1978–present
95,['Sa-Fire'],['/wiki/Sa-Fire'],1986–present
96,['Exposé'],['/wiki/Expos%C3%A9_(band)'],1984
97,"['Ann Wilson', 'Robin Zander']","['/wiki/Ann_Wilson', '/wiki/Robin_Zander']",1967–present 1973–present
98,['Don Henley'],['/wiki/Don_Henley'],1970–present
99,['Soul II Soul'],['/wiki/Soul_II_Soul'],1988
