,band_singer,singer_url,active_years
0,['Mariah Carey'],['/wiki/Mariah_Carey'],1988–present
1,['Gwen Stefani'],['/wiki/Gwen_Stefani'],1986–present
2,['Mario'],['/wiki/Mario_(entertainer)'],2001-present
3,['Kelly Clarkson'],['/wiki/Kelly_Clarkson'],2000–present
4,"['Ciara', 'Missy Elliott']","['/wiki/Ciara', '/wiki/Missy_Elliott']",2003–present 1991–present
5,"['Kanye West', 'Jamie Foxx']","['/wiki/Kanye_West', '/wiki/Jamie_Foxx']",1996–present 1989–present
6,['Green Day'],['/wiki/Green_Day'],1987–present
7,"['50 Cent', 'Olivia']","['/wiki/50_Cent', '/wiki/Olivia_(singer)']",1996 1996 2000–present
8,"['The Pussycat Dolls', 'Busta Rhymes']","['/wiki/The_Pussycat_Dolls', '/wiki/Busta_Rhymes']",2003 2021 1986–present
9,['Kelly Clarkson'],['/wiki/Kelly_Clarkson'],2000–present
10,['50 Cent'],['/wiki/50_Cent'],1996 1996
11,['Lifehouse'],['/wiki/Lifehouse_(band)'],1995–present
12,['The Black Eyed Peas'],['/wiki/The_Black_Eyed_Peas'],1995–2011 2015–present
13,"['Missy Elliott', 'Ciara', 'Fatman Scoop']","['/wiki/Missy_Elliott', '/wiki/Ciara', '/wiki/Fatman_Scoop']",1991–present 2003–present 1992–present
14,['Mariah Carey'],['/wiki/Mariah_Carey'],1988–present
15,['The Killers'],['/wiki/The_Killers'],2001–present
16,['50 Cent'],['/wiki/50_Cent'],1996 1996
17,['Rihanna'],['/wiki/Rihanna'],2003–present
18,"['The Game', '50 Cent']","['/wiki/Game_(rapper)', '/wiki/50_Cent']",2000–present 1996 1996
19,['Weezer'],['/wiki/Weezer'],1992–present
20,"['Ciara', 'Ludacris']","['/wiki/Ciara', '/wiki/Ludacris']",2003–present 1998–present
21,['Rob Thomas'],['/wiki/Rob_Thomas_(musician)'],1990–present
22,"['Snoop Dogg', 'Pharrell']","['/wiki/Snoop_Dogg', '/wiki/Pharrell_Williams']",1992–present 1990–present
23,"['The Game', '50 Cent']","['/wiki/Game_(rapper)', '/wiki/50_Cent']",2000–present 1996 1996
24,"['Lil Jon', 'Usher', 'Ludacris']","['/wiki/Lil_Jon', '/wiki/Usher_(musician)', '/wiki/Ludacris']",1991–present 1993–present 1998–present
25,"[""Destiny's Child"", 'T.I.', 'Lil Wayne']","['/wiki/Destiny%27s_Child', '/wiki/T.I.', '/wiki/Lil_Wayne']",1990–2006 1999–present 1995–present
