,band_singer,singer_url,active_years
0,['Sam the Sham and the Pharaohs'],['/wiki/Sam_the_Sham'],1959 1982
1,['Four Tops'],['/wiki/Four_Tops'],1953
2,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962
3,['We Five'],['/wiki/We_Five'],1964 1967 1968 1970
4,['The Righteous Brothers'],['/wiki/The_Righteous_Brothers'],1962 1971 1974 1976 1981 2003 2016
5,['Petula Clark'],['/wiki/Petula_Clark'],1940
6,['The Beatles'],['/wiki/The_Beatles'],1960 1970
7,"[""Herman's Hermits""]",['/wiki/Herman%27s_Hermits'],1964
8,['Elvis Presley'],['/wiki/Elvis_Presley'],1953 1977
9,['The Temptations'],['/wiki/The_Temptations'],1960
10,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961
11,['Roger Miller'],['/wiki/Roger_Miller'],
12,['Jewel Akens'],['/wiki/Jewel_Akens'],
13,['Mel Carter'],['/wiki/Mel_Carter'],1960
14,['Junior Walker & the All Stars'],['/wiki/Junior_Walker'],1945 1995
15,['Sonny & Cher'],['/wiki/Sonny_%26_Cher'],1964 1977
16,['Gary Lewis & the Playboys'],['/wiki/Gary_Lewis_%26_the_Playboys'],1964 1970
17,['Ramsey Lewis Trio'],['/wiki/Ramsey_Lewis'],1955 2022
18,"[""Herman's Hermits""]",['/wiki/Herman%27s_Hermits'],1964
19,['The Supremes'],['/wiki/The_Supremes'],1959–1977 1983 2000
20,['The Righteous Brothers'],['/wiki/The_Righteous_Brothers'],1962 1971 1974 1976 1981 2003 2016
21,"[""Herman's Hermits""]",['/wiki/Herman%27s_Hermits'],1964
22,['The Seekers'],['/wiki/The_Seekers'],1962 1962 1968 1968 1975 1975 1988 1988 1992 1992 2022
23,['Jay and the Americans'],['/wiki/Jay_and_the_Americans'],1960 1973 2006
24,['The Byrds'],['/wiki/The_Byrds'],1964–1973 1989–1991 2000
25,['Sounds Orchestral'],['/wiki/Sounds_Orchestral'],
26,['Barbara Mason'],['/wiki/Barbara_Mason'],1964
27,['Tom Jones'],['/wiki/Tom_Jones_(singer)'],
28,['Barry McGuire'],['/wiki/Barry_McGuire'],1960
29,['The McCoys'],['/wiki/The_McCoys'],1962 1969
30,['The Beatles'],['/wiki/The_Beatles'],1960 1970
31,['Bert Kaempfert'],['/wiki/Bert_Kaempfert'],1939 1980
32,['James Brown'],['/wiki/James_Brown'],
33,"['Wayne Fontana', 'The Mindbenders']","['/wiki/Wayne_Fontana', '/wiki/The_Mindbenders']",1962 2020 1963 1968
34,['Shirley Ellis'],['/wiki/Shirley_Ellis'],1958 1968
35,['Petula Clark'],['/wiki/Petula_Clark'],1940
36,['The Supremes'],['/wiki/The_Supremes'],1959–1977 1983 2000
37,['Barbara Lewis'],['/wiki/Barbara_Lewis'],1962 2017
38,['The Kingsmen'],['/wiki/The_Kingsmen'],1959
39,['Patti Page'],['/wiki/Patti_Page'],1946 2012
40,['Bob Dylan'],['/wiki/Bob_Dylan'],
41,['Freddie and the Dreamers'],['/wiki/Freddie_and_the_Dreamers'],1963 2000
42,['Gerry and the Pacemakers'],['/wiki/Gerry_and_the_Pacemakers'],1956 1966 1972
43,['The Righteous Brothers'],['/wiki/The_Righteous_Brothers'],1962 1971 1974 1976 1981 2003 2016
44,['Johnny Rivers'],['/wiki/Johnny_Rivers'],1956
45,"[""Herman's Hermits""]",['/wiki/Herman%27s_Hermits'],1964
46,['Horst Jankowski'],['/wiki/Horst_Jankowski'],
47,['The Yardbirds'],['/wiki/The_Yardbirds'],1963–1968 1992–present
48,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961
49,['The Moody Blues'],['/wiki/The_Moody_Blues'],1964–1974 1977–2018
50,['Shirley Bassey'],['/wiki/Shirley_Bassey'],1953
51,['Billy Joe Royal'],['/wiki/Billy_Joe_Royal'],1950 2015
52,['Glenn Yarbrough'],['/wiki/Glenn_Yarbrough'],1951 2010
53,['The Dave Clark Five'],['/wiki/The_Dave_Clark_Five'],1958 1973
54,['The Beatles'],['/wiki/The_Beatles'],1960 1970
55,['The Beau Brummels'],['/wiki/The_Beau_Brummels'],1964 1974
56,['Ian Whitcomb'],['/wiki/Ian_Whitcomb'],1963 2012
57,['Marvin Gaye'],['/wiki/Marvin_Gaye'],
58,['Gary Lewis & the Playboys'],['/wiki/Gary_Lewis_%26_the_Playboys'],1964 1970
59,['The Kinks'],['/wiki/The_Kinks'],1963–1996
60,['Gary Lewis & the Playboys'],['/wiki/Gary_Lewis_%26_the_Playboys'],1964 1970
61,['The Kinks'],['/wiki/The_Kinks'],1963–1996
62,['Jackie DeShannon'],['/wiki/Jackie_DeShannon'],1955
63,['Tom Jones'],['/wiki/Tom_Jones_(singer)'],
64,['Sir Douglas Quintet'],['/wiki/Sir_Douglas_Quintet'],1964 1964 1973 1973
65,['Sam Cooke'],['/wiki/Sam_Cooke'],1951 1964
66,"[""Herman's Hermits""]",['/wiki/Herman%27s_Hermits'],1964
67,['Martha and the Vandellas'],['/wiki/Martha_and_the_Vandellas'],1957 1972
68,['The Yardbirds'],['/wiki/The_Yardbirds'],1963–1968 1992–present
69,['The Searchers'],['/wiki/The_Searchers_(band)'],1959–2019 2023
70,['Dickey Lee'],['/wiki/Dickey_Lee'],1957
71,['Sonny & Cher'],['/wiki/Sonny_%26_Cher'],1964 1977
72,['The Turtles'],['/wiki/The_Turtles'],"1965–19701983–present (""featuring Flo & Eddie"")"
73,['The Zombies'],['/wiki/The_Zombies'],1961[8][9][10][11]–1967 1968 1989–1991 1997 2004–present
74,['Peter and Gordon'],['/wiki/Peter_and_Gordon'],1962 1968 2005 2009
75,['Vic Dana'],['/wiki/Vic_Dana'],
76,['Patty Duke'],['/wiki/Patty_Duke'],
77,['The Miracles'],['/wiki/The_Miracles'],1955 1983 1993 2011
78,['Brenda Lee'],['/wiki/Brenda_Lee'],
79,['The Dave Clark Five'],['/wiki/The_Dave_Clark_Five'],1958 1973
80,['Bobby Goldsboro'],['/wiki/Bobby_Goldsboro'],1962
81,['Peter and Gordon'],['/wiki/Peter_and_Gordon'],1962 1968 2005 2009
82,['Four Tops'],['/wiki/Four_Tops'],1953
83,['The Fortunes'],['/wiki/The_Fortunes'],1961
84,['Joe Tex'],['/wiki/Joe_Tex'],1955 1982
85,['The Animals'],['/wiki/The_Animals'],1963–1969 1975–1976 1983 1992–present
86,['The Beau Brummels'],['/wiki/The_Beau_Brummels'],1964 1974
87,['The Rolling Stones'],['/wiki/The_Rolling_Stones'],1962
88,"[""The Lovin' Spoonful""]",['/wiki/The_Lovin%27_Spoonful'],1965 1969 1979 1991
89,['Cher'],['/wiki/Cher'],
90,['Little Anthony and the Imperials'],['/wiki/Little_Anthony_and_the_Imperials'],1958
91,['The Strangeloves'],['/wiki/The_Strangeloves'],1964 1964 1968 1968
92,['The Miracles'],['/wiki/The_Miracles'],1955 1983 1993 2011
93,['Sonny'],['/wiki/Sonny_Bono'],1963 1995
94,['Roy Head'],['/wiki/Roy_Head'],1958 2019
95,['George Jones'],['/wiki/Jack_Jones_(singer)'],1959
96,"['Dino, Desi & Billy']","['/wiki/Dino,_Desi_%26_Billy']",1964 1969 1998 2010
97,['The Ad Libs'],['/wiki/The_Ad_Libs'],1964 1981
98,['Del Shannon'],['/wiki/Del_Shannon'],1958 1989
