,band_singer,singer_url,active_years
0,['50 Cent'],['/wiki/50_Cent'],
1,['R. Kelly'],['/wiki/R._Kelly'],
2,['Sean Paul'],['/wiki/Sean_Paul'],
3,"['Beyoncé', 'Jay-Z']","['/wiki/Beyonc%C3%A9', '/wiki/Jay-Z']",
4,['3 Doors Down'],['/wiki/3_Doors_Down'],1996
5,['Matchbox Twenty'],['/wiki/Matchbox_Twenty'],1995–2004 2007–present
6,['Chingy'],['/wiki/Chingy'],2000
7,['Aaliyah'],['/wiki/Aaliyah'],
8,"['Kid Rock', 'Sheryl Crow']","['/wiki/Kid_Rock', '/wiki/Sheryl_Crow']",1988 1987
9,"['Evanescence', 'Paul McCoy']","['/wiki/Evanescence', '/wiki/Paul_McCoy']",1995 2000
10,"['Lil Jon & The East Side Boyz', 'Ying Yang Twins']","['/wiki/Lil_Jon', '/wiki/Ying_Yang_Twins']",1991 1999
11,"['Beyoncé', 'Sean Paul']","['/wiki/Beyonc%C3%A9', '/wiki/Sean_Paul']",
12,"['Nelly', 'P. Diddy', 'Murphy Lee']","['/wiki/Nelly', '/wiki/Sean_Combs', '/wiki/Murphy_Lee']",1993
13,"['50 Cent', 'Nate Dogg']","['/wiki/50_Cent', '/wiki/Nate_Dogg']",1990 2008
14,"['Jennifer Lopez', 'LL Cool J']","['/wiki/Jennifer_Lopez', '/wiki/LL_Cool_J']",
15,['Christina Aguilera'],['/wiki/Christina_Aguilera'],
16,"['Busta Rhymes', 'Mariah Carey']","['/wiki/Busta_Rhymes', '/wiki/Mariah_Carey']",1994 2014
17,['Avril Lavigne'],['/wiki/Avril_Lavigne'],
18,"['Uncle Kracker', 'Dobie Gray']","['/wiki/Uncle_Kracker', '/wiki/Dobie_Gray']",1987 1960 2011
19,"[""Lil' Kim"", '50 Cent']","['/wiki/Lil%27_Kim', '/wiki/50_Cent']",
20,['50 Cent'],['/wiki/50_Cent'],
21,"['B2K', 'P. Diddy']","['/wiki/B2K', '/wiki/Sean_Combs']",1998–2004 2018–2019
22,"['Fabolous', 'Tamia']","['/wiki/Fabolous', '/wiki/Tamia']",1997
23,"['Fabolous', ""Lil' Mo""]","['/wiki/Fabolous', '/wiki/Lil%27_Mo']",1997
24,"['Ja Rule', 'Ashanti']","['/wiki/Ja_Rule', '/wiki/Ashanti_(singer)']",1994 1994 2001
25,['Black Eyed Peas'],['/wiki/Black_Eyed_Peas'],1995–2011 2015–present
26,"['Santana', 'Michelle Branch']","['/wiki/Santana_(band)', '/wiki/Michelle_Branch']",1966
27,['Eminem'],['/wiki/Eminem'],
28,['Ashanti'],['/wiki/Ashanti_(singer)'],2001
29,['Justin Timberlake'],['/wiki/Justin_Timberlake'],
30,['Tyrese'],['/wiki/Tyrese_Gibson'],
31,['Justin Timberlake'],['/wiki/Justin_Timberlake'],
32,['Wayne Wonder'],['/wiki/Wayne_Wonder'],1985
33,"['Pharrell', 'Jay-Z']","['/wiki/Pharrell_Williams', '/wiki/Jay-Z']",
34,['Dixie Chicks'],['/wiki/Dixie_Chicks'],1989
35,['Missy Elliott'],['/wiki/Missy_Elliott'],
36,"['Jay-Z', 'Beyoncé']","['/wiki/Jay-Z', '/wiki/Beyonc%C3%A9']",
37,"['Nivea', 'Jagged Edge']","['/wiki/Nivea_(singer)', '/wiki/Jagged_Edge_(American_group)']",1995
38,['Monica'],['/wiki/Monica_(entertainer)'],
39,"['Nelly', 'St. Lunatics']","['/wiki/Nelly', '/wiki/St._Lunatics']",1993 2010
40,['Lumidee'],['/wiki/Lumidee'],2003
41,"['Snoop Dogg', 'Pharrell', 'Charlie Wilson']","['/wiki/Snoop_Dogg', '/wiki/Pharrell_Williams', '/wiki/Charlie_Wilson_(singer)']",1972
42,"['Missy Elliott', 'Ludacris']","['/wiki/Missy_Elliott', '/wiki/Ludacris']",
43,['Kelly Clarkson'],['/wiki/Kelly_Clarkson'],
44,['Train'],['/wiki/Train_(band)'],1993
45,"['YoungBloodZ', 'Lil Jon']","['/wiki/YoungBloodZ', '/wiki/Lil_Jon']",1997 2008 2014 1991
46,['Clay Aiken'],['/wiki/Clay_Aiken'],2003
47,['John Mayer'],['/wiki/John_Mayer'],1998
48,['Trapt'],['/wiki/Trapt'],1995
49,['Ginuwine'],['/wiki/Ginuwine'],1991
50,"['Ludacris', 'Shawnna']","['/wiki/Ludacris', '/wiki/Shawnna']",1996
51,['Jason Mraz'],['/wiki/Jason_Mraz'],
