,band_singer,singer_url,active_years
0,['George Michael'],['/wiki/George_Michael'],1981–2016
1,['INXS'],['/wiki/INXS'],1977–2012
2,['George Harrison'],['/wiki/George_Harrison'],1958–2001
3,['Rick Astley'],['/wiki/Rick_Astley'],1985–1993 2000–present
4,"[""Guns N' Roses""]",['/wiki/Guns_N%27_Roses'],1985–present
5,['Whitney Houston'],['/wiki/Whitney_Houston'],1977–2012
6,['Belinda Carlisle'],['/wiki/Belinda_Carlisle'],1977–present
7,['Tiffany'],['/wiki/Tiffany_Darwish'],1981
8,['Breathe'],['/wiki/Breathe_(British_band)'],1984–1992
9,['Steve Winwood'],['/wiki/Steve_Winwood'],1961–present
10,['George Michael'],['/wiki/George_Michael'],1981–2016
11,"[""Terence Trent D'Arby""]",['/wiki/Terence_Trent_D%27Arby'],1984–present
12,['Gloria Estefan and Miami Sound Machine'],['/wiki/Gloria_Estefan'],1975–present
13,['Cheap Trick'],['/wiki/Cheap_Trick'],1973–present
14,['Billy Ocean'],['/wiki/Billy_Ocean'],1969–present
15,['Exposé'],['/wiki/Expos%C3%A9_(group)'],1984
16,['Whitesnake'],['/wiki/Whitesnake'],1978–1990 1994 1997 2003–present
17,['The Escape Club'],['/wiki/The_Escape_Club'],1983–1992 2009–present
18,['Def Leppard'],['/wiki/Def_Leppard'],1976–present
19,['Taylor Dayne'],['/wiki/Taylor_Dayne'],1985–present
20,['Michael Jackson'],['/wiki/Michael_Jackson'],1964–2009
21,['Debbie Gibson'],['/wiki/Debbie_Gibson'],1986–present
22,['Robert Palmer'],['/wiki/Robert_Palmer_(singer)'],1964–2003
23,['Richard Marx'],['/wiki/Richard_Marx'],1980–present
24,['Eric Carmen'],['/wiki/Eric_Carmen'],1967–present
25,['Johnny Hates Jazz'],['/wiki/Johnny_Hates_Jazz'],1985–1992 2009–present
26,['George Michael'],['/wiki/George_Michael'],1981–2016
27,['Samantha Fox'],['/wiki/Samantha_Fox'],1983–1987 1983–present 1992-present
28,['Phil Collins'],['/wiki/Phil_Collins'],1963–2011 2015–present
29,['Def Leppard'],['/wiki/Def_Leppard'],1976–present
30,['Richard Marx'],['/wiki/Richard_Marx'],1980–present
31,['Debbie Gibson'],['/wiki/Debbie_Gibson'],1986–present
32,['Whitney Houston'],['/wiki/Whitney_Houston'],1977–2012
33,['Aerosmith'],['/wiki/Aerosmith'],1970–present
34,['The Bangles'],['/wiki/The_Bangles'],1981–1989 1998–present
35,['Michael Jackson'],['/wiki/Michael_Jackson'],1964–2009
36,['Bobby McFerrin'],['/wiki/Bobby_McFerrin'],1970–present
37,['Eric Carmen'],['/wiki/Eric_Carmen'],1967–present
38,['UB40'],['/wiki/UB40'],1978–present
39,['Patrick Swayze'],['/wiki/Patrick_Swayze'],1976–2009
40,['Bon Jovi'],['/wiki/Bon_Jovi'],1983–present
41,['The Beach Boys'],['/wiki/The_Beach_Boys'],1961–present
42,['Elton John'],['/wiki/Elton_John'],1962–present
43,['Rick Astley'],['/wiki/Rick_Astley'],1985–1993 2000–present
44,['George Michael'],['/wiki/George_Michael'],1981–2016
45,['INXS'],['/wiki/INXS'],1977–2012
46,['Richard Marx'],['/wiki/Richard_Marx'],1980–present
47,['Chicago'],['/wiki/Chicago_(band)'],1967–present
48,['Kylie Minogue'],['/wiki/Kylie_Minogue'],1979–present
49,"['Pet Shop Boys', 'Dusty Springfield']","['/wiki/Pet_Shop_Boys', '/wiki/Dusty_Springfield']",1981–present 1958–1995
50,['The Jets'],['/wiki/The_Jets_(Minnesota_band)'],1985–present
51,['Information Society'],['/wiki/Information_Society_(band)'],1982
52,['Taylor Dayne'],['/wiki/Taylor_Dayne'],1985–present
53,['Debbie Gibson'],['/wiki/Debbie_Gibson'],1986–present
54,['Jody Watley'],['/wiki/Jody_Watley'],1973–present
55,['U2'],['/wiki/U2'],1976–present
56,['Belinda Carlisle'],['/wiki/Belinda_Carlisle'],1977–present
57,"[""Terence Trent D'Arby""]",['/wiki/Terence_Trent_D%27Arby'],1984–present
58,['Roger'],['/wiki/Roger_Troutman'],1975–1999
59,['Pebbles'],['/wiki/Perri_%22Pebbles%22_Reid'],1980–present
60,['Michael Jackson'],['/wiki/Michael_Jackson'],1964–2009
61,['Gloria Estefan and Miami Sound Machine'],['/wiki/Gloria_Estefan'],1975–present
62,['Pebbles'],['/wiki/Perri_%22Pebbles%22_Reid'],1980–present
63,['Huey Lewis and the News'],['/wiki/Huey_Lewis_and_the_News'],1979–present
64,['INXS'],['/wiki/INXS'],1977–2012
65,['Pretty Poison'],['/wiki/Pretty_Poison_(group)'],1981-present
66,['New Edition'],['/wiki/New_Edition'],1978–1990 1996–1997 2002–present
67,['The Jets'],['/wiki/The_Jets_(Minnesota_band)'],1985–present
68,['Peter Cetera'],['/wiki/Peter_Cetera'],1962–2019
69,['Cheap Trick'],['/wiki/Cheap_Trick'],1973–present
70,['Elton John'],['/wiki/Elton_John'],1962–present
71,['Daryl Hall & John Oates'],['/wiki/Hall_%26_Oates'],1970–present
