,band_singer,singer_url,active_years
0,['The Knack'],['/wiki/The_Knack'],1978 2010
1,['Donna Summer'],['/wiki/Donna_Summer'],1968–2012
2,['Chic'],['/wiki/Chic_(band)'],1972–1983 1990–1992 1996–present
3,['Rod Stewart'],['/wiki/Rod_Stewart'],1961–present
4,['Peaches & Herb'],['/wiki/Peaches_%26_Herb'],1966–present
5,['Gloria Gaynor'],['/wiki/Gloria_Gaynor'],1965–present
6,['Donna Summer'],['/wiki/Donna_Summer'],1968–2012
7,['Village People'],['/wiki/Village_People'],1977–present
8,['Anita Ward'],['/wiki/Anita_Ward'],1979–present
9,['Robert John'],['/wiki/Robert_John'],
10,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
11,['Donna Summer'],['/wiki/Donna_Summer'],1968–2012
12,['Dr. Hook'],['/wiki/Dr._Hook'],1968–1985 1988-2015 2019-present
13,['David Naughton'],['/wiki/David_Naughton'],1974–present
14,['The Pointer Sisters'],['/wiki/The_Pointer_Sisters'],1970–present
15,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
16,['Olivia Newton-John'],['/wiki/Olivia_Newton-John'],1963–2022
17,['Blondie'],['/wiki/Blondie_(band)'],1974–1982 1997–present
18,['The Doobie Brothers'],['/wiki/The_Doobie_Brothers'],1970 1970 1982 1982 1987 1987
19,['Chic'],['/wiki/Chic_(band)'],1972–1983 1990–1992 1996–present
20,"['Neil Diamond', 'Barbra Streisand']","['/wiki/Neil_Diamond', '/wiki/Barbra_Streisand']",1962–present 1960–present
21,['Amii Stewart'],['/wiki/Amii_Stewart'],1977
22,"['Suzi Quatro', 'Chris Norman']","['/wiki/Suzi_Quatro', '/wiki/Chris_Norman']",1964–present 1964–present
23,['Maxine Nightingale'],['/wiki/Maxine_Nightingale'],1968–present
24,['The Jacksons'],['/wiki/The_Jackson_5'],1964–1989 2001 2012–present
25,['Melissa Manchester'],['/wiki/Melissa_Manchester'],1971–present
26,['Supertramp'],['/wiki/Supertramp'],1970
27,['Billy Joel'],['/wiki/Billy_Joel'],1964
28,['Randy VanWarmer'],['/wiki/Randy_VanWarmer'],1978–2004
29,['Raydio'],['/wiki/Raydio'],1977–1981 2014–present
30,['Peaches & Herb'],['/wiki/Peaches_%26_Herb'],1966–present
31,['Dionne Warwick'],['/wiki/Dionne_Warwick'],1955–present
32,['Bee Gees'],['/wiki/Bee_Gees'],1958–1969 1970–2003 2006 2009–2012
33,['Cheap Trick'],['/wiki/Cheap_Trick'],1973–present
34,['Barbra Streisand'],['/wiki/Barbra_Streisand'],1960–present
35,['Elton John'],['/wiki/Elton_John'],1962–present
36,['Leif Garrett'],['/wiki/Leif_Garrett'],1966–present
37,"['Earth, Wind & Fire']","['/wiki/Earth,_Wind_%26_Fire']",1969–present
38,"['Donna Summer', 'Brooklyn Dreams']","['/wiki/Donna_Summer', '/wiki/Brooklyn_Dreams_(group)']",1968–2012 1977–1980
39,['Kenny Rogers'],['/wiki/Kenny_Rogers'],1956–2017
40,['Nicolette Larson'],['/wiki/Nicolette_Larson'],1973–1997
41,['Little River Band'],['/wiki/Little_River_Band'],1975 1975
42,['Bonnie Pointer'],['/wiki/Bonnie_Pointer'],1969–2020
43,['Toto'],['/wiki/Toto_(band)'],1977–2008 2010–2019 2020–present
44,['Sister Sledge'],['/wiki/Sister_Sledge'],1971–present
45,['Dr. Hook'],['/wiki/Dr._Hook'],1968–1985 1988-2015 2019-present
46,['Kenny Rogers'],['/wiki/Kenny_Rogers'],1956–2017
47,['Village People'],['/wiki/Village_People'],1977–present
48,['Frank Mills'],['/wiki/Frank_Mills'],
49,['The Charlie Daniels Band'],['/wiki/Charlie_Daniels'],1958–2020
50,['John Stewart'],['/wiki/John_Stewart_(musician)'],
51,['Wings'],['/wiki/Paul_McCartney_and_Wings'],1971–1981
52,['Sister Sledge'],['/wiki/Sister_Sledge'],1971–present
53,['Bad Company'],['/wiki/Bad_Company'],1973–1982 1986–1999 2001–2002 2008–present
54,['Hot Chocolate'],['/wiki/Hot_Chocolate_(band)'],1968–1986 1988 1992–present
55,['Cher'],['/wiki/Cher'],1963–present
56,"['Earth, Wind & Fire', 'The Emotions']","['/wiki/Earth,_Wind_%26_Fire', '/wiki/The_Emotions']",1969–present 1962 1962 1985 1985 1990–present
57,['Andy Gibb'],['/wiki/Andy_Gibb'],1967 1988
58,['Bobby Caldwell'],['/wiki/Bobby_Caldwell'],1968–2020
59,['Ace Frehley'],['/wiki/Ace_Frehley'],1964–present
60,['Dire Straits'],['/wiki/Dire_Straits'],1977 1977 1988 1988 1990 1990 1995 1995
61,['Chic'],['/wiki/Chic_(band)'],1972–1983 1990–1992 1996–present
62,['Rickie Lee Jones'],['/wiki/Rickie_Lee_Jones'],1979–present
63,['Alicia Bridges'],['/wiki/Alicia_Bridges'],1977–present
64,['McFadden & Whitehead'],['/wiki/McFadden_%26_Whitehead'],1970–2004
65,['Little River Band'],['/wiki/Little_River_Band'],1975 1975
66,['Styx'],['/wiki/Styx_(band)'],1972–1984 1990–1991 1995–present
67,['England Dan & John Ford Coley'],['/wiki/England_Dan_%26_John_Ford_Coley'],1970–1980
68,['Cheryl Lynn'],['/wiki/Cheryl_Lynn'],1976–present
69,['Patrick Hernandez'],['/wiki/Patrick_Hernandez'],
70,['Electric Light Orchestra'],['/wiki/Electric_Light_Orchestra'],1970
71,['Anne Murray'],['/wiki/Anne_Murray'],1967–2008
72,['Ian Matthews'],['/wiki/Iain_Matthews'],1967–present
73,['Kiss'],['/wiki/Kiss_(band)'],1973–present
74,['Gino Vannelli'],['/wiki/Gino_Vannelli'],1969–present
75,['GQ'],['/wiki/GQ_(band)'],1968–1991 1999
76,['Linda Ronstadt'],['/wiki/Linda_Ronstadt'],1967–2011
77,"['Earth, Wind & Fire']","['/wiki/Earth,_Wind_%26_Fire']",1969–present
78,['Al Stewart'],['/wiki/Al_Stewart'],1966–present
79,['Herb Alpert'],['/wiki/Herb_Alpert'],1956–present
80,['Electric Light Orchestra'],['/wiki/Electric_Light_Orchestra'],1970
81,['Eric Clapton'],['/wiki/Eric_Clapton'],1962–present
82,['Roger Voudouris'],['/wiki/Roger_Voudouris'],
83,['Ambrosia'],['/wiki/Ambrosia_(band)'],1970–1982 1989–present
84,['Eddie Rabbitt'],['/wiki/Eddie_Rabbitt'],1964–1998
85,['Rex Smith'],['/wiki/Rex_Smith_(entertainer)'],1972–present
86,['Alice Cooper'],['/wiki/Alice_Cooper'],1964–present
87,['Foreigner'],['/wiki/Foreigner_(band)'],1976 1976
88,['The Babys'],['/wiki/The_Babys'],1975–1981 2013–present
89,['Instant Funk'],['/wiki/Instant_Funk'],1975–1985
90,['Michael Jackson'],['/wiki/Michael_Jackson'],1964–2009
91,['Robert Palmer'],['/wiki/Robert_Palmer_(singer)'],1964–2003
92,['Barry Manilow'],['/wiki/Barry_Manilow'],1964–present
93,['Bob Seger & The Silver Bullet Band'],['/wiki/Bob_Seger'],1961
