,band_singer,singer_url,active_years
0,['Justin Bieber'],['/wiki/Justin_Bieber'],2007–present
1,['Justin Bieber'],['/wiki/Justin_Bieber'],2007–present
2,"['Drake', 'Wizkid', 'Kyla']","['/wiki/Drake_(musician)', '/wiki/Wizkid_(musician)', '/wiki/Kyla_(British_singer)']",2001–present 2001–present 2008–present
3,"['Rihanna', 'Drake']","['/wiki/Rihanna', '/wiki/Drake_(musician)']",2003–present 2001–present
4,['Twenty One Pilots'],['/wiki/Twenty_One_Pilots'],2009–present
5,['Desiigner'],['/wiki/Desiigner'],2015–present
6,['Adele'],['/wiki/Adele'],2006–present
7,"['The Chainsmokers', 'Daya']","['/wiki/The_Chainsmokers', '/wiki/Daya_(singer)']",2012–present 2015–present
8,['Justin Timberlake'],['/wiki/Justin_Timberlake'],1992–present
9,"['The Chainsmokers', 'Halsey']","['/wiki/The_Chainsmokers', '/wiki/Halsey_(singer)']",2012–present 2012–present
10,"['Sia', 'Sean Paul']","['/wiki/Sia', '/wiki/Sean_Paul']",1995–present 1994–present
11,['Lukas Graham'],['/wiki/Lukas_Graham'],2011–present
12,['Rihanna'],['/wiki/Rihanna'],2003–present
13,['Flo Rida'],['/wiki/Flo_Rida'],2000–present
14,['Mike Posner'],['/wiki/Mike_Posner'],2007–present
15,"['Fifth Harmony', 'Ty Dolla Sign']","['/wiki/Fifth_Harmony', '/wiki/Ty_Dolla_Sign']",2012–2018 2004–present
16,"['Calvin Harris', 'Rihanna']","['/wiki/Calvin_Harris', '/wiki/Rihanna']",2002–present 2003–present
17,['DNCE'],['/wiki/DNCE'],2015
18,"['G-Eazy', 'Bebe Rexha']","['/wiki/G-Eazy', '/wiki/Bebe_Rexha']",2006–present 2010–present
19,['Twenty One Pilots'],['/wiki/Twenty_One_Pilots'],2009–present
20,['Twenty One Pilots'],['/wiki/Twenty_One_Pilots'],2009–present
21,['Zayn'],['/wiki/Zayn_Malik'],2010–present
22,['Shawn Mendes'],['/wiki/Shawn_Mendes'],2013–present
