,band_singer,singer_url,active_years
0,['Elton John'],['/wiki/Elton_John'],
1,['Jewel'],['/wiki/Jewel_(singer)'],
2,"['Puff Daddy', 'Faith Evans', '112']","['/wiki/Sean_Combs', '/wiki/Faith_Evans', '/wiki/112_(band)']",1993 1993
3,['Toni Braxton'],['/wiki/Toni_Braxton'],
4,"['Puff Daddy', 'Mase']","['/wiki/Sean_Combs', '/wiki/Mase']",1993 1999 2003 2006 2009
5,['R. Kelly'],['/wiki/R._Kelly'],
6,['En Vogue'],['/wiki/En_Vogue'],1989
7,['Mark Morrison'],['/wiki/Mark_Morrison'],1993
8,['LeAnn Rimes'],['/wiki/LeAnn_Rimes'],1990
9,['Spice Girls'],['/wiki/Spice_Girls'],1994–2000 2007–2008 2012 2018–present
10,['Backstreet Boys'],['/wiki/Backstreet_Boys'],1993
11,['Hanson'],['/wiki/Hanson_(band)'],1992
12,['Monica'],['/wiki/Monica_(singer)'],
13,['Usher'],['/wiki/Usher_(musician)'],
14,['Meredith Brooks'],['/wiki/Meredith_Brooks'],1976 2007
15,"['Keith Sweat', 'Athena Cage']","['/wiki/Keith_Sweat', '/wiki/Athena_Cage']",1975 1992
16,['Third Eye Blind'],['/wiki/Third_Eye_Blind'],1993
17,['Duncan Sheik'],['/wiki/Duncan_Sheik'],1993
18,"['Az Yet', 'Peter Cetera']","['/wiki/Az_Yet', '/wiki/Peter_Cetera']",1989 1962 2019
19,"['The Notorious B.I.G.', 'Puff Daddy', 'Mase']","['/wiki/The_Notorious_B.I.G.', '/wiki/Sean_Combs', '/wiki/Mase']",1993 1999 2003 2006 2009
20,['The Verve Pipe'],['/wiki/The_Verve_Pipe'],1992 1992
21,['Savage Garden'],['/wiki/Savage_Garden'],1993 1993 2001 2001
22,"['Blackstreet', 'Dr. Dre']","['/wiki/Blackstreet', '/wiki/Dr._Dre']",1991 2003 2014
23,['Rome'],['/wiki/Rome_(R%26B_singer)'],1996 2003 2009
24,['The Notorious B.I.G.'],['/wiki/The_Notorious_B.I.G.'],
25,['Babyface'],['/wiki/Babyface_(musician)'],
26,['Dru Hill'],['/wiki/Dru_Hill'],1992
27,['Spice Girls'],['/wiki/Spice_Girls'],1994–2000 2007–2008 2012 2018–present
28,['Robyn'],['/wiki/Robyn'],
29,['Boyz II Men'],['/wiki/Boyz_II_Men'],1985
30,['Changing Faces'],['/wiki/Changing_Faces_(group)'],1994 2000 2013
31,['Mariah Carey'],['/wiki/Mariah_Carey'],
32,['Whitney Houston'],['/wiki/Whitney_Houston'],
33,['Freak Nasty'],['/wiki/Freak_Nasty'],1994
34,['Spice Girls'],['/wiki/Spice_Girls'],1994–2000 2007–2008 2012 2018–present
35,['Sister Hazel'],['/wiki/Sister_Hazel'],1993
36,['112'],['/wiki/112_(band)'],1993 1993
37,['Paula Cole'],['/wiki/Paula_Cole'],1992
38,['Shawn Colvin'],['/wiki/Shawn_Colvin'],1973
39,"['Tim McGraw', 'Faith Hill']","['/wiki/Tim_McGraw', '/wiki/Faith_Hill']",
40,['Gina G'],['/wiki/Gina_G'],1990 1998 2004
41,['Merril Bainbridge'],['/wiki/Merril_Bainbridge'],1977 2003 2015
42,"['Allure', '112']","['/wiki/Allure_(group)', '/wiki/112_(band)']",1996 1993 1993
43,['New Edition'],['/wiki/New_Edition'],1978 1990 1996 1997 2002
44,['98 Degrees'],['/wiki/98_Degrees'],"1996–2002, 2012–present"
45,"[""Lil' Kim"", 'Da Brat', 'Left Eye', 'Missy Elliott', 'Angie Martinez']","['/wiki/Lil%27_Kim', '/wiki/Da_Brat', '/wiki/Lisa_Lopes', '/wiki/Missy_Elliott', '/wiki/Angie_Martinez']",1990 2002 1992
46,['Bone Thugs-n-Harmony'],['/wiki/Bone_Thugs-n-Harmony'],1991
47,['702'],['/wiki/702_(band)'],1993–2006 2017–present
48,['Celine Dion'],['/wiki/Celine_Dion'],
49,['Celine Dion'],['/wiki/Celine_Dion'],
50,"[""Somethin' for the People"", 'Trina & Tamara']","['/wiki/Somethin%27_for_the_People', '/wiki/Trina_%26_Tamara']",1990 2000 1990
51,['No Mercy'],['/wiki/No_Mercy_(pop_band)'],1995
52,"['Barbra Streisand', 'Bryan Adams']","['/wiki/Barbra_Streisand', '/wiki/Bryan_Adams']",1960 1975
53,"['Foxy Brown', 'Jay-Z']","['/wiki/Foxy_Brown_(rapper)', '/wiki/Jay-Z']",1994
54,['Sheryl Crow'],['/wiki/Sheryl_Crow'],1987
55,['Dru Hill'],['/wiki/Dru_Hill'],1992
56,['Journey'],['/wiki/Journey_(band)'],1973–1987 1991 1995–present
57,['Magoo and Timbaland'],['/wiki/Timbaland_%26_Magoo'],1989 2004
58,['Toni Braxton'],['/wiki/Toni_Braxton'],
59,['Sheryl Crow'],['/wiki/Sheryl_Crow'],1987
60,['MC Lyte'],['/wiki/MC_Lyte'],
61,['Ginuwine'],['/wiki/Ginuwine'],1991
62,['Sarah McLachlan'],['/wiki/Sarah_McLachlan'],1987
63,['Donna Lewis'],['/wiki/Donna_Lewis'],
64,['White Town'],['/wiki/White_Town'],1989
65,['Coolio'],['/wiki/Coolio'],
66,['Eric Clapton'],['/wiki/Eric_Clapton'],
67,['B-Rock and the Bizz'],['/wiki/B-Rock_and_the_Bizz'],
68,['Chumbawamba'],['/wiki/Chumbawamba'],1982 2012
69,['R. Kelly'],['/wiki/R._Kelly'],
70,['Az Yet'],['/wiki/Az_Yet'],1989
71,[],[],
72,['Heavy D'],['/wiki/Heavy_D'],
73,['Total'],['/wiki/Total_(band)'],1994 2001 2014
74,"['Scarface', '2Pac']","['/wiki/Scarface_(rapper)', '/wiki/Tupac_Shakur']",1988
75,['Montell Jordan'],['/wiki/Montell_Jordan'],1991
76,['Bruce Springsteen'],['/wiki/Bruce_Springsteen'],1964
77,['Aaliyah'],['/wiki/Aaliyah'],
78,['Seal'],['/wiki/Seal_(musician)'],1987
