,band_singer,singer_url,active_years
0,['Drake'],['/wiki/Drake_(musician)'],
1,['Ed Sheeran'],['/wiki/Ed_Sheeran'],
2,"['Bebe Rexha', 'Florida Georgia Line']","['/wiki/Bebe_Rexha', '/wiki/Florida_Georgia_Line']",2010
3,"['Camila Cabello', 'Young Thug']","['/wiki/Camila_Cabello', '/wiki/Young_Thug']",2010
4,"['Post Malone', '21 Savage']","['/wiki/Post_Malone', '/wiki/21_Savage']",2013
5,"['Post Malone', 'Ty Dolla Sign']","['/wiki/Post_Malone', '/wiki/Ty_Dolla_Sign']",2004
6,"['Cardi B', 'Bad Bunny', 'J Balvin']","['/wiki/Cardi_B', '/wiki/Bad_Bunny', '/wiki/J_Balvin']",
7,"['Zedd', 'Maren Morris', 'Grey']","['/wiki/Zedd', '/wiki/Maren_Morris', '/wiki/Grey_(duo)']",2002 2015 2015
8,['Drake'],['/wiki/Drake_(musician)'],
9,"['Maroon 5', 'Cardi B']","['/wiki/Maroon_5', '/wiki/Cardi_B']",1994
10,['Drake'],['/wiki/Drake_(musician)'],
11,['Juice Wrld'],['/wiki/Juice_Wrld'],2015 2019
12,['Post Malone'],['/wiki/Post_Malone'],
13,"['Bruno Mars', 'Cardi B']","['/wiki/Bruno_Mars', '/wiki/Cardi_B']",
14,['Ella Mai'],['/wiki/Ella_Mai'],2014
15,['Dua Lipa'],['/wiki/Dua_Lipa'],
16,['XXXTentacion'],['/wiki/XXXTentacion'],2013 2018
17,['Camila Cabello'],['/wiki/Camila_Cabello'],
18,"['Khalid', 'Normani']","['/wiki/Khalid_(singer)', '/wiki/Normani']",2016
19,['Ariana Grande'],['/wiki/Ariana_Grande'],
20,['Bazzi'],['/wiki/Bazzi_(singer)'],2013
21,['Imagine Dragons'],['/wiki/Imagine_Dragons'],2008
22,"['BlocBoy JB', 'Drake']","['/wiki/BlocBoy_JB', '/wiki/Drake_(musician)']",2012
23,['Taylor Swift'],['/wiki/Taylor_Swift'],
24,"['Lil Baby', 'Drake']","['/wiki/Lil_Baby', '/wiki/Drake_(musician)']",2015
